Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-fab-005.txt
Log File Name:                   NEO_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1870913072
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	371.381998	1	0.667400062156	0.837960562005	0.759154659311	0.365910528237	1.613351360544	0.795001997931	0.675391838989	-0.097364401728	-0.113675019352	-0.247460964609	-0.350431670370	-0.227188512691	0.000412872703	0.950138839779	N\A	0.060654986252	0.237354373660	0.232805391185	0.281438321776	0.244495953557	0.329743198083	0.063413925672	0.062184619156	0.077071860530	0.072368093703	0.064297349761	37	14	
2050000	362.408473	1	0.730526110123	0.864444328845	0.542675315088	0.101279742416	1.345126796701	0.503878161250	0.297103428048	-0.136187800372	-0.133255053972	-0.255946752014	-0.330884147955	-0.170381013865	0.000358385607	0.952150366835	N\A	0.054909521251	0.222810386450	0.220248384080	0.242041817500	0.232291814177	0.312014073337	0.056918924868	0.057062683241	0.064440060130	0.067426114754	0.060258835868	44	14	
2100000	369.320530	1	1.227386254612	0.712935835546	0.192809461020	-0.077451781270	0.962150383300	-0.178526333297	-0.380474729865	0.056145920765	0.041926340946	-0.039987298817	-0.051249000892	-0.035986983116	0.000266332173	0.945029086830	N\A	0.047178585425	0.192335460692	0.188865425699	0.210882321590	0.194155235191	0.268847670218	0.051116551950	0.049934981524	0.058327789941	0.056303980432	0.053054241501	48	11	
2150000	368.905365	1	0.929815228071	0.820756675003	0.621451355283	0.072201669729	0.931556173416	0.295245331055	-0.003993378923	-0.156513841716	-0.043311298133	-0.136801537298	-0.148147636542	-0.151563295957	0.000390451092	0.941527564858	N\A	0.052055992416	0.227839927491	0.212342542488	0.236506967002	0.229905423889	0.320740995820	0.055616501268	0.054471646592	0.059820851065	0.063544498989	0.059135318274	43	13	
2200000	377.763101	1	0.770068140576	0.846726861246	0.653945465616	0.316017707275	0.981598662755	0.266212906425	0.276638168783	-0.118062401418	-0.111950675536	-0.151185450759	-0.258282171177	-0.244646902603	0.000261999344	0.939861173062	N\A	0.049366446615	0.212547246402	0.189581001509	0.211892487281	0.202926731836	0.264550740375	0.057253194753	0.051564528109	0.060056150503	0.063859279909	0.053250772118	34	15	
2250000	373.435808	1	0.720300056557	0.875902148468	0.663605605766	0.258182014803	1.347076838236	0.197196483914	0.306443791338	-0.140086816036	-0.113954076455	-0.221127851608	-0.199866714257	-0.242827032625	0.000358022509	0.948427741822	N\A	0.048079486269	0.212952862632	0.199072243978	0.231129898374	0.221418266446	0.304058930650	0.052676154013	0.049915781602	0.058308746353	0.061280261506	0.054102194452	43	11	
2300000	364.501563	1	0.544911034532	0.901539319330	0.825485847367	0.369465955778	1.884733550518	0.704475084279	0.000462883562	-0.174459139047	-0.159552606318	-0.330434608587	-0.239826948258	-0.230555091523	0.000333955036	0.944433635938	N\A	0.057167382951	0.208376447798	0.199110748575	0.259357845119	0.226752385388	0.301884873376	0.060745035685	0.058871525490	0.071858800358	0.069864528824	0.062441072070	40	11	
2350000	383.799513	1	-0.138196381053	0.870829456323	0.873494656714	0.404289672905	1.517247526576	0.405606785353	1.152142232259	-0.158019864896	-0.138494945401	-0.263531896722	-0.256267037984	-0.183549972301	0.000252485018	0.943588169062	N\A	0.049832844717	0.192825761306	0.185815613878	0.209326554818	0.199446821142	0.264139673256	0.054556597144	0.051988240393	0.059389214431	0.061886611775	0.054908674865	33	14	
2400000	354.189815	1	0.431566719899	0.932083603862	0.757801475129	0.355078492587	1.209270635957	0.582491877275	0.769670566237	-0.202699598919	-0.183868321019	-0.233136109984	-0.358348882435	-0.218646752320	0.000357881607	0.951343679696	N\A	0.100485792480	0.283923769512	0.278026357084	0.295937732482	0.285681812053	0.354493042264	0.101370737560	0.101869841495	0.106480669991	0.107572028584	0.103748580023	35	7	
2450000	356.073652	1	0.397087018993	0.829779987711	1.175688750395	0.794936385842	1.267565116497	1.174777837578	1.086389257468	-0.115300577040	-0.057281639919	-0.215051300722	-0.224639197043	-0.165198737363	0.000321928958	0.942520079503	N\A	0.055547395467	0.241924046472	0.220002963390	0.231937218951	0.227195598333	0.302889805851	0.058726086456	0.057797878069	0.062337752557	0.067793257149	0.060679966503	32	15	
