Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-glob-006.txt
Log File Name:                   SCH_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1254233204
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	367.578803	1	0.550360627232	0.458961994136	0.045854656367	-0.509915915567	0.089463466884	-0.286109676953	0.442952868365	0.133998663724	0.253312662379	0.054661456664	0.172314401000	0.046836594768	0.000249440714	0.936474955496	N\A	0.040734562112	0.104452267504	0.089499944951	0.117022231344	0.104643684431	0.181626929750	0.044828684071	0.044450654602	0.044770029362	0.047690060286	0.047437003919	38	12	-0.005069324768	Global Trend	
2050000	349.406004	1	0.631187264438	0.458434818218	0.096882883857	-0.204875445135	0.074641374624	-0.200465945878	0.034338763941	0.108920041521	0.218925389181	0.108144285788	0.187726635022	0.107102165844	0.000299913074	0.986573687412	N\A	0.049603795473	0.124683979362	0.100026078422	0.134545641915	0.132165430654	0.199646744117	0.055727272386	0.053270252292	0.054851255678	0.064113432256	0.054315576036	29	12	-0.058061625754	Global Trend	
2100000	366.257160	1	0.369629532320	0.550358421516	0.237572620661	-0.181009565199	0.198606703748	-0.256488345898	0.131474000737	0.065916412335	0.114002676898	0.024658937217	0.102233414596	0.000104074889	0.000243683436	0.983934650473	N\A	0.044682815698	0.097000495845	0.088957661946	0.126082040324	0.110340576699	0.179996055309	0.049544820514	0.047779261488	0.051438722403	0.053046327674	0.050018478657	33	10	0.041102688123	Global Trend	
2150000	370.056375	1	0.683084158093	0.522212359482	-0.009758541067	-0.409244551733	0.135430291391	-0.286413979722	0.221077389038	0.088321909192	0.122575690264	0.008811973733	0.102104534065	-0.055814601633	0.000221832971	0.925455001912	N\A	0.036398851258	0.122095993581	0.101912230247	0.130630224785	0.115976135394	0.181134358111	0.042076529760	0.040316501716	0.044307235218	0.044879358887	0.041979279767	37	10	-0.000866248628	Global Trend	
2200000	374.196371	1	0.537999853525	0.489210858402	0.023517320491	-0.289942445759	0.135571696858	-0.012550168273	0.120250691438	0.126041799534	0.192437605970	0.047689268861	0.145145664824	0.022502245312	0.000353957775	0.999267077629	N\A	0.047599199527	0.114380509973	0.097049382171	0.141763559598	0.130920647148	0.211674147214	0.050697837781	0.050000214742	0.054435258894	0.059484949208	0.052090509559	38	13	-0.296532542853	Global Trend	
2250000	363.325887	1	0.542143003429	0.471633701248	-0.070166683393	-0.439169070919	0.454742738198	0.059783169647	-0.037025517416	0.127675328200	0.228076769942	0.071726035713	0.119306343314	0.043929211740	0.000489463921	0.937375338187	N\A	0.032736550541	0.109281938997	0.094767896894	0.118030120555	0.123956729412	0.206876663213	0.038743699380	0.037360210947	0.035887429568	0.048708947207	0.039989644060	38	11	-0.006056353284	Global Trend	
2300000	350.784117	1	0.626112532174	0.473183233634	0.098047571792	-0.254513801183	0.270690078542	-0.312086624399	0.081277933674	0.177606023473	0.205994567715	-0.002360280824	0.184877651597	0.078452526519	0.000148387014	0.999904318244	N\A	0.044428912600	0.097179707116	0.085420710209	0.125909306772	0.113724657067	0.163088163732	0.048015252334	0.048492196689	0.051588647674	0.055399692413	0.050028817127	38	9	0.271186497795	Global Trend	
2350000	354.135826	1	0.439012007315	0.483586663181	-0.108604757570	-0.512242433132	0.213260841028	-0.051862474396	0.376427260115	0.174731352771	0.201540631059	0.068514821120	0.117324786223	0.033684667520	0.000274503678	0.927663039270	N\A	0.047461836484	0.118221214896	0.096073859373	0.132513405040	0.124529356639	0.193485295895	0.052261958096	0.051006799538	0.053775775416	0.060978629759	0.052541077728	37	6	0.009543980372	Global Trend	
2400000	374.139391	1	0.479059957720	0.578094686006	0.129256244361	-0.286262333291	0.292640208378	-0.003483280640	0.280895346197	0.005352152381	0.105173301326	-0.063266961266	0.010520958887	-0.050767450947	0.000250697995	0.999323326302	N\A	0.045325203935	0.106900940710	0.089383412634	0.121382095601	0.112958753019	0.181507407085	0.051702553474	0.048498280526	0.049919249846	0.054115267478	0.049479119020	37	14	-0.205849909137	Global Trend	
2450000	366.290623	1	0.545444126041	0.540813678580	0.217485222310	-0.119169387236	0.167878373230	-0.031137162402	-0.064387511006	0.064709939004	0.138061363338	0.029097833588	0.101346901994	-0.044017689426	0.000802392664	0.999897231709	N\A	0.044275235377	0.114803117755	0.095391048187	0.118920013191	0.111290567117	0.249087669057	0.051109122625	0.047112594357	0.048665295615	0.052068768986	0.049849078883	43	11	1.396090853797	Global Trend	
2500000	367.843819	1	0.519384340226	0.626240376724	0.361013260695	-0.164655434458	0.123098910562	0.136424796550	0.139160492359	-0.038045637355	0.042229397507	-0.065710757843	-0.059201034581	-0.112727386450	0.000329922965	0.994076975032	N\A	0.041045600559	0.096149450656	0.079101383866	0.120678482014	0.100209678758	0.175384199842	0.045847359554	0.042642201074	0.047347951133	0.050308266983	0.046060402252	46	13	-0.071782778613	Global Trend	
2550000	372.468031	1	0.288506750077	0.572933626039	0.297615648110	-0.172949176564	0.177019931960	0.038889203781	-0.039580219914	0.002353465124	0.094916790592	0.002202402379	0.055650763895	-0.028803767191	0.000231511553	0.999991733329	N\A	0.045426902635	0.109754715734	0.088498630611	0.126083690469	0.105641465090	0.173693351604	0.050437721240	0.048758074004	0.052802112375	0.051621608862	0.048526238871	40	12	1.632982599211	Global Trend	
2600000	370.090636	1	0.503808357379	0.502133400269	0.278748804918	-0.217869807900	0.280114917894	-0.284789308513	-0.094056452221	0.127150970358	0.166405849085	0.034427085750	0.229679393481	-0.026695375967	0.000131525840	0.991431445852	N\A	0.030645214390	0.102046952478	0.079527623006	0.102449557578	0.116043039781	0.204551073611	0.041895337082	0.033304573759	0.036268971871	0.046779540223	0.041099930937	50	8	0.026527677872	Global Trend	
2650000	366.824092	1	0.862699766404	0.627163369861	0.460865264262	-0.193711074352	0.391491388470	0.137409563498	-0.195765333907	-0.068880111376	0.061218477113	-0.092615248170	-0.011234517807	-0.116057144718	0.000044082715	0.999961440012	N\A	0.031587607314	0.109350538493	0.085129614773	0.111279773923	0.110300625028	0.186424079521	0.040158760978	0.035558523044	0.042956012345	0.043770123182	0.041390542625	38	10	-0.119614420504	Global Trend	
2700000	351.500642	1	0.432083905580	0.507544679403	0.171664714132	-0.196621088966	0.231215819131	0.248553679102	-0.064742297568	0.094955498132	0.165164907504	0.071273774795	0.104995533392	0.064065270207	0.000130938168	0.928144502866	N\A	0.034620154450	0.140038548455	0.125204633715	0.140105345280	0.173696387648	0.244206688658	0.039849391369	0.038002617802	0.041788204780	0.061637485469	0.043614706138	45	9	-0.000114726807	Global Trend	
