Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-fab-003.txt
Log File Name:                   HIP_d1_m9-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3471113518
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2650000	454.211497	1	-1.013372811684	1.048448802060	-0.039323056219	0.077739994720	-0.002871346618	0.000186930184	0.950982070127	N\A	0.116833834142	0.015839918379	0.052220004844	0.009326963814	40	5	
2700000	454.561836	1	-1.397642120412	1.361027296931	-0.068200692729	-0.088628887567	0.011952441190	0.000013161874	0.956335861223	N\A	0.105167255573	0.015195800583	0.046662353308	0.008929542631	39	4	
2750000	473.268803	1	-1.290926238045	1.281879771992	-0.053528961177	-0.095595144473	0.015392863841	0.000008960854	0.960158161105	N\A	0.095352931028	0.013852572411	0.042896114003	0.008313332383	36	4	
2800000	484.502733	1	-0.991168348927	1.043758643604	-0.023263459368	0.006697479637	-0.004928132228	0.000115188760	0.963791932396	N\A	0.096906028289	0.014081196081	0.041016467176	0.007928157467	42	7	
2850000	480.304633	1	-1.248455586693	1.248830612122	-0.054819785310	-0.061478124968	0.010458229861	0.000085988997	0.959711165828	N\A	0.099463208318	0.014550756728	0.043773345038	0.008659006715	37	8	
2900000	490.458127	1	-0.982040168933	1.024565242616	-0.024647055786	0.041536830333	-0.007195224524	0.000088896083	0.962474991099	N\A	0.096141863356	0.013455993206	0.042251732113	0.007812728549	49	10	
2950000	480.336762	1	-1.027514589384	1.069597318182	-0.032765629627	0.023340884602	-0.001046127420	0.000081661733	0.968427376784	N\A	0.103950018764	0.014517075174	0.046013672528	0.008824931553	40	14	
3000000	463.282586	1	-1.138094197377	1.144821347969	-0.035892008125	-0.053615325485	0.006890827025	0.000100829755	0.957549167695	N\A	0.100743126650	0.015036156917	0.043148547033	0.008613878468	35	5	
3050000	464.301737	1	-1.282671428466	1.284410551176	-0.070219574336	-0.050712014013	0.020858083224	0.000140033412	0.961997694183	N\A	0.091122821082	0.013376577650	0.040225038367	0.008071788276	41	8	
3100000	486.441608	1	-1.156993486300	1.205480100751	-0.050915153293	-0.069668583792	0.014619756137	0.000091030236	0.961090526688	N\A	0.111785190526	0.015653324348	0.048451683842	0.008877111157	31	13	
3150000	474.245698	1	-1.303571496699	1.288520952682	-0.050275048412	-0.115841490677	0.013638280618	0.000181318198	0.967289723209	N\A	0.103916922639	0.015907832849	0.042351971308	0.008763213279	41	8	
3200000	466.395461	1	-1.313371632847	1.281815013818	-0.064168731326	-0.065960329356	0.017955678469	0.000191258358	0.962241587924	N\A	0.099973768387	0.014722924583	0.043725566615	0.008873475226	42	7	
3250000	482.865179	1	-1.041871818548	1.108579354826	-0.038257215883	-0.033699538727	0.009161397650	0.000072678422	0.961104399225	N\A	0.101679056230	0.015190600849	0.045074537938	0.008918839281	51	7	
3300000	459.715842	1	-1.714675674102	1.583160830875	-0.106340460828	-0.147034162294	0.033466021431	0.000116429229	0.956902572027	N\A	0.111065536747	0.018141657939	0.043834381561	0.009710602431	39	8	
3350000	483.902401	1	-1.328617400312	1.271041767784	-0.050382343329	-0.078568969344	0.011091356014	0.000054578561	0.966235316765	N\A	0.096037467526	0.014690555954	0.040372795430	0.008091308858	43	13	
3400000	461.773461	1	-1.129878789501	1.151547423810	-0.035419440203	-0.064378883989	0.007436416193	0.000091618815	0.957530315438	N\A	0.095341469088	0.014693595277	0.039355249321	0.007863883931	39	4	
3450000	477.658268	1	-1.165948962447	1.199456739878	-0.050553776784	-0.058353980171	0.013639283185	0.000108396144	0.954243471634	N\A	0.097256098724	0.013928420713	0.042909434519	0.008163241081	38	7	
3500000	473.474737	1	-1.379899729702	1.338814153017	-0.073664850921	-0.068273096894	0.018462245775	0.000200121489	0.962355809641	N\A	0.083601281695	0.013007227317	0.035477749458	0.007429768612	44	4	
3550000	450.677303	1	-1.375610286957	1.295297431076	-0.047191081435	-0.125921904492	0.013920629363	0.000109537174	0.960724489790	N\A	0.111223934458	0.016755738113	0.045515923186	0.009225598497	35	5	
3600000	463.328004	1	-1.798186836199	1.615138070742	-0.092366363503	-0.208408580587	0.026343510040	0.000088305039	0.953035335304	N\A	0.118010975162	0.017321318209	0.048023630094	0.009214338157	43	6	
3650000	472.811008	1	-1.218874935488	1.141473801455	-0.030137390695	-0.097134100100	0.012339519655	0.000187015101	0.961640711000	N\A	0.096242595779	0.014673821244	0.042154353033	0.008703173966	44	9	
3700000	468.303937	1	-1.189556840373	1.216763147479	-0.044444195632	-0.104525321670	0.015892927993	0.000084939571	0.959125170179	N\A	0.109563492355	0.016501349532	0.046247021386	0.009478891798	45	8	
3750000	475.452691	1	-1.389702855513	1.346051190717	-0.058874524124	-0.138411162666	0.015770585796	0.000128475281	0.957990829096	N\A	0.119407466273	0.017114568957	0.050042781280	0.009011889098	42	8	
3800000	473.629893	1	-1.388082349663	1.349665984745	-0.063691921205	-0.107775003059	0.013574428555	0.000062810313	0.962379141019	N\A	0.100800511761	0.014831070000	0.043829361136	0.008630038493	39	5	
3850000	468.818929	1	-1.074865969972	1.122123165244	-0.032743795274	-0.018686280625	-0.000668767951	0.000015943877	0.964794601152	N\A	0.107795314361	0.016219215563	0.039934667282	0.008412588646	37	3	
3900000	472.175865	1	-1.172193641850	1.222877034658	-0.045454281213	-0.090028036870	0.010517748667	0.000013636668	0.964266199922	N\A	0.094106070440	0.015350138763	0.036577391278	0.008014445877	47	6	
3950000	460.291989	1	-1.203798954337	1.213546632927	-0.050936336075	-0.049248651072	0.011916227047	0.000027152946	0.953066745743	N\A	0.100012951620	0.014144065680	0.044390714108	0.008295305586	39	4	
4000000	481.055779	1	-1.317338555845	1.355219217359	-0.072686628781	-0.141282486569	0.031539548012	0.000012795961	0.959463672747	N\A	0.095131101886	0.014818950868	0.039432332565	0.008228651239	40	7	
4050000	491.169909	1	-0.991104255769	1.075798582770	-0.032002565619	-0.015539755562	0.003620957540	0.000032427800	0.965984358803	N\A	0.079390532907	0.011709907646	0.034434460267	0.006563567790	57	9	
4100000	465.978133	1	-1.302306396740	1.306318112579	-0.067369965274	-0.070968906902	0.014720429077	0.000090940741	0.961904163511	N\A	0.101417897474	0.015293095202	0.041849412749	0.008506302880	40	9	
4150000	492.033305	1	-1.296555425055	1.310832285924	-0.065219563482	-0.105386734247	0.023483989112	0.000087120898	0.966709380735	N\A	0.101059121634	0.016521072295	0.038559665663	0.008921276565	51	7	
4200000	462.288470	1	-1.234118499833	1.209014863192	-0.044158422352	-0.055312316133	0.005139402063	0.000131620143	0.957959169174	N\A	0.108369953625	0.015500043044	0.046337195932	0.008728899510	35	4	
4250000	473.580546	1	-1.153677282249	1.135433997701	-0.027542390727	-0.048584899001	-0.001336847091	0.000095650278	0.960489349414	N\A	0.100014139598	0.014983411305	0.041572052144	0.008047286078	37	4	
4300000	458.676986	1	-1.382152168098	1.359799304857	-0.074655461987	-0.101053129803	0.025533134834	0.000148776209	0.954876204133	N\A	0.101445371059	0.016264981993	0.041533835015	0.009207742420	40	5	
4350000	476.837668	1	-1.185435708195	1.212789431400	-0.048374804682	-0.068837445329	0.013396522313	0.000095095712	0.963590024965	N\A	0.097741335113	0.015245543885	0.041132676471	0.008801634406	41	5	
4400000	480.786508	1	-1.317466473374	1.279799979668	-0.048141272554	-0.124164319109	0.015900954571	0.000093586443	0.963827604957	N\A	0.108674261886	0.015724500387	0.046758944937	0.008672979521	46	10	
4450000	461.408985	1	-1.124844302240	1.149391204341	-0.037547444156	-0.052179883114	0.005488459359	0.000089991651	0.961319425860	N\A	0.101565833392	0.014802782832	0.044689635011	0.008495086336	38	4	
4500000	466.844177	1	-1.446729857195	1.414333201676	-0.085639679149	-0.096455051183	0.022892042155	0.000103226396	0.958007592400	N\A	0.101234049775	0.014030358546	0.046458180466	0.008668581034	39	5	
4550000	482.399688	1	-1.182714477249	1.183337788821	-0.040503126654	-0.070485664052	0.010998504401	0.000103942260	0.959239639534	N\A	0.108832684239	0.015902030278	0.045075878145	0.008611321210	33	9	
4600000	486.458868	1	-0.907192020712	1.002059753399	-0.022182948737	0.023354098936	-0.002442612846	0.000074131957	0.963792191640	N\A	0.091816242396	0.013908127440	0.039257986628	0.008016631467	40	10	
