Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-VR-004.txt
Log File Name:                   HIP_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3259786878
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	322.198903	1	0.756297922368	0.661560017109	0.453696517834	-0.266954671607	0.188926706718	0.230861784351	0.147719477212	-0.190399022767	-0.004528568502	-0.052423876003	-0.079182893552	-0.134841703728	0.000096323881	0.913033240555	N\A	0.059865047092	0.172374182766	0.162405911509	0.193775315553	0.189607547911	0.205628943945	0.062341259008	0.062178709705	0.066503747461	0.070982357201	0.066444788725	37	31	
2050000	307.144636	1	0.721492862057	0.636903360964	0.307840337890	-0.124669798747	0.347446894094	0.263629268885	0.202352651793	-0.147384840928	-0.073954634858	-0.037608782693	-0.123745579819	-0.106675259622	0.000127968509	0.898830364766	N\A	0.060016666344	0.179816892048	0.169321284101	0.175569851589	0.181803120075	0.223126321952	0.063285159400	0.064125821963	0.064848149107	0.068028459069	0.066730634785	47	30	
2100000	324.604138	1	1.191311884113	0.513507054332	-0.060038486579	-0.622513213008	-0.333509555698	-0.414884752981	-0.106966075728	-0.046405890640	0.072137821296	0.102494364757	0.069402505093	-0.016236209500	0.000153528058	0.940414585419	N\A	0.071924322671	0.202648338998	0.195305421703	0.213146447799	0.192475644920	0.243023566054	0.072515047002	0.075421625830	0.078927094233	0.075090666825	0.075679681221	55	35	
2150000	310.019140	1	0.949888522507	0.551059981559	0.139324382661	-0.287441948029	0.230611774146	-0.098871657338	-0.072581430240	-0.010303548657	0.070851318842	0.015089485094	0.017825662060	-0.022958635478	0.000446816034	0.910358990535	N\A	0.065798188835	0.238875165751	0.228205348599	0.254111412483	0.255521075017	0.346385352505	0.070866487830	0.067824705050	0.069503364337	0.079408444602	0.070536285460	50	21	
2200000	304.707296	1	0.699426769805	0.488318013814	0.161227311436	-0.312110561425	0.004801183994	0.054074507100	0.620744182555	0.081188673317	0.150431849154	0.126727565412	0.054141437286	0.004752126074	0.000431223563	0.899648333364	N\A	0.069603366166	0.340010738776	0.332843027003	0.356207035388	0.337113023375	0.420761004234	0.072971074447	0.072020768479	0.075956059918	0.076280512538	0.074373194620	46	25	
2250000	320.392840	1	0.911041316465	0.536604948116	0.337697833034	-0.287835798318	0.074904190332	0.145041237646	0.019837234524	-0.035023458328	0.085721897325	0.062126116051	-0.063345959709	-0.006261399543	0.000441612736	0.904223459808	N\A	0.063671658775	0.232406486703	0.224677496412	0.262456563547	0.252037798095	0.344942999633	0.066564457388	0.065784440337	0.072823174494	0.075565587983	0.069367508732	51	28	
2300000	299.831364	1	0.867442587115	0.505729955094	0.271856886849	-0.463935865034	0.162489261171	-0.248495788772	0.454129192663	-0.018367284545	0.158907610637	0.052016041942	0.139933552307	0.033063697468	0.000184232812	0.906250261648	N\A	0.086532359993	0.229855347918	0.217694498192	0.232837621050	0.224443946012	0.344726557774	0.088406583233	0.088336828440	0.091363189414	0.093041058975	0.091406229974	56	29	
2350000	327.512180	1	0.774430603584	0.495773948119	0.365133071576	-0.222082030603	0.374690168914	0.090296494404	0.367610840709	-0.016059981181	0.118980825320	0.074050647709	0.052010458071	0.032954975668	0.000240120429	0.895423868582	N\A	0.069172598631	0.244375415120	0.237889158509	0.261508968371	0.253814345339	0.444751723126	0.071565583261	0.071901420625	0.076294693286	0.078020460942	0.075249107190	40	27	
2400000	322.303651	1	0.869985893957	0.564065892562	0.263451232048	-0.438832817448	-0.359466773831	-0.172750472096	0.196692091831	-0.076839405979	0.056897969399	0.039309323459	0.072901610730	-0.012220194812	0.000124230698	0.916597087464	N\A	0.069026703181	0.191709634711	0.181954330677	0.245946789860	0.198140360596	0.234024700168	0.070999405047	0.070966554058	0.075934196056	0.076558475011	0.075126451344	38	30	
2450000	337.368205	1	0.693953823371	0.700789431116	0.375889905806	-0.203403040414	0.050641286453	0.109135554127	0.541119841424	-0.192256153907	-0.085582041361	-0.116868510970	-0.120984700805	-0.234920709330	0.000028971605	0.915322616553	N\A	0.046295200315	0.141016119395	0.128405022886	0.170163819078	0.157212664012	0.219845066977	0.049954248851	0.049461753534	0.054938242890	0.055935309094	0.051768423086	54	26	
