Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-bm-001.txt
Log File Name:                   NEO_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            956685530
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	231.331188	1	1.349019751208	0.671970918224	0.553855442913	-0.099039480840	0.513268492559	-0.332655855787	-0.748554209005	0.061283847049	0.122381768501	0.047084756977	-0.022055198642	0.076009518481	0.000653468846	0.874610685261	N\A	0.078265914198	0.334013774241	0.302123729093	0.316685539410	0.306927193182	0.416159893584	0.087085651791	0.084043389494	0.087366938813	0.090792340161	0.082984266823	
2100000	240.655127	1	0.540602479436	0.820264852277	0.878248050620	0.488798859545	1.491371549412	0.656471985366	0.340431907178	-0.144774527324	-0.053911490187	-0.111736251518	-0.142471069822	-0.136944878989	0.000618988015	0.881226957474	N\A	0.076173048866	0.325082097460	0.294044806294	0.308217227331	0.298719823618	0.405031593062	0.084756942756	0.081796031905	0.085030708038	0.088364512631	0.080765230645	
2150000	238.007669	1	0.645288139181	0.780266927446	0.776336665185	0.586069930756	1.421729032859	0.291297698779	0.156323484897	-0.083525650470	-0.046883393904	-0.093025391239	-0.115224629578	-0.038647369158	0.000628589304	0.879384636972	N\A	0.076761545855	0.327593613517	0.296316534753	0.310598448940	0.301027670280	0.408160782142	0.085411757107	0.082427970880	0.085687637442	0.089047198310	0.081389205865	
2200000	239.892426	1	0.590444500036	0.847812323946	0.884179674348	0.484057852331	1.201962930187	0.345128988364	0.429457394495	-0.099690546976	-0.083441196057	-0.159478578721	-0.133143390942	-0.169407492334	0.000621738894	0.880699111773	N\A	0.076342123609	0.325803654136	0.294697472173	0.308901350509	0.299382866229	0.405930606733	0.084945070427	0.081977587498	0.085219443362	0.088560647714	0.080944498257	
2250000	237.247677	1	0.128013219573	0.887795677469	1.152308031717	0.646827532127	1.484821144830	0.929389117715	1.190978768873	-0.215757041337	-0.073186924798	-0.203086744438	-0.273207217047	-0.208069122644	0.000631372908	0.878850511793	N\A	0.076931321010	0.328318159328	0.296971904379	0.311285406182	0.301693459625	0.409063520085	0.085600664120	0.082610278589	0.085877154625	0.089244145906	0.081569216115	
2300000	239.639380	1	0.332607059291	0.893229605739	1.226095225166	0.771779446834	1.531598126194	0.415316068920	0.735864331807	-0.218534429507	-0.149198979340	-0.168701252669	-0.182868628875	-0.211525101466	0.000622654267	0.880523467587	N\A	0.076398301390	0.326043402854	0.294914330825	0.309128661351	0.299603172716	0.406229318369	0.085007578847	0.082037912240	0.085282153685	0.088625816724	0.081004062781	
2350000	238.946017	1	0.537585683370	0.922924718580	0.723703824024	0.301216268193	1.209510075105	0.520326178747	0.450673268946	-0.220610875466	-0.124678901715	-0.215860150402	-0.306770988792	-0.209685134302	0.000625169366	0.880040863807	N\A	0.076552444428	0.326701235815	0.295509357026	0.309752366726	0.300207659237	0.407048936350	0.085179092170	0.082203433892	0.085454220996	0.088804630290	0.081167498514	
2400000	235.673876	1	0.388228208250	0.821773419588	0.819670394892	0.198345098493	1.137476233045	0.530945688867	0.836492933926	-0.092013963936	-0.091814250207	-0.048945851538	-0.186879673852	-0.109215578373	0.000637176482	0.877736906756	N\A	0.077284088221	0.329823656438	0.298333663792	0.312712799904	0.303076869646	0.410939273618	0.085993184450	0.082989086559	0.086270942798	0.089653373358	0.081943250312	
2450000	237.116851	1	0.570798797467	0.851573193196	1.227511412796	0.497320974891	1.281533467364	0.228897624279	0.558494205225	-0.206428481765	-0.077477649045	-0.210115468648	-0.165095294700	-0.179204762827	0.000631853321	0.878758328995	N\A	0.076960584014	0.328443044427	0.297084866043	0.311403812391	0.301808217266	0.409219118965	0.085633224753	0.082641701745	0.085909820430	0.089278092441	0.081600243274	
2500000	240.546534	1	0.450816198407	0.905893955918	0.974173868583	0.419516986117	1.380716549442	0.372801965996	0.597054504807	-0.228842753818	-0.124554280203	-0.214313210290	-0.238977491869	-0.191674502160	0.000619378940	0.881151945807	N\A	0.076197098791	0.325184734812	0.294137644319	0.308314539979	0.298814137675	0.405159472666	0.084783702852	0.081821857160	0.085057554569	0.088392411736	0.080790730447	
