Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-fab-006.txt
Log File Name:                   MOB_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1808417076
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	244.782522	1	1.290209528456	0.185270381029	-0.596118283727	-1.431177384366	-0.109059036862	-0.657255861876	-0.506701502041	0.393660924775	0.556556358263	0.092181361688	0.482268190253	0.415214713201	0.000493717664	0.870495115440	N\A	0.113280986954	0.343754838914	0.321809754321	0.340530034000	0.323961139793	0.409346077297	0.116535107449	0.116009544869	0.121123920598	0.118870560726	0.116863687346	39	15	
2050000	240.547694	1	0.384531033731	0.652688558337	0.110086608911	-0.623360140020	0.845615885379	0.599791454195	0.598818204407	-0.040911510842	0.087514760761	-0.256469148015	-0.120912759519	-0.106703746721	0.000331148710	0.871579296211	N\A	0.056464126491	0.244585499530	0.216753189626	0.241552985545	0.221651392674	0.409432026614	0.068283736774	0.060372646634	0.068025512913	0.066385737290	0.071286882920	41	14	
2100000	234.867351	1	0.507359791097	0.647635563868	-0.007374632377	-0.838888051488	0.557164203312	0.471111248594	0.171645251184	-0.033343268625	0.081172717321	-0.151954346965	-0.035771213527	-0.109236355210	0.000434280737	0.894819623123	N\A	0.074627259526	0.284991894554	0.257661464623	0.291779844442	0.259117295192	0.452058816339	0.083774803640	0.076497259214	0.088750274241	0.082368865636	0.087962519206	52	17	
2150000	265.766061	1	-0.074931365019	0.667896594070	0.876167821717	0.222389752479	0.951159117674	0.987578588722	0.598978045442	-0.033353762360	0.042576082009	-0.163431253876	-0.101585453407	-0.084055969498	0.000510288410	0.880568501948	N\A	0.069162083997	0.272412150569	0.252990917911	0.313082911380	0.256395151106	0.370248466923	0.076276306651	0.072466680590	0.087777259656	0.076961630067	0.075221222490	35	26	
2200000	240.588519	1	1.457221417882	0.543432007873	-0.362781241824	-1.661119968927	-1.060512244021	-0.633332369468	-0.690853483068	0.066986912690	0.102791907321	-0.030693976391	0.084719878232	0.034793850290	0.000323968337	0.868194482049	N\A	0.109067144503	0.380061557726	0.363338388403	0.412052169443	0.360320247951	0.418903471808	0.115616444079	0.112563980468	0.120628664878	0.111470587875	0.113384695334	38	20	
2250000	246.369188	1	0.761130766601	0.503692940550	0.711226145716	-0.753038792650	-0.709213045991	0.339457985886	-0.082807007887	0.135128757553	0.163640325985	-0.042744657995	0.054977405348	0.135519653108	0.000381730665	0.864093364710	N\A	0.079878101219	0.278170112953	0.255743410815	0.278852990901	0.260032748476	0.341979830680	0.085839509115	0.083404390982	0.090497635762	0.087999543302	0.085791567925	36	15	
2300000	264.139936	1	1.024169119889	0.462894672770	0.403349629814	-0.987567075274	-1.003388200201	-0.405287293878	-0.280954668658	0.157421545254	0.267677938926	0.052422244890	0.166018905386	0.114615198727	0.000300955737	0.891069111356	N\A	0.091328669466	0.255617829435	0.235346313007	0.255292500486	0.243471455590	0.308466662380	0.096357011973	0.093883317599	0.098122570588	0.099439871260	0.094882744547	40	19	
2350000	259.576301	1	0.126144008807	0.842552332784	1.556769404044	0.027017177227	-0.061404262930	0.691949705440	0.774014517381	-0.197900927249	-0.163549851634	-0.361363956172	-0.181436038859	-0.364532551844	0.000226021404	0.906838697426	N\A	0.048227359931	0.206437185284	0.203050641641	0.238442202497	0.183625000137	0.270304093157	0.054657603305	0.053363362427	0.067282287957	0.055907775956	0.060001578913	53	19	
2400000	240.090028	1	0.260317430991	0.766245426738	1.419893069317	-0.185626948536	-0.101600354564	0.875903825255	1.121644983592	-0.194585813113	-0.016967846418	-0.300624400778	-0.221104552929	-0.248009203086	0.000320779049	0.872121332118	N\A	0.059747909039	0.241268049566	0.216194429053	0.242469074838	0.219616016748	0.501122598591	0.067847162778	0.064584821108	0.072660446580	0.069273058469	0.075723192699	36	20	
2450000	253.730786	1	-0.090107184808	0.774014913307	0.690892565277	0.261509904827	0.364208803625	1.012363941481	0.589529600215	-0.124884501292	-0.132781492399	-0.310057784667	-0.180146625993	-0.131678719879	0.000275873846	0.873493339875	N\A	0.059570236181	0.225617094601	0.205736141365	0.233513305531	0.209284905589	0.298304207365	0.066680040147	0.063990608737	0.069815178260	0.067855368023	0.073463938604	34	20	
