Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-VR-005.txt
Log File Name:                   STR_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4166764392
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	317.281673	1	0.256003652831	0.817938037707	0.463754100948	0.366068438822	0.439801168109	0.561718533491	0.234171158416	-0.107451799571	-0.188523877347	-0.073769324001	-0.256224933079	-0.250297822511	0.000573665449	0.920496848046	N\A	0.113437220927	0.357829572490	0.349632294116	0.515530280247	0.354445443977	0.517375225602	0.115977771817	0.114294633322	0.125857870983	0.118128307839	0.118301337295	47	21	
2050000	311.056213	1	0.032256139533	0.771158548651	0.486874902597	0.243787920992	0.914408318430	0.421061391871	0.790014775901	-0.102228114128	-0.106997740899	-0.166528962426	-0.174066411724	-0.180923334625	0.000616439024	0.918533357416	N\A	0.074500407174	0.285175633739	0.273823516032	0.328320466866	0.271436330545	0.415464990121	0.077647945370	0.076374462296	0.086937030422	0.079564542843	0.080997621019	34	28	
2100000	307.882679	1	0.102338135007	0.705891579410	0.346034786818	0.189274581256	1.003056744172	0.166079123020	0.737641190833	0.045055199686	-0.049290364556	-0.086613517515	-0.012114125636	-0.160105291723	0.000575279634	0.914382681092	N\A	0.069575453425	0.262678760788	0.251876060842	0.292163705544	0.290632549279	0.388727586000	0.073892953829	0.071619962703	0.078285083498	0.076965474006	0.075817232286	39	28	
2150000	326.869620	1	0.252592385425	0.747703151619	0.285086398922	0.154499313452	0.782069740175	0.326305859660	0.584021880341	-0.012473216889	-0.110326536307	-0.191058571605	-0.195040627796	-0.205809262550	0.000553145707	0.911887749627	N\A	0.072173261590	0.262981557452	0.252568523523	0.299656649367	0.276813074925	0.385668111886	0.076262822647	0.074279191196	0.083900533849	0.079030705859	0.077488797132	54	26	
2200000	333.851304	1	-0.359297843169	0.830211763492	0.763219075698	0.551258707313	1.208033216596	1.150823114253	1.405864211598	-0.069079948772	-0.176904242117	-0.238244109056	-0.316948834190	-0.278605053210	0.000567821551	0.912963342319	N\A	0.074757172018	0.271028884448	0.260541122754	0.304921237975	0.315678413652	0.389223492192	0.079323208952	0.076741781095	0.084537341818	0.087062134759	0.078354668438	53	23	
2250000	335.765820	1	0.379687143153	0.689175642457	0.255089184992	0.084385857140	0.667439069911	0.570091344166	0.239415458873	0.056415983217	-0.047501733859	-0.064072489163	-0.178752308433	-0.141862175770	0.000409402822	0.924227956261	N\A	0.069542564766	0.384629928957	0.232225901281	0.258094019336	0.235062851151	0.336189547565	0.072637914325	0.071571899579	0.078853946578	0.077692155642	0.074082159161	42	29	
2300000	301.940213	1	0.521238838350	0.584942258247	0.019729793200	-0.146788693032	0.110650709985	0.142730204843	0.368907324842	0.109325812826	0.072092902984	0.063100180649	0.032204606445	-0.023711548074	0.000308308110	0.925986015507	N\A	0.133228465627	0.274041316637	0.265576657574	0.295517821750	0.273449852589	0.333381148205	0.134585133517	0.134119349140	0.141600270362	0.137065683159	0.136885412341	59	42	
2350000	323.258376	1	0.246755022247	0.689323893629	0.645170180561	0.507964768756	1.301911340527	0.649990027102	0.131451473719	-0.024559283657	-0.016073219816	-0.069997850619	-0.151369385393	-0.149667128986	0.000609208515	0.916404957123	N\A	0.075977114067	0.304753999839	0.290393540495	0.341043906187	0.298367944549	0.419361443377	0.081259743790	0.077701973487	0.089057099856	0.083915981100	0.078466075751	47	29	
2400000	327.452340	1	-0.342315945237	0.779271895760	0.885910761935	0.565416286141	0.819389257422	0.760838569672	1.358041209537	-0.027974578601	-0.151529490830	-0.120018291226	-0.195288243651	-0.223243275757	0.000331671431	0.924639076604	N\A	0.079233206514	0.342075798395	0.263237607701	0.302048131230	0.266003056981	0.352006469555	0.082502128116	0.080920862783	0.090871834073	0.083127977932	0.083474818598	53	30	
2450000	330.023331	1	0.186470632134	0.727628506737	0.219250402661	0.284065280535	0.995823072494	0.461108271123	0.548587614347	0.015808250120	-0.070419244545	-0.103163918869	-0.170325125525	-0.166434582215	0.000518091359	0.922064975529	N\A	0.072607592416	0.247432516289	0.237138234898	0.290341536490	0.242761782472	0.380013789189	0.076802502971	0.074110075382	0.083568129459	0.079235067625	0.079020800585	44	38	
2500000	327.434293	1	0.588954921639	0.571840524319	-0.209615577683	-0.113509266806	0.593470998261	0.042570741505	0.075782324427	0.167396175607	0.095859599934	-0.000112855738	0.028275835978	0.006733547299	0.000515305181	0.912282338765	N\A	0.086617932488	0.277117129590	0.266214696790	0.305154487661	0.276759147697	0.389098936968	0.090478413031	0.088291541672	0.092986066124	0.093279027996	0.091041012119	48	21	
2550000	319.647914	1	0.293912468280	0.655926726351	0.222515126369	0.063754810339	0.802764102889	0.441838137172	0.576950676310	0.079534002567	-0.011945510701	-0.143415050463	-0.131112548734	-0.125765506551	0.000657113809	0.929382071962	N\A	0.078483889105	0.281079002911	0.273122745716	0.319438428721	0.277430544083	0.418678528842	0.080380107788	0.080325768258	0.088363273266	0.084309062394	0.084226983504	46	20	
2600000	329.191409	1	0.835884450823	0.448797296648	-0.074038615736	-0.191707918054	0.373323916774	0.089443885228	-0.516673397128	0.318114999949	0.197639151414	0.188253247306	0.091913417724	0.170126357320	0.000440236331	0.916310637045	N\A	0.077817656631	0.252239525931	0.238870032999	0.282548622599	0.244721415723	0.352975556745	0.082575021895	0.079705797518	0.088289570627	0.084171556595	0.081549062888	47	32	
2650000	307.808813	1	0.295906749686	0.722109787613	0.376617736704	0.357747118968	0.608215151644	0.681503101522	0.145552193285	0.060540526424	-0.091015256640	-0.013406480918	-0.148403891591	-0.145850060483	0.000494936582	0.937372916033	N\A	0.068798420874	0.268345593307	0.248227653630	0.285179601641	0.270644766199	0.369253042629	0.076914833041	0.069685963872	0.079967896677	0.074813729304	0.077433702154	52	31	
2700000	308.964096	1	0.271293304701	0.846594937891	0.390188804814	0.180809829097	0.675538163779	0.449025169926	0.229213320915	-0.115253970634	-0.182825778273	-0.214424940990	-0.249436514395	-0.234545280667	0.000795038023	0.897766822502	N\A	0.112286412978	0.339915834765	0.329163403009	0.382603435081	0.348764121906	0.483868093895	0.115943174915	0.113856048290	0.120194214431	0.117747223738	0.116153684266	41	29	
2750000	301.315777	1	0.872113923542	0.618119133084	-0.109702266045	-0.247505856152	0.526284926025	-0.181225083450	-0.622007875043	0.067099903537	0.074081276945	-0.000177375812	-0.059014521133	-0.008435063440	0.000583740279	0.898775594124	N\A	0.067994385657	0.264047169048	0.253816333653	0.291129420367	0.256925808252	0.383492159082	0.073123330663	0.070827731360	0.078233889873	0.078423275808	0.073317654952	29	21	
2800000	320.903740	1	-0.421958294491	0.884836908100	0.904283937679	0.911263424145	1.289681623532	0.940174330760	0.974051471446	-0.127166788261	-0.261808221738	-0.160839876768	-0.234701945545	-0.254456635894	0.000358242844	0.932534118762	N\A	0.038293839834	0.255387372249	0.242143186762	0.286747952928	0.245989431982	0.338442604146	0.042309139792	0.042667637117	0.057173873215	0.049200479282	0.046782999043	38	30	
