Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-fab-003.txt
Log File Name:                   MED_d1_m9-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            479271784
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
3000000	632.971224	1	-0.571333653498	0.914900143748	-0.046700888563	0.145295508786	0.009981922481	0.000050536955	0.985803869226	N\A	0.057337367963	0.006431313150	0.028608962034	0.004248940268	45	3	
3050000	615.300989	1	-0.568166319019	0.898501408658	-0.044814954060	0.153249952476	0.009744373604	0.000084326223	0.985342676065	N\A	0.076404407789	0.011308510808	0.032012087865	0.006473703405	44	2	
3100000	620.458012	1	-0.495023620025	0.841263630392	-0.036614444058	0.198586249102	-0.002383623338	0.000060627186	0.983995877707	N\A	0.061374650764	0.008173686562	0.029556083515	0.005075996262	33	4	
3150000	614.781117	1	-0.584585252156	0.897788573603	-0.043790953302	0.175886147717	0.002945761142	0.000045031527	0.982298882696	N\A	0.074220061397	0.009478053136	0.033188929489	0.005137133377	32	2	
3200000	615.365533	1	-0.722895897243	0.998879153668	-0.054609958441	0.111368621156	0.015684635697	0.000046448083	0.981384805802	N\A	0.064323713108	0.007777541764	0.031245288268	0.004668084208	39	3	
3250000	611.162433	1	-0.479173267850	0.807863576058	-0.026552569739	0.203718032071	-0.005804757236	0.000131868800	0.981707112170	N\A	0.068967731612	0.009139337674	0.031666446582	0.005506937234	35	2	
3300000	613.527237	1	-0.415791934052	0.788347150025	-0.034418210926	0.230642540300	-0.001660352400	0.000061735376	0.982221829480	N\A	0.058250603271	0.006403316055	0.029182470095	0.003705095384	32	4	
3350000	615.742755	1	-0.408297069549	0.770824385882	-0.024459261360	0.197446126352	-0.001748288616	0.000062053036	0.982184717198	N\A	0.069470149069	0.009703517362	0.030656200753	0.005372902070	55	3	
3400000	629.166587	1	-0.381247596352	0.764049102197	-0.029631934733	0.219442178757	-0.001708462628	0.000066686419	0.981773286343	N\A	0.056519114827	0.007072629365	0.028249125217	0.004542253731	38	7	
3450000	639.736326	1	-0.575649841649	0.899121452648	-0.047719691714	0.176654015875	0.008172913915	0.000093453738	0.981908471707	N\A	0.053934714410	0.007396953494	0.026803798642	0.004652149210	27	6	
3500000	620.015934	1	-0.537995022262	0.894467107455	-0.052063036909	0.178938140082	0.011305411795	0.000060671561	0.978822594267	N\A	0.057951265272	0.007158349459	0.029536894425	0.004847609793	33	2	
3550000	618.133236	1	-0.351671424264	0.723653600683	-0.024180120498	0.250641320598	-0.005670096723	0.000079268160	0.981975133198	N\A	0.059869740228	0.007638138408	0.029465383814	0.004722291911	33	5	
3600000	642.390709	1	-0.552608964531	0.887011806387	-0.044245118764	0.163386347893	0.007806894123	0.000074620968	0.984018292549	N\A	0.057346615873	0.006527943587	0.029218083449	0.004460145358	43	4	
3650000	622.455483	1	-0.292207656619	0.710166050897	-0.024764666537	0.244906661501	-0.005004384167	0.000039662300	0.981438684408	N\A	0.071459377307	0.009061814893	0.032918262666	0.005336255146	45	2	
3700000	628.729094	1	-0.298975954082	0.691240408190	-0.023530747848	0.255872211718	-0.001887641205	0.000119159442	0.983274875239	N\A	0.068034650556	0.008869937703	0.031528498805	0.005398551514	35	7	
3750000	628.291873	1	-0.325446479442	0.733484550597	-0.028562632074	0.233607956692	-0.000033462034	0.000068034257	0.982748794546	N\A	0.062877544496	0.008097150599	0.029682885948	0.004794217376	41	4	
3800000	635.901709	1	-0.401686867294	0.793976397231	-0.040449961285	0.222064718495	0.006275454771	0.000059591186	0.984523335185	N\A	0.058002192390	0.007139369381	0.028728840323	0.004430801425	44	3	
3850000	626.744793	1	-0.386342855241	0.769574342211	-0.034343983750	0.241263079985	-0.002819545436	0.000095638297	0.984517390837	N\A	0.056422059951	0.006514497496	0.028618401105	0.004328894721	48	4	
3900000	616.810524	1	-0.444691065318	0.797827496863	-0.036580815031	0.240716614841	-0.002230725787	0.000059017337	0.986593417652	N\A	0.064174295364	0.008040832494	0.030354062021	0.004883653179	43	5	
3950000	632.573634	1	-0.455400233426	0.815025879776	-0.036703188750	0.210550319936	0.001556542630	0.000010728109	0.982917428761	N\A	0.059662794043	0.006757562594	0.030167342398	0.004505305686	44	5	
4000000	643.187156	1	-0.419323245220	0.803046452317	-0.035892679486	0.205285251307	0.003763895890	0.000003090825	0.986661475181	N\A	0.058459372754	0.008125907104	0.025028818236	0.004732091508	49	4	
4050000	629.511678	1	-0.597148492164	0.936684517070	-0.043371627715	0.105318785832	0.012266311568	0.000041034503	0.982618505171	N\A	0.062818990026	0.008390931511	0.029372710477	0.005199028245	43	4	
4100000	631.461990	1	-0.412267912248	0.782164678845	-0.025057679657	0.191975781874	-0.002424974293	0.000036367923	0.982887805557	N\A	0.063914436292	0.008585037799	0.029304968580	0.005222239070	43	3	
4150000	636.162233	1	-0.380946689948	0.774062291529	-0.035685258675	0.222886347857	0.004551442339	0.000079213595	0.986245246782	N\A	0.065344118027	0.008282129137	0.030422672405	0.005143598434	46	3	
4200000	622.520933	1	-0.351483567763	0.743236585443	-0.028978382133	0.223873944824	0.002087801333	0.000153329128	0.982057044266	N\A	0.060276679028	0.007213063591	0.030575176040	0.005026458964	38	6	
4250000	627.998800	1	-0.498730813225	0.840240989196	-0.037496514933	0.178744609329	0.005951427504	0.000064788659	0.984363200048	N\A	0.060908798202	0.007571876389	0.029445778767	0.004825445289	35	4	
4300000	622.068118	1	-0.494175177906	0.825257656229	-0.038457552037	0.216989069651	-0.000106177240	0.000039055325	0.981570811281	N\A	0.059192228188	0.007271185869	0.029404158494	0.004873394030	32	3	
4350000	610.613261	1	-0.638777298413	0.939184084460	-0.047024616134	0.136884839866	0.007331394500	0.000056513037	0.978461533817	N\A	0.060978551486	0.007285455328	0.029986358545	0.004627707235	36	4	
4400000	615.348889	1	-0.260997234038	0.688102876519	-0.026653226588	0.257805550707	-0.003396460343	0.000094145017	0.983159416319	N\A	0.063455653828	0.007753184082	0.029742522412	0.004770905834	44	3	
4450000	612.960829	1	-0.362256706806	0.773777268183	-0.031991740296	0.216212969054	0.002192357995	0.000040984930	0.979969718045	N\A	0.066331654660	0.007378060103	0.032727743799	0.004581348838	40	2	
4500000	621.416833	1	-0.622130934530	0.939350369873	-0.049719313233	0.128701863740	0.014408329455	0.000046462991	0.983905380151	N\A	0.052173782200	0.006338451493	0.025037523043	0.004099744192	49	3	
4550000	615.400931	1	-0.594978484432	0.922543165978	-0.047858450246	0.150880785153	0.009416140209	0.000061992536	0.979390726912	N\A	0.058801618942	0.006763381403	0.029852169057	0.004421936744	31	7	
4600000	612.269931	1	-0.439444330155	0.823061228265	-0.037331496893	0.187464070982	0.003865418104	0.000097087851	0.980205659098	N\A	0.068515911215	0.008532304701	0.032830064574	0.005154901199	31	2	
4650000	609.570074	1	-0.507161326116	0.851321978249	-0.032524664214	0.144153925164	0.006956049628	0.000120161615	0.978436505966	N\A	0.067301633445	0.008579297170	0.032748751841	0.005463477243	34	3	
4700000	626.182337	1	-0.703577629578	0.971045370670	-0.047969500164	0.132091676526	0.006318212023	0.000060836008	0.983741746718	N\A	0.065859406018	0.007901924194	0.032416032975	0.005046634334	48	2	
4750000	622.269060	1	-0.458753058396	0.814082147545	-0.040586225609	0.237853911206	-0.001942266197	0.000083920834	0.985776749710	N\A	0.064373389084	0.008177261090	0.029553046201	0.004737651707	44	1	
4800000	622.734049	1	-0.470845545073	0.831466614034	-0.044786679372	0.212862215261	0.006673976984	0.000053734719	0.984539695570	N\A	0.064893884556	0.008963441303	0.028753904505	0.004884197603	41	3	
