Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-glob-006.txt
Log File Name:                   STR_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            549635774
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	374.163451	1	0.424906606044	0.692138960562	0.159166598358	0.009024336584	0.420686620599	0.141670859452	-0.084353887724	0.058889792391	-0.052065674190	-0.027494035912	-0.153425247402	-0.089216261494	0.000332677317	0.946703630359	N\A	0.043838462069	0.106267661844	0.088351773812	0.123678798762	0.134710758928	0.197974556604	0.049598183850	0.046537374265	0.052489053392	0.052873877817	0.049486251894	40	13	-0.011146612029	Global Trend	
2050000	345.748759	1	0.909395007311	0.701601579974	0.138543762976	-0.092264365339	0.452528209822	0.237794878545	-0.118395898134	0.054768177682	-0.050587847001	-0.046368883988	-0.107324926155	-0.175253659186	0.000587850854	0.995480277101	N\A	0.062520828085	0.121851433802	0.103761697498	0.191814372453	0.139102324483	0.214681431076	0.067550811719	0.064251457585	0.073155274820	0.074296196916	0.068286633249	39	11	-0.170603769231	Global Trend	
2100000	343.440161	1	0.199310779734	0.631408406595	-0.314178936727	-0.453538729025	0.468734776737	0.034078532123	1.001562742303	0.115686432453	0.039402432448	0.017737926098	-0.097722925240	-0.058581609570	0.000492812021	0.929713383269	N\A	0.072958702044	0.124851259059	0.112708854523	0.162276896088	0.138159036460	0.268271126675	0.075780095387	0.074420205301	0.080651679744	0.079778959796	0.079442594378	39	14	0.001812003697	Global Trend	
2150000	345.027440	1	0.419719646781	0.812311098347	-0.061131236545	-0.137093432856	0.309399414669	0.099391874785	0.909907218451	-0.058659237075	-0.176502590671	-0.183440402833	-0.239711442790	-0.264292123049	0.000072766919	0.990560053397	N\A	0.075545708778	0.109267035845	0.096782700001	0.134748942361	0.112348308501	0.220339083782	0.078207192351	0.077015109946	0.082796592210	0.080282997906	0.080167639701	48	13	0.011738069655	Global Trend	
2200000	350.822216	1	0.155068370446	0.763844208989	-0.233811007790	-0.126011403068	0.459556856892	-0.033852455544	0.979088047541	-0.003310692522	-0.122471742373	-0.020827844791	-0.198364901860	-0.257494144013	0.000202425554	0.924987959494	N\A	0.050057269632	0.118312153399	0.106059560630	0.219773659988	0.122234533646	0.234277831075	0.054174186324	0.052780598496	0.069366729708	0.057016832052	0.055674118293	42	12	0.000672080531	Global Trend	
2250000	369.188804	1	0.677473771413	0.625388406715	-0.107706953497	-0.171141989584	0.544510181901	0.241577206347	-0.166240170053	0.121054729566	0.044040657062	-0.054656678974	-0.073432182538	-0.029582948033	0.000405742650	0.943044183821	N\A	0.074225145279	0.117894842676	0.102305245255	0.143257584561	0.127100657853	0.212805595686	0.077962822004	0.075814980034	0.080432987492	0.081812342303	0.077208533658	30	16	-0.023485948299	Global Trend	
2300000	365.323243	1	0.600652941437	0.736762981229	0.025494240789	-0.057283030054	0.682743338501	0.235430063601	0.043446922555	-0.002776908759	-0.117361688082	-0.183662861696	-0.222611136836	-0.130293293130	0.000540064440	0.979923280987	N\A	0.079970484862	0.130337034757	0.114886385986	0.189347976667	0.134448449283	0.260133936730	0.083826603550	0.081399855169	0.088194821914	0.084311997229	0.083546121046	32	13	0.071683916339	Global Trend	
2350000	336.041058	1	0.636962722755	0.674171167823	-0.072472783685	-0.077053888111	0.381614699320	0.161060232309	0.153094620635	0.143386605637	-0.035757752874	-0.070924468462	-0.125223363399	-0.098000340388	0.000188239598	0.958791290563	N\A	0.053532986186	0.110405635700	0.087982919304	0.141242934455	0.121771075324	0.173097546577	0.060828757031	0.056037290570	0.064219637049	0.064748210309	0.060823052660	33	8	0.016786359417	Global Trend	
2400000	370.710611	1	0.277828938805	0.652177670728	0.062951785829	-0.037980547024	0.006947536560	0.148937380600	0.314507581387	0.060244760811	-0.041626151446	-0.038379515846	-0.101885699014	-0.025299983929	0.000194918561	0.999192466302	N\A	0.040011549501	0.100361837161	0.082061950346	0.132735643485	0.105023857173	0.163245491620	0.044057994984	0.043348464146	0.051247955902	0.052216832570	0.045375914895	37	16	0.145384525697	Global Trend	
2450000	352.310425	1	1.122680265495	0.485310440578	0.000920318020	0.030359900851	0.081954120178	0.118133016802	-0.679614300989	0.285369953659	0.186967770406	0.208150127609	0.096239335597	0.047332254996	0.000807121592	0.923678380467	N\A	0.081616630176	0.138217031208	0.123486432659	0.231812904678	0.141338107380	0.331216943221	0.085371994188	0.082774854330	0.092683095324	0.087191285085	0.086261264060	44	13	0.003572354700	Global Trend	
2500000	329.393997	1	0.614512941036	0.646960040536	-0.017678576354	-0.155055400190	0.090268919774	0.236224435952	0.088955263997	0.063996474781	0.001826755272	0.033273460519	-0.059134473702	-0.064551000800	0.000215805948	0.916268570650	N\A	0.055194605136	0.113364585163	0.095719220600	0.146501007121	0.133575102865	0.181713874289	0.061726829086	0.057467476024	0.066071367770	0.066793666772	0.061936936027	38	6	-0.003091473902	Global Trend	
