Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m5-bm-001.txt
Log File Name:                   NEO_d1_m5-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3639240512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m5-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
3150000	566.656056	1	-1.019943523993	1.129279906365	-0.003036833661	0.000093012293	0.982152557436	N\A	0.033000856147	0.004806157136	
3200000	566.720772	1	-1.112768218194	1.175230084468	-0.008192245767	0.000092977303	0.982159271373	N\A	0.032994648352	0.004805253050	
3250000	566.594367	1	-1.105423954159	1.178240814446	-0.009697832237	0.000093045659	0.982146155141	N\A	0.033006774705	0.004807019100	
3300000	567.044742	1	-1.066968507462	1.154006018256	-0.006065376507	0.000092802341	0.982192843547	N\A	0.032963589540	0.004800729727	
3350000	566.320810	1	-1.040803628487	1.145865207456	-0.005997397705	0.000093193761	0.982117736940	N\A	0.033033032920	0.004810843276	
3400000	565.877298	1	-1.140828459593	1.186256721868	-0.008926204240	0.000093434377	0.982071566949	N\A	0.033075649218	0.004817049801	
3450000	566.882416	1	-1.035263646955	1.130000598336	-0.001911804229	0.000092889966	0.982176029977	N\A	0.032979148028	0.004802995624	
3500000	566.994894	1	-1.045560376530	1.136491796784	-0.002885040894	0.000092829241	0.982187682011	N\A	0.032968366564	0.004801425440	
3550000	564.737567	1	-1.128388237896	1.171012361614	-0.005619352674	0.000094055560	0.981952372571	N\A	0.033185416214	0.004833035975	
3600000	566.649791	1	-1.053746224351	1.151177303859	-0.006401035700	0.000093015682	0.982151907259	N\A	0.033001457247	0.004806244679	
3650000	567.067807	1	-1.068660150836	1.154335932338	-0.006013223166	0.000092789898	0.982195231288	N\A	0.032961379441	0.004800407854	
3700000	565.889857	1	-1.055837537732	1.132866207450	-0.000947336860	0.000093427554	0.982072876020	N\A	0.033074441662	0.004816873936	
3750000	564.804501	1	-1.186192636989	1.219168429612	-0.014455849991	0.000094018966	0.981959394420	N\A	0.033178959807	0.004832095681	
3800000	566.351013	1	-0.999469907053	1.109677791613	0.000825892881	0.000093177398	0.982120876763	N\A	0.033030132773	0.004810420907	
3850000	565.879706	1	-0.993689977626	1.117827871190	-0.002023259111	0.000093433068	0.982071817977	N\A	0.033075417660	0.004817016077	
3900000	564.959416	1	-0.951637718274	1.091879563926	0.001789675163	0.000093934324	0.981975635719	N\A	0.033164021540	0.004829920111	
3950000	567.047181	1	-1.050583649391	1.139997067759	-0.003457299506	0.000092801026	0.982193096025	N\A	0.032963355853	0.004800695693	
4000000	566.944719	1	-1.050764511192	1.138066781032	-0.002885835183	0.000092856324	0.982182485176	N\A	0.032973175559	0.004802125809	
