Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Sorex_araneus	0.861	3.0789623596587	9.48000921219507	0.987	0.974169
Sorex_cinereus	0.736	3.0789623596587	9.48000921219507	0.633	0.400689
Sorex_fumeus	1	3.0789623596587	9.48000921219507	0.924	0.853776
Sorex_hoyi	0.575	3.0789623596587	9.48000921219507	0.42	0.1764
Sorex_minutus	0.627	3.0789623596587	9.48000921219507	0.633	0.400689
Suncus_etruscus	0.276	3.0789623596587	9.48000921219507	0.762	0.580644
Suncus_murinus	1.106	3.0789623596587	9.48000921219507	1.529	2.337841
Sylvisorex_granti	0.636	3.0789623596587	9.48000921219507	0.591	0.349281
Suncus_megalura	0.589	3.0789623596587	9.48000921219507	0.74	0.5476
Talpa_europaea	1.599	3.0789623596587	9.48000921219507	1.908	3.640464
Tenrec_ecaudatus	1.887	3.0789623596587	9.48000921219507	2.935	8.614225
Aepyprymnus_rufescens	2.585461	3.0789623596587	9.48000921219507	3.392697	11.510392933809
Antechinus_flavipes	1.298853	3.0789623596587	9.48000921219507	1.568202	2.459257512804
Antechinus_minimus	1.348305	3.0789623596587	9.48000921219507	1.724276	2.973127724176
Bettongia_gaimardi	2.556303	3.0789623596587	9.48000921219507	3.176091	10.087554040281
Bettongia_penicillata	2.439806	3.0789623596587	9.48000921219507	3.079181	9.481355630761
Burramys_parvus	1.39794	3.0789623596587	9.48000921219507	1.770852	3.135916805904
Cercartetus_nanus	1.281033	3.0789623596587	9.48000921219507	1.278754	1.635211792516
Dactylopsila_trivirgata	2.213518	3.0789623596587	9.48000921219507	2.643453	6.987843763209
Dasycercus_cristicauda	1.64836	3.0789623596587	9.48000921219507	2	4
Dasyuroides_byrnei	1.653213	3.0789623596587	9.48000921219507	2.146128	4.605865392384
Dasyurus_geoffroii	2.150449	3.0789623596587	9.48000921219507	2.69897	7.2844390609
Dasyurus_hallucatus	1.847573	3.0789623596587	9.48000921219507	3.021189	9.127582973721
Dendrolagus_lumholtzi	2.684486	3.0789623596587	9.48000921219507	3.78533	14.3287232089
Distoechurus_pennatus	1.498311	3.0789623596587	9.48000921219507	1.633468	2.668217707024
Dorcopsis	2.689486	3.0789623596587	9.48000921219507	3.462398	11.988199910404
Echymipera_kalubu	2.047664	3.0789623596587	9.48000921219507	2.819544	7.949828367936
Gymnobelideus_leadbeateri	1.850033	3.0789623596587	9.48000921219507	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.249443	3.0789623596587	9.48000921219507	2.748188	7.552537283344
Isoodon_macrourus	2.067443	3.0789623596587	9.48000921219507	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.134814	3.0789623596587	9.48000921219507	3.004321	9.025944671041
Osphranter_antilopinus	3.078457	3.0789623596587	9.48000921219507	4.537819	20.591801276761
