Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-glob-006.txt
Log File Name:                   MOB_d1_m9-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3519862750
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	296.326886	1	-1.898505770178	1.651064077302	-0.140834288505	0.095677502624	0.008389626230	0.000337120748	0.925722706402	N\A	0.137643276307	0.022490841147	0.053634362817	0.011970461929	45	18	0.000997363471	Global Trend	
2550000	316.562473	1	-1.599042799371	1.434918802158	-0.121725553073	0.101235073805	0.027352021849	0.000245355573	0.918372921633	N\A	0.158169550845	0.024725483925	0.067736605183	0.014003405127	39	22	0.000048792216	Global Trend	
2600000	312.632981	1	-1.198287335417	1.055779702090	-0.040294961768	0.185492181367	-0.018751940835	0.000165726588	0.921991857655	N\A	0.153023193052	0.026657033433	0.061912776479	0.014537534159	42	23	-0.000195186282	Global Trend	
2650000	291.953390	1	-1.149052678734	1.241335754533	-0.075115716386	0.132926174735	-0.004180131661	0.000656484447	0.911987332539	N\A	0.115872566575	0.019064145887	0.055149824055	0.012655653644	43	13	0.004911502841	Global Trend	
2700000	309.975440	1	-1.605827859861	1.630827632363	-0.130489836069	-0.126540471584	0.056109863395	0.000285067479	0.948536339278	N\A	0.093207036603	0.016651635801	0.042437621104	0.010387504070	38	13	0.002034014221	Global Trend	
2750000	338.184989	1	-1.768247668482	1.687883670013	-0.149063539767	0.000966266742	0.034985496739	0.000144888097	0.934444154857	N\A	0.111224866608	0.017822319521	0.052279100032	0.010990248420	48	18	0.001253899635	Global Trend	
2800000	326.320076	1	-1.815809071737	1.704397070862	-0.140046597791	-0.072470686621	0.039421949195	0.000201833734	0.946082511423	N\A	0.114130507852	0.018091029802	0.047489629115	0.010477343569	45	16	0.001113675932	Global Trend	
2850000	335.503057	1	-1.499779997601	1.544489155577	-0.113292382258	-0.051794176527	0.031662140494	0.000178798363	0.940199123147	N\A	0.094063939462	0.014999679816	0.049564543798	0.010369365294	52	20	0.001912112767	Global Trend	
2900000	295.505870	1	-2.169131703540	1.848970494044	-0.180988910567	-0.048860952920	0.059820345565	0.000256441061	0.919428824794	N\A	0.173005643876	0.028251161083	0.069413987926	0.015531794866	30	15	-0.000014137101	Global Trend	
2950000	273.218942	1	-1.082823923305	1.067987999012	-0.053641677510	0.163920450360	-0.007201146065	0.000420606596	0.915812618557	N\A	0.091796931062	0.013616763770	0.059385119335	0.011443679468	36	12	0.006333502984	Global Trend	
3000000	279.034628	1	-1.057237655692	1.066186123813	-0.011106075988	0.064463200170	-0.015288503742	0.000594552890	0.905250379763	N\A	0.144326164349	0.020550613467	0.070716917057	0.013603111185	44	19	0.003504150001	Global Trend	
3050000	284.954857	1	-1.626836493970	1.086758841925	-0.049254229839	0.177713728550	-0.008383291643	0.001416056591	0.905607466644	N\A	0.127226651509	0.021112677912	0.062071411839	0.014191635585	34	21	0.008350857528	Global Trend	
3100000	310.962045	1	-2.317585996108	1.477766620123	-0.107705238404	0.031048776651	0.015638235703	0.000214162064	0.927945315119	N\A	0.156573596074	0.026508472363	0.061647475165	0.014265797664	31	22	0.000042330563	Global Trend	
3150000	317.906387	1	-1.921988350347	1.439558939324	-0.088979477958	0.010335971033	0.008004008046	0.000353317772	0.921416463594	N\A	0.133072686934	0.020879767959	0.061733474471	0.012596233554	44	22	0.001881437228	Global Trend	
3200000	327.205952	1	-2.136560558422	1.503313973382	-0.117113125911	0.026931424306	0.024724046547	0.000142363987	0.935818686253	N\A	0.105692992786	0.017378027593	0.052181962376	0.010900890472	35	24	0.001256105958	Global Trend	
3250000	321.578187	1	-1.932163629120	1.691052299010	-0.145623812712	-0.045837845561	0.046718806140	0.000311311870	0.983326624933	N\A	0.080265074606	0.017830188527	0.037090273188	0.011686110425	38	23	0.002098117202	Global Trend	
3300000	306.889249	1	-1.923622428550	1.728155280833	-0.142870356405	-0.100466524395	0.051270774814	0.000564383366	0.932087561607	N\A	0.121431128343	0.020434373689	0.053365828337	0.012063243963	44	16	0.001610740312	Global Trend	
3350000	314.168338	1	-1.741236598473	1.787871503945	-0.162997729894	-0.093987627035	0.053888423857	0.000301127813	0.940932731640	N\A	0.092814929098	0.017620553291	0.044350649941	0.012128176510	39	18	0.002649248827	Global Trend	
3400000	318.730139	1	-1.612182159325	1.656163517739	-0.136860495559	-0.006720103728	0.032804528021	0.000231619689	0.927024402903	N\A	0.116165620085	0.018424437727	0.052532758217	0.011685726340	34	16	0.002122864005	Global Trend	
