Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-bm-004.txt
Log File Name:                   MED_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2882994964
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	376.835604	1	1.154247757011	0.545224651094	-0.096759099709	-0.157177235077	0.333102361986	-0.195783991318	-0.229730068051	0.043922813268	0.077743388614	-0.017681583835	0.085217529485	-0.012539680441	0.000280434154	0.913322750160	N\A	0.051271458441	0.218810110637	0.197919162882	0.207458503988	0.201065878945	0.272623464600	0.057049207467	0.055056242502	0.057233476647	0.059477433351	0.054362418574	
2100000	370.352364	1	0.566584148230	0.690456055154	0.051983718074	0.285430070066	0.547909406158	0.379841795857	0.651212659190	-0.085661477886	-0.052200569833	-0.125725277435	-0.175166752821	-0.138953203700	0.000291206374	0.909993247083	N\A	0.052246915595	0.222973048345	0.201684643114	0.211405473470	0.204891226534	0.277810219899	0.058134588285	0.056103706475	0.058322363250	0.060609012003	0.055396682308	
2150000	371.613475	1	0.881075482351	0.519226349724	0.006232890112	-0.049218837770	0.341330902223	0.336077293053	0.232132686499	0.097542018761	0.167149949502	0.026384212380	0.020494229702	0.014517531979	0.000289079046	0.910650766561	N\A	0.052055728081	0.222157121466	0.200946617051	0.210631875902	0.204141466597	0.276793626965	0.057921855968	0.055898405779	0.058108943807	0.060387225010	0.055193968830	
2200000	374.377210	1	0.841226706626	0.572819002287	-0.019016995261	-0.212605137046	0.010426566405	-0.041369888553	0.525688241358	0.033317047670	0.089797351978	-0.019146494544	0.065979607888	-0.043838293089	0.000284471178	0.912074977388	N\A	0.051639181990	0.220379436590	0.199338657064	0.208946415189	0.202507941660	0.274578744808	0.057458369555	0.055451110865	0.057643960331	0.059904010896	0.054752310769	
2250000	376.977694	1	1.190892029111	0.555750577117	-0.251128814686	-0.371178405758	0.075708826099	-0.138826612952	-0.161473237846	0.017767806028	0.103001758219	-0.034288042537	0.046082265713	-0.025670833704	0.000280202581	0.913394325304	N\A	0.051250284950	0.218719748980	0.197837428526	0.207372830186	0.200982845095	0.272510879730	0.057025647948	0.055033506015	0.057209841031	0.059452871052	0.054339968614	
2300000	375.477757	1	0.865390231218	0.672961784658	0.222067092797	0.207607066277	0.311315623734	0.230988006538	0.258657030828	-0.090900713317	-0.042182182754	-0.137962750906	-0.080608418901	-0.187820746710	0.000282656791	0.912635772422	N\A	0.051474238498	0.219675510764	0.198701938724	0.208279008192	0.201861100138	0.273701698052	0.057274838683	0.055273991486	0.057459836653	0.059712668269	0.054577423464	
2350000	376.924500	1	0.702193848024	0.613486626856	0.193622135406	0.216386794128	0.578426383523	0.471744777464	0.439210494995	-0.018829386642	0.031572879629	-0.078734901416	-0.066133572830	-0.094916484121	0.000280289252	0.913367536767	N\A	0.051258210609	0.218753573144	0.197868023320	0.207404899593	0.201013926316	0.272553022485	0.057034466744	0.055042016734	0.057218688312	0.059462065208	0.054348372080	
2400000	374.883847	1	1.048195917407	0.614259361825	-0.207760259865	-0.213666909689	0.066884138941	-0.172696235954	0.176398782818	0.025202590828	-0.001071497121	-0.047720080102	-0.018253340684	-0.127911725713	0.000283634482	0.912333585448	N\A	0.051563184610	0.220055104192	0.199045290379	0.208638908768	0.202209910740	0.274174647292	0.057373808078	0.055369503470	0.057559125719	0.059815850168	0.054671731798	
2450000	376.963681	1	0.934215750043	0.567826057364	-0.189569722984	-0.176376277266	0.032442524067	0.026613910015	0.238996874976	0.059744040563	0.090517632376	0.019864667807	0.038012868406	-0.029110445951	0.000280225410	0.913387269327	N\A	0.051252372651	0.218728658616	0.197845487512	0.207381277600	0.200991032211	0.272521980569	0.057027970910	0.055035747826	0.057212171496	0.059455292888	0.054342182174	
2500000	374.864982	1	0.885246931017	0.588988364499	0.058574845292	0.054386436464	0.002209104924	-0.119518588530	0.469600436146	0.024924714217	0.069427220448	-0.042558178335	-0.002005496147	-0.079201939817	0.000283665593	0.912323969501	N\A	0.051566012462	0.220067172555	0.199056206513	0.208650351039	0.202221000429	0.274189683705	0.057376954599	0.055372540070	0.057562282403	0.059819130616	0.054674730130	
