Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-glob-001.txt
Log File Name:                   MES_d1_m2-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4099088890
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	486.983956	1	0.843536673409	0.568844706395	-0.064592341713	-0.117197389198	0.585751688806	-0.111198651132	0.200663048122	0.063116468751	0.073310362982	-0.165383966443	0.021101615883	-0.052627843401	0.000085833634	0.998996878992	N\A	0.022215504019	0.067438802567	0.053523571771	0.081112815379	0.088070464446	0.110701395532	0.026302116197	0.023936345528	0.029802172935	0.036482064519	0.028859650443	43	9	0.081077586764	Global Trend	
2050000	470.647333	1	0.747006322734	0.574391323762	0.204212638776	0.014431466115	0.569111346829	0.006798322116	-0.177958232889	0.017916634119	0.073730475835	-0.124773644290	-0.077242439857	-0.085352059436	0.000026370024	0.987743059648	N\A	0.018245243055	0.081948149623	0.064840309646	0.105266331329	0.097211708116	0.158819586922	0.026135572691	0.021863655548	0.028045269052	0.034257674669	0.030191722917	31	14	0.006124244817	Global Trend	
2100000	467.904220	1	0.874304852300	0.489017812256	0.164569119974	-0.313121768810	0.434866182786	-0.197854023496	0.210724332562	0.090109659469	0.156129063071	-0.046096274719	0.026314312796	-0.013920406735	0.000084817808	0.999926820910	N\A	0.026443642557	0.072158282714	0.056381671341	0.080427565572	0.086221357262	0.120488271418	0.032691741273	0.028814351022	0.032196795920	0.036553244526	0.038262397285	22	13	-0.329991761275	Global Trend	
2150000	476.808899	1	1.023801035256	0.546894373514	0.275505833564	0.020907516448	0.379903413047	-0.138483327327	-0.076341368086	0.103103369558	0.050974176631	-0.064916671613	-0.024365346435	-0.073417950168	0.000096901306	0.999992600559	N\A	0.028242844998	0.073825695903	0.059233281723	0.083866723141	0.095494081893	0.121243686430	0.032841549219	0.030608279575	0.033324642592	0.040951461003	0.034606719639	43	10	-0.907627198667	Global Trend	
2200000	464.312425	1	0.703619163511	0.536746735415	0.342188766230	0.236028006451	0.560819249523	-0.157071760710	0.175502462448	0.040196937845	0.096469123883	-0.088469648740	0.098058983000	-0.008073346369	0.000275991847	0.945080150354	N\A	0.027379719005	0.106314660734	0.091311700585	0.123472286470	0.109969542912	0.167862859777	0.033886734340	0.030115695367	0.035726449543	0.038414828436	0.033649852137	38	7	-0.001231437470	Global Trend	
2250000	472.198933	1	0.664536964719	0.589936183308	-0.020228494284	0.017377633678	0.577877785481	-0.287752747767	0.294789873978	0.042993097843	0.050942857824	-0.145936766907	-0.054260033319	-0.062618083776	0.000236535591	0.998978023400	N\A	0.015878010328	0.070582078121	0.065854106379	0.110705959266	0.102351187017	0.173037728185	0.022571569351	0.020015878726	0.027533777391	0.035327390823	0.032758449597	40	8	-0.166883783690	Global Trend	
2300000	468.161765	1	0.769685833216	0.548025066793	0.092366974212	0.020840168672	0.253495167633	-0.234835115938	0.245270214145	0.071922184564	0.079804932497	-0.074438599852	0.088348829059	-0.032794152899	0.000177932727	0.951665145872	N\A	0.034952050274	0.081723369392	0.070511197439	0.099887341620	0.096753928630	0.153688842585	0.038525048338	0.036711502071	0.039731181626	0.045449349842	0.040723157985	24	8	-0.001968137368	Global Trend	
2350000	457.620611	1	0.720147025352	0.635215144749	-0.092826415872	-0.002056951165	0.722704273318	-0.296771703819	0.405323634103	-0.003874291804	0.015862456573	-0.221159800555	-0.011661133470	-0.151072242946	0.000181511655	0.999904466711	N\A	0.039524827465	0.081577020217	0.069247028746	0.110882355286	0.099958864954	0.156636966015	0.043278611495	0.041051493577	0.045911379287	0.050026628270	0.045882234479	37	7	-0.393508656013	Global Trend	
2400000	462.199775	1	0.815591173110	0.521241792358	-0.163937819026	-0.087787540409	0.438195404355	-0.102825523269	0.192503062624	0.108525475851	0.116846255155	-0.070032898554	0.012831684205	-0.015159301760	0.000222433170	0.953583741146	N\A	0.045093619010	0.085195116788	0.073495738633	0.109206208913	0.106645265354	0.176327670501	0.048385943005	0.046195425507	0.049302819263	0.052585760190	0.052763518292	44	7	0.002917273960	Global Trend	
2450000	455.864609	1	0.825661753651	0.496179175338	0.071160901327	0.028778077890	0.556131819176	-0.219473380568	0.422461594841	0.081169953417	0.143359330595	-0.015907013534	0.122072586072	0.013533409439	0.000292433506	0.952608522261	N\A	0.046819440489	0.106278862215	0.091915935794	0.152596324449	0.133767758642	0.219520612138	0.050378886004	0.047837508101	0.053959803410	0.059447004642	0.051578843939	33	6	0.001368364066	Global Trend	
