Species_TTOL	DIE	rest_of_brain	BOD	BOD2
Desmodus_rotundus	1.874	2.97496949473285	1.56	2.4336
Diphylla_ecaudata	1.803	2.87975236516861	1.49	2.2201
Emballonura_monticola	1.17	2.19689550326823	0.724	0.524176
Emballonura_raffrayana	1.173	2.21750313113026	0.771	0.594441
Eptesicus_brasiliensis	1.185	2.27704088235613	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.279	2.3513653086034	1.134	1.285956
Eumops_auripendulus	1.668	2.75999624802448	1.529	2.337841
Eumops_glaucinus	1.665	2.79101278730558	1.562	2.439844
Furipterus_horrens	0.964	2.07959239815975	0.535	0.286225
Glischropus_tylopus	0.892	1.97312302120491	0.69	0.4761
Glossophaga_longirostris	1.502	2.6169266719764	1.053	1.108809
Glossophaga_soricina	1.455	2.57354501835856	0.996	0.992016
Harpiocephalus_harpia	1.501	2.62086344715862	1.13	1.2769
Hesperoptenus_blanfordi	1.104	2.16984821507198	0.863	0.744769
Hipposideros_armiger	1.749	2.87560056473481	1.748	3.055504
Hipposideros_ater	1.193	2.30545128539469	0.839	0.703921
Hipposideros_caffer	1.326	2.4627759440208	1.041	1.083681
Macronycteris_commersoni	1.734	2.84697711567035	1.997	3.988009
Hipposideros_diadema	1.728	2.82568898250015	1.622	2.630884
Hipposideros_fulvus	1.25	2.34735841257385	0.845	0.714025
Hipposideros_lankadiva	1.728	2.83381440820857	1.686	2.842596
Hipposideros_larvatus	1.49	2.59070379701993	1.312	1.721344
Hipposideros_ridleyi	1.324	2.40319100137588	0.982	0.964324
Hipposideros_speoris	1.31	2.42782469906196	1.061	1.125721
Hipposideros_turpis	1.629	2.74970813235674	1.542	2.377764
Ia_io	1.774	2.85693377655639	1.727	2.982529
Kerivoula_papillosa	1.33	2.47004291344843	1.004	1.008016
Lasiurus_borealis	1.097	2.20786055220101	0.892	0.795664
Leptonycteris_curasoae	1.643	2.76007259430502	1.389	1.929321
Leptonycteris_nivalis	1.636	2.74009904764629	1.358	1.844164
Lonchophylla_mordax	1.517	2.61273847911539	1.029	1.058841
Hsunycteris_thomasi	1.373	2.50023862095974	0.839	0.703921
Lophostoma_silvicolum	1.743	2.85331808051172	1.509	2.277081
Macroderma_gigas	2.139	3.20498065502424	2.078	4.318084
Macrophyllum_macrophyllum	1.384	2.4790378028068	0.934	0.872356
Megaderma_lyra	1.863	2.93241161841455	1.587	2.518569
Megaderma_spasma	1.679	2.78365497627165	1.354	1.833316
Mesophylla_macconnelli	1.389	2.5144416036305	0.875	0.765625
Micronycteris_brachyotis	1.444	2.58328686142129	1.167	1.361889
Micronycteris_megalotis	1.297	2.41295245824855	0.813	0.660969
Micronycteris_minuta	1.255	2.43110917339505	0.839	0.703921
Micronycteris_schmidtorum	1.324	2.46261324325241	0.892	0.795664
Gardnerycteris_crenulatum	1.415	2.48743694137244	1.072	1.149184
Miniopterus_australis	1.164	2.28796870242141	0.851	0.724201
Miniopterus_inflatus	1.34	2.48807198431177	1.173	1.375929
Miniopterus_magnater	1.338	2.4849865990346	1.176	1.382976
Miniopterus_pusillus	1.199	2.31097785415854	0.934	0.872356
Miniopterus_tristis	1.364	2.49587912679333	1.193	1.423249
Molossus_molossus	1.371	2.47483774200244	1.137	1.292769
Molossus_rufus	1.611	2.69716719929339	1.526	2.328676
Monophyllus_plethodon	1.501	2.62023584937206	1.176	1.382976
Mormoops_megalophylla	1.387	2.56247160047249	1.196	1.430416
Murina_cyclotis	1.262	2.37139315447136	0.851	0.724201
Murina_huttoni	1.276	2.38592275334146	0.944	0.891136
Myotis_adversus	1.299	2.3772871201093	1.049	1.100401
Myotis_albescens	1	2.07780309246655	0.602	0.362404
Myotis_annectans	1.253	2.31710569964846	0.991	0.982081
Myotis_bechsteinii	1.354	2.39586985328546	0.978	0.956484
Myotis_bocagii	1.199	2.25339686523018	0.845	0.714025
Myotis_dasycneme	1.422	2.46431986810657	1.176	1.382976
Myotis_myotis	1.604	2.65907694339085	1.408	1.982464
Myotis_nigricans	1	2.11100026230064	0.663	0.439569
Myotis_siligorensis	0.94	1.98557890358024	0.539	0.290521
Natalus_tumidirostris	1.262	2.36796538095518	0.839	0.703921
Noctilio_albiventris	1.665	2.74963685311494	1.515	2.295225
Noctilio_leporinus	1.947	3.04342425236468	1.763	3.108169
Nyctalus_noctula	1.405	2.52928534798622	1.431	2.047761
Nycteris_arge	1.403	2.51972165509131	1.025	1.050625
Nycteris_grandis	1.726	2.82882341601125	1.474	2.172676
Nycteris_hispida	1.318	2.43216548536531	0.892	0.795664
Nycteris_javanica	1.56	2.65047090615567	1.265	1.600225
Nycteris_macrotis	1.484	2.56570573628551	1.161	1.347921
Nycteris_thebaica	1.391	2.4880134922472	0.949	0.900601
Nyctophilus_geoffroyi	1.1	2.1954325071819	0.857	0.734449
Otomops_martiensseni	1.728	2.85387267955123	1.618	2.617924
Peropteryx_macrotis	1.111	2.18774408447669	0.748	0.559504
Phylloderma_stenops	1.953	3.10305487853701	1.664	2.768896
Phyllostomus_discolor	1.916	3.01289560068157	1.563	2.442969
Phyllostomus_elongatus	1.81	2.91962973558399	1.652	2.729104
Phyllostomus_hastatus	2.045	3.15775224544109	1.963	3.853369
Pipistrellus_javanicus	0.973	2.04743835568333	0.653	0.426409
Pipistrellus_tenuis	0.881	1.94445839594312	0.591	0.349281
Afronycteris_nana	0.898	1.97624949883145	0.591	0.349281
Hypsugo_pulveratus	1.064	2.12583275320563	0.724	0.524176
Perimyotis_subflavus	1.017	2.0689992385851	0.724	0.524176
Pteronotus_gymnonotus	1.36	2.50919392843789	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.573	2.71076396835588	1.305	1.703025
Pteronotus_personatus	1.193	2.33437416842607	0.908	0.824464
Rhinolophus_cornutus	1.149	2.26307067478927	0.82	0.6724
Rhinolophus_eloquens	1.476	2.58228368121921	1.281	1.640961
Rhinolophus_hipposideros	1.093	2.14741999328989	0.663	0.439569
Rhinolophus_landeri	1.324	2.41927248180996	0.987	0.974169
Rhinolophus_lepidus	1.149	2.24246038366786	0.778	0.605284
Rhinolophus_luctus	1.667	2.76563752486781	1.516	2.298256
Rhinolophus_macrotis	1.173	2.29216841823355	0.799	0.638401
Rhinolophus_malayanus	1.167	2.28065583157794	0.806	0.649636
Rhinolophus_megaphyllus	1.253	2.39284327871508	0.991	0.982081
Rhinolophus_pearsonii	1.407	2.49680535567541	1.143	1.306449
Rhinolophus_pusillus	1.093	2.19036275728536	0.672	0.451584
Rhinolophus_trifoliatus	1.449	2.51948592306197	1.164	1.354896
Rhinolophus_yunnanensis	1.516	2.61598611233896	1.371	1.879641
Rhinonicteris_aurantia	1.248	2.36980993185743	0.934	0.872356
Rhinophylla_pumilio	1.375	2.52389337701925	0.949	0.900601
Rhinopoma_hardwickii	1.391	2.41517493551946	1.111	1.234321
Rhinopoma_microphyllum	1.507	2.56167523073907	1.468	2.155024
Rhogeessa_parvula	0.968	2.02540404611476	0.653	0.426409
Rhynchonycteris_naso	0.973	2.04732050651951	0.58	0.3364
Saccopteryx_bilineata	1.27	2.33483311530367	0.924	0.853776
Saccopteryx_canescens	1.041	2.08934484317686	0.531	0.281961
Saccopteryx_leptura	1.124	2.18322541361085	0.708	0.501264
Scotomanes_ornatus	1.519	2.55494722650546	1.338	1.790244
Scotophilus_dinganii	1.544	2.6152095371468	1.386	1.920996
Scotophilus_kuhlii	1.458	2.50605597481635	1.31	1.7161
Sphaeronycteris_toxophyllum	1.615	2.69540272673135	1.265	1.600225
Sturnira_lilium	1.657	2.7664442150746	1.305	1.703025
Sturnira_ludovici	1.702	2.79971581818209	1.413	1.996569
Sturnira_tildae	1.703	2.82056767486967	1.387	1.923769
Tadarida_aegyptiaca	1.483	2.56759514736225	1.248	1.557504
Taphozous_australis	1.566	2.68911434548403	1.38	1.9044
Taphozous_hildegardeae	1.579	2.71134274302204	1.438	2.067844
Taphozous_mauritianus	1.626	2.71797961523504	1.462	2.137444
Taphozous_melanopogon	1.583	2.70480831622297	1.356	1.838736
Tonatia_bidens	1.73	2.87212442061372	1.468	2.155024
