Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m6-glob-003.txt
Log File Name:                   MOB_d1_m6-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2584530755
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m6-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
5300000	315.266578	1	-0.968615893479	0.955406803347	0.042261727142	0.000504392215	0.999350687007	N\A	0.026221626714	0.026009581410	39	26	-0.302159132200	Global Trend	
5350000	339.293409	1	-0.830290709571	0.956844041085	0.033953292625	0.001064349394	0.993242625800	N\A	0.027426619463	0.026146780545	53	29	-0.246022991046	Global Trend	
5400000	326.765564	1	-0.946361672467	0.980326191183	0.016791072210	0.000305142472	0.999499883957	N\A	0.023273843920	0.023215049963	38	29	-0.244606309781	Global Trend	
5450000	342.844944	1	-1.000560620192	1.005576660824	-0.002334266879	0.000175225998	0.999468850750	N\A	0.025644838899	0.025625134255	42	26	0.161910314538	Global Trend	
5500000	311.967429	1	-0.769299999586	0.913264908754	0.077849578361	0.001097290400	0.998010819934	N\A	0.026525637713	0.026156449954	43	21	-0.416350174121	Global Trend	
5550000	321.256580	1	-0.775576262412	0.919464427712	0.068810690299	0.000350125621	0.998140472310	N\A	0.028029195121	0.027641384249	43	23	-0.124359308344	Global Trend	
5600000	319.550256	1	-1.148396883605	0.951546945314	0.048027054303	0.000231938109	0.999122998365	N\A	0.027871768505	0.027891339392	37	22	0.118694288488	Global Trend	
5650000	325.130858	1	-0.714678126602	0.870397313313	0.125039880466	0.000302422055	0.999756689694	N\A	0.027360719837	0.027280049737	40	26	-0.319326735465	Global Trend	
5700000	311.957884	1	-0.831582501794	0.871041477867	0.103001145862	0.000554265569	0.977406491257	N\A	0.030011956842	0.025801835768	38	24	-0.050455006688	Global Trend	
5750000	308.868606	1	-0.943339842168	0.946239426377	0.054325641940	0.000630228110	0.999763700233	N\A	0.022337467094	0.022302399163	42	23	0.656216642244	Global Trend	
5800000	305.600355	1	-1.102596607400	0.999934956762	0.000904743058	0.000313920405	0.996906587410	N\A	0.028549870075	0.027837365361	36	23	-0.096729431274	Global Trend	
5850000	308.417749	1	-1.003865893382	0.982403865217	-0.000144562226	0.000249157081	0.990943815640	N\A	0.026026684415	0.024832752565	46	22	-0.033558257641	Global Trend	
5900000	316.514746	1	-0.926511220969	0.983205544825	0.009104032139	0.000343615762	0.998038479948	N\A	0.019044630473	0.018844058429	36	22	-0.120993842170	Global Trend	
5950000	331.241697	1	-1.108783928705	1.036490720201	-0.006956306838	0.000145906246	0.982061278796	N\A	0.026886751890	0.023382178529	55	28	0.013910188001	Global Trend	
6000000	328.471960	1	-0.992369799525	0.953497963976	0.039889614422	0.000231866382	0.998680618932	N\A	0.021169431384	0.020854907993	48	24	-0.089755781953	Global Trend	
6050000	342.691044	1	-0.631184831552	0.799812461665	0.146224252116	0.000140331784	0.979804378846	N\A	0.024039146669	0.019512521864	46	25	-0.014124458268	Global Trend	
6100000	313.426012	1	-0.821030576001	0.886336916692	0.110143058954	0.000183902959	0.999908088530	N\A	0.025359383005	0.025338435633	52	25	-0.251606319389	Global Trend	
6150000	333.930635	1	-0.806087822646	0.927184900059	0.068888984882	0.000165759258	0.999875939346	N\A	0.022627151935	0.022609192453	45	27	-0.248757654559	Global Trend	
6200000	329.105752	1	-0.709406213316	0.875450301136	0.097695558427	0.000336375852	0.990203380371	N\A	0.029785948665	0.027866971153	43	26	-0.055216872441	Global Trend	
6250000	320.833846	1	-0.524228149033	0.784161210180	0.135972435174	0.000377333905	0.944669201862	N\A	0.042345120702	0.030660684408	51	28	-0.011664505361	Global Trend	
6300000	302.922876	1	-0.763678829973	0.910658810713	0.097886358080	0.000379993400	0.997664388702	N\A	0.020574323754	0.020153896781	33	22	0.153869024491	Global Trend	
