Species_TTOL	SCH	rest_of_brain	BOD
Aepyprymnus_rufescens	2.585461	3.0789623596587	3.392697
Antechinus_flavipes	1.298853	3.0789623596587	1.568202
Antechinus_minimus	1.348305	3.0789623596587	1.724276
Bettongia_gaimardi	2.556303	3.0789623596587	3.176091
Bettongia_penicillata	2.439806	3.0789623596587	3.079181
Burramys_parvus	1.39794	3.0789623596587	1.770852
Cercartetus_nanus	1.281033	3.0789623596587	1.278754
Dactylopsila_trivirgata	2.213518	3.0789623596587	2.643453
Dasycercus_cristicauda	1.64836	3.0789623596587	2
Dasyuroides_byrnei	1.653213	3.0789623596587	2.146128
Dasyurus_geoffroii	2.150449	3.0789623596587	2.69897
Dasyurus_hallucatus	1.847573	3.0789623596587	3.021189
Dendrolagus_lumholtzi	2.684486	3.0789623596587	3.78533
Distoechurus_pennatus	1.498311	3.0789623596587	1.633468
Dorcopsis	2.689486	3.0789623596587	3.462398
Echymipera_kalubu	2.047664	3.0789623596587	2.819544
Gymnobelideus_leadbeateri	1.850033	3.0789623596587	2.041393
Hypsiprymnodon_moschatus	2.249443	3.0789623596587	2.748188
Isoodon_macrourus	2.067443	3.0789623596587	3.033424
Isoodon_obesulus_obesulus	2.134814	3.0789623596587	3.004321
Osphranter_antilopinus	3.078457	3.0789623596587	4.537819
Macropus_giganteus	3.175802	3.0789623596587	4.563481
Notamacropus_irma	2.81278	3.0789623596587	3.819544
Notamacropus_parma	2.620032	3.0789623596587	3.536558
Notamacropus_parryi	2.923658	3.0789623596587	4.170262
Osphranter_robustus	3.016616	3.0789623596587	4.409933
Osphranter_rufus	3.020775	3.0789623596587	4.494155
Thylamys_pallidior	1.385606	3.0789623596587	1.477121
Marmosops_impavidus	1.650308	3.0789623596587	1.845098
Monodelphis_brevicaudata	1.49276	3.0789623596587	1.924279
Notoryctes_typhlops	1.523746	3.0789623596587	1.531479
Petauroides_volans	2.036629	3.0789623596587	3.09691
Petaurus_australis	2.198382	3.0789623596587	2.748188
Petaurus_breviceps	1.783904	3.0789623596587	2.113943
Petaurus_norfolcensis	1.835056	3.0789623596587	2.374748
