Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-glob-003.txt
Log File Name:                   PAL_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2887061203
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
3350000	448.565466	1	-0.790203227602	0.903394968362	-0.000364998021	0.127043643691	-0.027438627034	0.000226213080	0.998473029913	N\A	0.032606461128	0.004628003966	0.035229417006	0.005735357456	42	12	0.134241826837	Global Trend	
3400000	446.739577	1	-0.704960719713	0.865595215726	-0.009085695363	0.163799717534	-0.020561997989	0.000062259854	0.999746685657	N\A	0.033315487002	0.004788270438	0.035956614923	0.005727911795	42	14	0.098482178114	Global Trend	
3450000	449.680560	1	-0.739186529737	0.907000817104	0.001751978407	0.115064687452	-0.023871570666	0.000205148724	0.999985885238	N\A	0.033058290936	0.004666809951	0.035953344555	0.005813046705	38	13	1.373242741851	Global Trend	
3500000	461.826844	1	-0.701330823990	0.974611194719	-0.000794705233	0.017166992269	-0.014607929575	0.000052841693	0.985228496272	N\A	0.029763870566	0.004740204189	0.029490179627	0.005484078466	40	11	-0.008789720219	Global Trend	
3550000	456.915612	1	-1.134339824499	1.234844113301	-0.037282266980	-0.031606440909	-0.003982060654	0.000225472478	0.954192753322	N\A	0.081390177829	0.011795539979	0.042606216848	0.007385116283	39	12	0.006158956363	Global Trend	
3600000	460.382830	1	-0.591894011349	0.824420250477	0.009354003028	0.165044936135	-0.031249943711	0.000194024469	0.967220608651	N\A	0.050280175687	0.005550005025	0.036750128948	0.005727514250	42	10	-0.008740834368	Global Trend	
3650000	463.433069	1	-0.493446487819	0.911331392507	-0.003047120498	0.105130832180	-0.019869455221	0.000260969498	0.998760082114	N\A	0.033775675808	0.004547029110	0.036852335002	0.005916849453	33	10	-0.233394973876	Global Trend	
3700000	433.602573	1	-0.870575403633	0.964671158356	-0.003611559391	0.047808434762	-0.011956029909	0.000231657609	0.997933910639	N\A	0.034710256110	0.004502735467	0.037287953828	0.005985322341	34	8	-0.130179504657	Global Trend	
3750000	452.066369	1	-0.674638857900	0.940369405161	-0.007015100658	0.086900243994	-0.020616441655	0.000244742889	0.999965060695	N\A	0.033055366567	0.004633133326	0.036034904993	0.005708063227	37	11	-1.240922763279	Global Trend	
3800000	444.072709	1	-0.712569336586	0.951411233884	-0.002317245199	0.064488378151	-0.015041109590	0.000187980521	0.999475800575	N\A	0.032092028126	0.004500086889	0.034517387243	0.005546801441	41	10	-0.195921682919	Global Trend	
3850000	445.337581	1	-0.834984178630	0.930715713684	-0.002260189820	0.097711021013	-0.021333107496	0.000229805944	0.997024757590	N\A	0.031148839944	0.004420495813	0.033249693410	0.005734458459	41	12	0.112694537678	Global Trend	
3900000	424.005310	1	-0.716951084353	0.903188218224	0.007284397808	0.116286227214	-0.029550358944	0.000391042916	0.999073853954	N\A	0.035107773439	0.004883467871	0.038269621846	0.006163628094	34	10	-0.364741536092	Global Trend	
3950000	446.110570	1	-0.892498359257	0.913902879449	0.009099808499	0.014473566490	-0.012915392873	0.000191884056	0.954301855286	N\A	0.066211864951	0.009689839279	0.040157401306	0.006922725307	43	10	-0.007767258478	Global Trend	
4000000	432.253917	1	-0.809494886574	0.925486300009	-0.009479947274	0.109030243424	-0.015566402574	0.000255102732	0.995475301299	N\A	0.033439702872	0.004945243558	0.035792864316	0.005979564348	32	9	0.084383349049	Global Trend	
4050000	446.863871	1	-0.878433030837	0.975225447425	-0.016221588460	0.128234223684	-0.023659899044	0.000308533344	0.951967668878	N\A	0.108843908128	0.016387356910	0.046747277241	0.009034379850	37	12	0.001645800061	Global Trend	
4100000	445.077725	1	-1.415635297381	1.317203496142	-0.063537575106	-0.037156462851	0.006773199896	0.000148662754	0.952969968832	N\A	0.102851261335	0.014420468254	0.045216176093	0.008028040582	43	12	-0.000976409342	Global Trend	
4150000	460.953605	1	-1.297296419475	1.367719912811	-0.076056651394	-0.022532489997	0.015445124602	0.000214404694	0.957342955546	N\A	0.089782175611	0.011763645079	0.044476586579	0.007552787423	34	12	0.002825085172	Global Trend	
4200000	458.374349	1	-1.130355149772	1.202215565383	-0.055599109201	0.055918437526	0.002021507696	0.000197260675	0.957882154200	N\A	0.082288058562	0.010962919843	0.040944060726	0.007280600672	44	13	0.002944652677	Global Trend	
4250000	454.210089	1	-1.163628300182	1.221676962604	-0.058744185245	0.052912044039	0.000529568334	0.000195083905	0.952017196543	N\A	0.107392206636	0.014875396608	0.048895838041	0.008803321663	39	13	0.000328492322	Global Trend	
4300000	464.556355	1	-1.170217261278	1.280813346009	-0.051604258658	-0.012790498500	0.000700792811	0.000060395039	0.962852039165	N\A	0.075418965502	0.009710620920	0.038444719259	0.006638464531	42	13	0.000985827670	Global Trend	
4350000	451.746976	1	-1.248093891698	1.285109761637	-0.056094700534	-0.030227170652	0.005313432710	0.000100089466	0.954565703262	N\A	0.090823280438	0.013615365039	0.039492860176	0.007863257899	39	12	0.000270621512	Global Trend	
4400000	457.199408	1	-1.098220765755	1.120184385602	-0.023601652625	0.006188959401	-0.006665830864	0.000178967722	0.965801136905	N\A	0.063785385674	0.009538799319	0.034756421989	0.006953220683	42	13	0.007066357561	Global Trend	
