Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-glob-005.txt
Log File Name:                   SEP_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3666100468
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	545.037127	1	-1.651864886954	0.940930445029	-0.011023268054	0.094126975505	-0.014244747584	0.000087316009	0.994077706864	N\A	0.028026607248	0.003546450838	0.029135271321	0.004698051859	29	1	0.032560607803	Global Trend	
2550000	566.646364	1	-1.659814785898	0.961237844119	-0.015152102940	0.068147898091	-0.008066450754	0.000067390002	0.996813100345	N\A	0.023594436675	0.003211521327	0.024699071889	0.004109337098	34	3	0.043831492406	Global Trend	
2600000	560.089952	1	-1.726242660761	1.008908026379	-0.013351366754	0.009226871049	-0.004342073631	0.000059034711	0.999792100279	N\A	0.023355959234	0.002965588136	0.025015010826	0.004037605207	34	3	0.167820881174	Global Trend	
2650000	555.784339	1	-1.593326114896	0.914155946023	0.000231114193	0.057909949224	-0.014081597231	0.000078770689	0.978546670926	N\A	0.046786134299	0.007004233337	0.028298240362	0.005101733402	35	5	-0.005457385891	Global Trend	
2700000	543.991617	1	-1.739783032665	0.986756325325	-0.005838446113	0.027842447189	-0.013262962308	0.000066018522	0.997171972406	N\A	0.024953551192	0.003227144862	0.026431827605	0.004554440036	36	2	-0.032963592592	Global Trend	
2750000	552.972239	1	-1.702983843619	0.977077646513	-0.016979838713	0.045552532954	-0.005295230770	0.000062265917	0.994960822012	N\A	0.025381116779	0.003538478213	0.026772005616	0.004506456345	35	3	-0.037478767640	Global Trend	
2800000	551.978227	1	-1.601056196127	0.972443110837	-0.016049667219	0.052989905117	-0.009148969124	0.000096731839	0.999990115634	N\A	0.023429828470	0.003110412435	0.025452427941	0.004336369784	38	3	1.323286806479	Global Trend	
2850000	555.943020	1	-1.622908132660	0.947272466139	-0.014730462913	0.072826258327	-0.008047378742	0.000072315631	0.999424458947	N\A	0.025610939288	0.003563067660	0.027742109273	0.004904777845	37	2	-0.116219425210	Global Trend	
2900000	552.567751	1	-1.676667169040	0.969477380290	-0.011122265460	0.055286079981	-0.011357964502	0.000058392635	0.999507055730	N\A	0.026516412801	0.003066895356	0.028730877592	0.004650825155	33	3	0.089357104443	Global Trend	
2950000	556.280555	1	-1.671088590062	0.966271844376	-0.016403449947	0.058328832196	-0.007654751803	0.000147475844	0.978279712497	N\A	0.050637922500	0.006731606362	0.030250920011	0.005103282384	29	3	0.011568089201	Global Trend	
3000000	557.759620	1	-1.668628716430	0.962812391279	-0.013072727680	0.057320791957	-0.006676078924	0.000071477805	0.997303118955	N\A	0.023694573683	0.003093868964	0.024963452522	0.004138396909	32	3	0.048797020381	Global Trend	
3050000	564.680240	1	-1.640361858741	0.952223689113	-0.007869055295	0.069390266425	-0.013636763316	0.000045173042	0.999998964412	N\A	0.021794161153	0.002909329147	0.023636891399	0.003942616984	45	3	1.581706439764	Global Trend	
3100000	568.821984	1	-1.756922323028	0.976401167339	-0.006491617051	0.045738246029	-0.016322457264	0.000080962832	0.999804554930	N\A	0.022932283597	0.003130460467	0.024789692265	0.004266855871	30	5	0.421618742823	Global Trend	
3150000	561.895296	1	-1.633120373707	0.935617213914	-0.014988895144	0.080676098410	-0.007926151508	0.000065005174	0.986392343494	N\A	0.028756543308	0.004094610383	0.027272258659	0.004827161602	30	3	0.023983341390	Global Trend	
