Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-VR-001.txt
Log File Name:                   CEREB_d1_m8-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            120799098
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
6700000	558.736308	1	-0.949611196607	1.020602311732	-0.007478889790	0.043018698340	0.000008348063	0.984773183584	N\A	0.039413625191	0.004437837363	0.015554717894	38	23	
6750000	570.082190	1	-1.010931588666	1.086728919540	-0.016223797523	0.030620476477	0.000073129366	0.980813989790	N\A	0.042445869999	0.004385701126	0.016701720966	58	25	
6800000	561.550955	1	-1.006937926994	1.077446702880	-0.016135924828	0.039968111992	0.000070050209	0.980867254785	N\A	0.042515683223	0.004823476906	0.016879195321	56	30	
6850000	556.452071	1	-0.920633947602	1.017057775395	-0.012066920821	0.066648024790	0.000068716342	0.979153494676	N\A	0.048398972835	0.005674472752	0.018241891135	48	19	
6900000	550.492935	1	-0.871699708271	0.999659728991	-0.004488282926	0.036260833757	0.000138809782	0.986972930867	N\A	0.042086446665	0.004315332765	0.016008288844	46	29	
6950000	555.842732	1	-0.823809935384	0.966265567927	-0.010874764011	0.090507948988	0.000137735575	0.983282115657	N\A	0.041510792770	0.004505616075	0.016478319050	41	26	
7000000	575.359004	1	-0.992406796742	1.062452120860	-0.004443829057	-0.005604202390	0.000077841613	0.984547080736	N\A	0.040238792306	0.004880424221	0.016654117392	30	25	
7050000	557.705836	1	-0.877512026547	0.995915638638	-0.006577911883	0.050801176821	0.000081937606	0.979956613523	N\A	0.042607237066	0.004778005787	0.017044768502	42	20	
7100000	556.304731	1	-1.108034442904	1.119451912402	-0.018315526972	0.033788014383	0.000072707289	0.983368577602	N\A	0.042492049402	0.004963160653	0.017133690218	51	26	
7150000	563.130759	1	-0.939703315015	1.052917160428	-0.009087636893	0.018538813417	0.000073890489	0.987707573717	N\A	0.041464423567	0.004309259288	0.015357488067	54	25	
7200000	553.262199	1	-0.994878873024	1.070409149834	-0.012229276485	0.022432671077	0.000071547408	0.979085838222	N\A	0.044791679087	0.006121252894	0.018835452415	38	33	
7250000	555.999311	1	-0.890120992831	0.995951796725	-0.005516855217	0.049231801150	0.000091929587	0.984389792551	N\A	0.036633841695	0.004969719386	0.015766630443	45	30	
7300000	562.486052	1	-1.063025984225	1.094887942147	-0.011663372275	0.012603557248	0.000098118489	0.987980108117	N\A	0.037252966290	0.004189481215	0.015437116549	52	25	
7350000	555.878439	1	-1.025192589513	1.106035905701	-0.017655602264	0.018546856986	0.000087469971	0.979847894149	N\A	0.039802818271	0.005250522763	0.017835116743	47	29	
7400000	557.713589	1	-0.995791593309	1.075490389261	-0.007997305734	-0.005039686022	0.000056909675	0.990404697952	N\A	0.037888243930	0.004225802651	0.015294514741	56	23	
7450000	571.720745	1	-0.931702305545	1.030497325048	-0.009770764432	0.043455149414	0.000077946328	0.983692052175	N\A	0.041945835400	0.004700293908	0.017403051487	51	26	
7500000	569.146815	1	-1.034619176933	1.092292258187	-0.013730470838	0.016942548862	0.000089884347	0.984918151810	N\A	0.039668336538	0.004871463660	0.016462945795	47	15	
7550000	556.051040	1	-0.870150094936	0.989435066291	0.001064712642	0.020574109932	0.000081373564	0.979833048583	N\A	0.043936573060	0.005651656564	0.017669958530	37	20	
7600000	563.329718	1	-1.068187780224	1.102599691900	-0.017155637947	0.032090753947	0.000085090280	0.990593131960	N\A	0.040662308068	0.004267645874	0.014625320017	52	16	
7650000	568.551081	1	-0.995452348585	1.062200977111	-0.010210671730	0.026598221524	0.000095913545	0.984641416610	N\A	0.037552718122	0.004539535332	0.015952230669	52	30	
7700000	558.782966	1	-1.028791827357	1.104045721064	-0.016107118701	0.012755004278	0.000080607037	0.980739515343	N\A	0.041447206926	0.004802073599	0.017395322022	45	21	
