Species_TTOL	MOB	rest_of_brain	BOD	BOD2
Dobsonia_praedatrix	2.3	3.45265177566025	2.25	5.0625
Eidolon_helvum	2.32	3.60406636908379	2.418	5.846724
Eonycteris_spelaea	1.826	3.09326062869164	1.769	3.129361
Epomophorus_labiatus	1.939	3.17341455082117	1.806	3.261636
Epomops_franqueti	2.033	3.3178958890353	2.072	4.293184
Hypsignathus_monstrosus	2.134	3.51177917774895	2.491	6.205081
Macroglossus_minimus	1.43	2.72492739657078	1.164	1.354896
Megaerops_ecaudatus	1.658	2.87855040696948	1.38	1.9044
Megaloglossus_woermanni	1.403	2.80962194180342	1.253	1.570009
Melonycteris_melanops	1.804	3.08827988670424	1.675	2.805625
Melonycteris_woodfordi	1.649	2.98478330621441	1.549	2.399401
Epomophorus_pusillus	1.573	2.8916991691473	1.4	1.96
Myonycteris_torquata	1.749	3.04038415947288	1.561	2.436721
Notopteris_macdonaldi	1.799	3.14143861060649	1.841	3.389281
Nyctimene_albiventer	1.72	2.89166094946112	1.473	2.169729
Nyctimene_robinsoni	1.909	3.06521908417013	1.673	2.798929
Nyctimene_vizcaccia	1.865	2.97019608506253	1.549	2.399401
Paranyctimene_raptor	1.623	2.83904237199348	1.417	2.007889
Pteropus_alecto	2.377	3.82069860124938	2.775	7.700625
Pteropus_conspicillatus	2.486	3.89493121910952	2.875	8.265625
Pteropus_hypomelanus	2.341	3.69716131393364	2.591	6.713281
Pteropus_lylei	2.318	3.75598421253182	2.497	6.235009
Pteropus_neohibernicus	2.537	3.92848620624869	2.924	8.549776
Pteropus_poliocephalus	2.403	3.83016987335255	2.842	8.076964
Pteropus_samoensis	2.329	3.73626675041077	2.491	6.205081
Pteropus_scapulatus	2.249	3.70549571470575	2.574	6.625476
Pteropus_temminckii	2.288	3.66354900940771	2.398	5.750404
Pteropus_tonganus	2.351	3.75825829746648	2.652	7.033104
Pteropus_vampyrus	2.576	3.92972371176801	3.027	9.162729
Rousettus_aegyptiacus	2.059	3.32486399626551	2.111	4.456321
Rousettus_amplexicaudatus	2.006	3.1617898919156	1.856	3.444736
Scotonycteris_zenkeri	1.568	2.8251361190744	1.328	1.763584
Sphaerias_blanfordi	1.525	2.89058047078486	1.47	2.1609
Syconycteris_australis	1.497	2.75449107699007	1.207	1.456849
Anoura_caudifer	1.004	2.5806238378183	1.025	1.050625
Anoura_geoffroyi	1.26	2.74657171798292	1.204	1.449616
Ardops_nichollsi	1.447	2.72119019257957	1.352	1.827904
Artibeus_cinereus	1.276	2.64696591916355	1.1	1.21
Artibeus_concolor	1.412	2.77277474031503	1.288	1.658944
Artibeus_jamaicensis	1.588	2.98333261088124	1.613	2.601769
Artibeus_lituratus	1.733	3.06496819373968	1.748	3.055504
Aselliscus_stoliczkanus	0.225	2.14627742243429	0.69	0.4761
Aselliscus_tricuspidatus	0.316	2.0993562087761	0.643	0.413449
Brachyphylla_cavernarum	1.625	3.05292228999784	1.648	2.715904
Cardioderma_cor	0.907	2.79992584642206	1.415	2.002225
Carollia_perspicillata	1.42	2.71324648190518	1.25	1.5625
Chalinolobus_gouldii	0.759	2.35195774032069	1.068	1.140624
Chalinolobus_morio	0.498	2.24071974568802	0.919	0.844561
Chiroderma_salvini	1.493	2.88624082329356	1.417	2.007889
Chiroderma_trinitatum	1.324	2.70539048497075	1.137	1.292769
Chiroderma_villosum	1.438	2.82351695180044	1.394	1.943236
Choeroniscus_minor	0.971	2.5659450134905	0.982	0.964324
Coleura_afra	0.6	2.38684133903795	1.061	1.125721
Cormura_brevirostris	0.358	2.31547900333038	0.914	0.835396
Craseonycteris_thonglongyai	-0.18	1.91186407137902	0.408	0.166464
Desmodus_rotundus	1.519	2.97496949473285	1.56	2.4336
Diphylla_ecaudata	1.559	2.87975236516861	1.49	2.2201
Emballonura_monticola	0.072	2.19689550326823	0.724	0.524176
Emballonura_raffrayana	0.107	2.21750313113026	0.771	0.594441
Eptesicus_brasiliensis	0.652	2.27704088235613	0.964	0.929296
Eptesicus_fuscus_bahamensis	0.79	2.3513653086034	1.134	1.285956
Eumops_auripendulus	1.097	2.75999624802448	1.529	2.337841
Eumops_glaucinus	1.152	2.79101278730558	1.562	2.439844
Furipterus_horrens	0.137	2.07959239815975	0.535	0.286225
Glischropus_tylopus	0.358	1.97312302120491	0.69	0.4761
Glossophaga_longirostris	1.111	2.6169266719764	1.053	1.108809
Glossophaga_soricina	1.061	2.57354501835856	0.996	0.992016
Harpiocephalus_harpia	1.362	2.62086344715862	1.13	1.2769
Hesperoptenus_blanfordi	0.633	2.16984821507198	0.863	0.744769
Hipposideros_armiger	1.182	2.87560056473481	1.748	3.055504
Hipposideros_ater	0.533	2.30545128539469	0.839	0.703921
Hipposideros_caffer	0.731	2.4627759440208	1.041	1.083681
Macronycteris_commersoni	1.375	2.84697711567035	1.997	3.988009
Hipposideros_diadema	1.152	2.82568898250015	1.622	2.630884
Hipposideros_fulvus	0.713	2.34735841257385	0.845	0.714025
Hipposideros_lankadiva	1.188	2.83381440820857	1.686	2.842596
Hipposideros_larvatus	0.984	2.59070379701993	1.312	1.721344
Hipposideros_ridleyi	0.672	2.40319100137588	0.982	0.964324
Hipposideros_speoris	0.724	2.42782469906196	1.061	1.125721
Hipposideros_turpis	1.017	2.74970813235674	1.542	2.377764
Ia_io	1.228	2.85693377655639	1.727	2.982529
Kerivoula_papillosa	0.58	2.47004291344843	1.004	1.008016
Lasiurus_borealis	0.599	2.20786055220101	0.892	0.795664
Leptonycteris_curasoae	1.283	2.76007259430502	1.389	1.929321
Leptonycteris_nivalis	1.255	2.74009904764629	1.358	1.844164
Lonchophylla_mordax	1.049	2.61273847911539	1.029	1.058841
Hsunycteris_thomasi	0.975	2.50023862095974	0.839	0.703921
Lophostoma_silvicolum	1.164	2.85331808051172	1.509	2.277081
Macroderma_gigas	1.334	3.20498065502424	2.078	4.318084
Macrophyllum_macrophyllum	0.642	2.4790378028068	0.934	0.872356
Megaderma_lyra	1.255	2.93241161841455	1.587	2.518569
Megaderma_spasma	1.021	2.78365497627165	1.354	1.833316
Mesophylla_macconnelli	1.057	2.5144416036305	0.875	0.765625
Micronycteris_brachyotis	1.338	2.58328686142129	1.167	1.361889
Micronycteris_megalotis	1.013	2.41295245824855	0.813	0.660969
Micronycteris_minuta	1.079	2.43110917339505	0.839	0.703921
Micronycteris_schmidtorum	1.053	2.46261324325241	0.892	0.795664
Gardnerycteris_crenulatum	0.863	2.48743694137244	1.072	1.149184
Miniopterus_australis	0.65	2.28796870242141	0.851	0.724201
Miniopterus_inflatus	0.831	2.48807198431177	1.173	1.375929
Miniopterus_magnater	0.779	2.4849865990346	1.176	1.382976
Miniopterus_pusillus	0.6	2.31097785415854	0.934	0.872356
Miniopterus_tristis	0.787	2.49587912679333	1.193	1.423249
Molossus_molossus	0.874	2.47483774200244	1.137	1.292769
Molossus_rufus	1.111	2.69716719929339	1.526	2.328676
Monophyllus_plethodon	1.134	2.62023584937206	1.176	1.382976
Mormoops_megalophylla	0.823	2.56247160047249	1.196	1.430416
Murina_cyclotis	1.107	2.37139315447136	0.851	0.724201
Murina_huttoni	1.143	2.38592275334146	0.944	0.891136
Myotis_adversus	0.744	2.3772871201093	1.049	1.100401
Myotis_albescens	0.462	2.07780309246655	0.602	0.362404
Myotis_annectans	0.703	2.31710569964846	0.991	0.982081
Myotis_bechsteinii	0.893	2.39586985328546	0.978	0.956484
Myotis_bocagii	0.612	2.25339686523018	0.845	0.714025
Myotis_dasycneme	0.838	2.46431986810657	1.176	1.382976
Myotis_myotis	1.124	2.65907694339085	1.408	1.982464
Myotis_nigricans	0.459	2.11100026230064	0.663	0.439569
Myotis_siligorensis	0.336	1.98557890358024	0.539	0.290521
Natalus_tumidirostris	0.554	2.36796538095518	0.839	0.703921
Noctilio_albiventris	0.943	2.74963685311494	1.515	2.295225
Noctilio_leporinus	1.262	3.04342425236468	1.763	3.108169
Nyctalus_noctula	0.889	2.52928534798622	1.431	2.047761
Nycteris_arge	0.593	2.51972165509131	1.025	1.050625
Nycteris_grandis	0.785	2.82882341601125	1.474	2.172676
Nycteris_hispida	0.35	2.43216548536531	0.892	0.795664
