Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m9-fab-002.txt
Log File Name:                   CEREB_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2222014520
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2650000	571.416342	1	-1.011324448409	1.087948353982	-0.016577605303	0.016300726375	0.004146818385	0.000089679959	0.982464075866	N\A	0.075063726887	0.009621376378	0.035859567123	0.006047749546	36	1	
2700000	575.014891	1	-1.188796684710	1.246274498392	-0.037333021476	-0.084109240889	0.024170450583	0.000024842464	0.982763069651	N\A	0.077107003098	0.010045633158	0.036839974947	0.006398776252	49	1	
2750000	579.411828	1	-1.016193443107	1.129516553848	-0.024236148353	-0.040896548468	0.018847150938	0.000068207216	0.989414641889	N\A	0.044841064732	0.006326798638	0.025729953582	0.004819678062	33	0	
2800000	572.226289	1	-1.209417964358	1.252087472114	-0.036377680142	-0.083419004167	0.022712307110	0.000078833991	0.982903466542	N\A	0.085248244030	0.011225303292	0.038939795252	0.006725741324	34	0	
2850000	566.066760	1	-1.137807974642	1.169220589811	-0.026266684702	0.001405606361	0.006025596398	0.000073245260	0.983812890551	N\A	0.071604124083	0.008550131379	0.036136804002	0.005748027194	33	0	
2900000	568.458091	1	-1.039727361303	1.098520400886	-0.016413164979	0.010181124011	0.005622289677	0.000101104213	0.983967903697	N\A	0.090050178323	0.011778240009	0.039877325769	0.007073743697	34	0	
2950000	565.082941	1	-1.014503338928	1.085448298846	-0.016796713536	0.008814939201	0.009101352524	0.000081828494	0.982311446400	N\A	0.075659694414	0.008820307497	0.037699337211	0.005839082432	40	1	
3000000	568.730808	1	-1.021129334495	1.112334468579	-0.023078730707	0.008011457561	0.009404003237	0.000081297490	0.982071337295	N\A	0.071330894231	0.008634564546	0.035410367822	0.005701613577	29	2	
3050000	580.236431	1	-1.071688861509	1.154649418089	-0.025962215294	-0.048583283639	0.019155871254	0.000060660499	0.983579841271	N\A	0.076176613771	0.008769132375	0.037632427388	0.005741763237	38	0	
3100000	576.562261	1	-1.274679089690	1.281697642747	-0.034424557394	-0.087887776715	0.015270888970	0.000074767908	0.984474424494	N\A	0.071885323109	0.009765109207	0.033895561058	0.006179775630	50	0	
3150000	580.549770	1	-1.182600236541	1.221062638323	-0.031377684570	-0.060383606257	0.017169279057	0.000081387832	0.983533022484	N\A	0.077391120606	0.009190951168	0.038041317629	0.006069405150	35	1	
3200000	573.817515	1	-1.248563181315	1.264140650824	-0.028464210441	-0.106135909551	0.015488778110	0.000081023082	0.982511268506	N\A	0.065468534321	0.008214038068	0.032663143771	0.005422643684	39	1	
3250000	576.466563	1	-1.289924173177	1.335846341351	-0.053251690649	-0.091711209966	0.025845852908	0.000067698021	0.984153639602	N\A	0.072279593413	0.009590224738	0.033717143844	0.006062409481	41	0	
3300000	577.413971	1	-1.070936574730	1.115882079686	-0.015489131718	0.001620157889	0.000833459729	0.000091011520	0.984521762947	N\A	0.066665865030	0.008415528021	0.032780215649	0.005390206192	25	1	
3350000	571.251643	1	-1.198271344383	1.232351624352	-0.034514992925	-0.049641380730	0.015409216993	0.000055632368	0.983881571875	N\A	0.083230976531	0.010876950642	0.038186563154	0.006530363765	42	0	
3400000	572.523941	1	-1.112053175109	1.190637121082	-0.030159722122	-0.068242124827	0.019983319576	0.000028442756	0.982130122700	N\A	0.072323103710	0.009055618624	0.035156927328	0.005681525760	39	0	
3450000	576.683922	1	-1.110291114604	1.179473794125	-0.026575735850	-0.059017045432	0.017676758220	0.000077395684	0.983761854397	N\A	0.078118275089	0.009717971378	0.035611274727	0.005766903444	34	0	
3500000	577.792113	1	-1.047223364620	1.118227212127	-0.023372510357	0.015430294790	0.006678465781	0.000080493035	0.989764840832	N\A	0.046123324758	0.008476504289	0.024562879573	0.005754765722	41	0	
3550000	563.655342	1	-0.908095900301	1.001171978083	-0.006886828867	0.060270055643	0.000624573158	0.000093162876	0.985951530188	N\A	0.076969177133	0.009321455556	0.038552167977	0.006164273135	40	0	
3600000	578.058580	1	-1.088192908902	1.164554299320	-0.024326908775	-0.039291961586	0.011387219296	0.000076191868	0.983242638236	N\A	0.073970689211	0.008911305578	0.035945717056	0.005810138625	37	2	
3650000	576.799252	1	-1.227342302375	1.225607895073	-0.031817071740	-0.055238186875	0.016838108700	0.000069978420	0.982347663848	N\A	0.073600907581	0.008687504178	0.036681194231	0.005657308830	34	3	
3700000	586.263219	1	-1.212774720759	1.208776055839	-0.028437264236	-0.032130690432	0.009445126622	0.000079407639	0.985808083212	N\A	0.065392670992	0.008158942616	0.032215601332	0.005374689495	47	2	
3750000	583.054365	1	-1.454003998060	1.398531041171	-0.050540122353	-0.140367131218	0.026636108984	0.000090070235	0.984658200208	N\A	0.072410256627	0.008888327790	0.035210145153	0.005780421228	30	3	
3800000	570.932341	1	-1.272042111963	1.272853645701	-0.036135169825	-0.071524237234	0.016538761656	0.000091963368	0.985175560657	N\A	0.065010893785	0.008219682506	0.032002511949	0.005443195512	34	1	
3850000	573.340008	1	-1.177155274396	1.183329120495	-0.025656010840	-0.009658444617	0.007051412230	0.000089353422	0.985623219361	N\A	0.068404886777	0.008543175151	0.033684638240	0.005617417544	29	0	
3900000	575.856985	1	-1.189847662326	1.221694365071	-0.029920645617	-0.071951875799	0.015570552309	0.000079123932	0.983391632454	N\A	0.070443788229	0.008538467014	0.035202314558	0.005667649195	35	2	
3950000	574.636634	1	-1.164893277998	1.222025437130	-0.034125410719	-0.060544996459	0.018958821425	0.000101002752	0.985971014048	N\A	0.067013458446	0.008488610543	0.033094807323	0.005678531315	31	1	
4000000	571.495280	1	-1.013836510081	1.076181552575	-0.013117163716	0.016190872121	0.004657922326	0.000080384069	0.982951288129	N\A	0.076385056773	0.009571521119	0.035949416336	0.005804808321	40	0	
4050000	571.267885	1	-1.044211281251	1.124200730576	-0.019680100588	-0.023224452644	0.010805533282	0.000077984376	0.983704336755	N\A	0.066597216670	0.008172021086	0.033724808851	0.005492505632	38	0	
4100000	573.531955	1	-0.913066208768	1.078638701806	-0.021561444307	-0.012821884748	0.016341595528	0.000104937408	0.986312973563	N\A	0.069086051580	0.009051896605	0.033385296702	0.005956225490	47	0	
4150000	579.368527	1	-1.166559892238	1.198386649110	-0.028927652136	-0.042778444609	0.014044230056	0.000080799729	0.982895676780	N\A	0.069994099202	0.008595735268	0.033788660036	0.005558372531	37	0	
4200000	572.813724	1	-1.417381513592	1.395697276498	-0.054571042718	-0.119344838575	0.027024000277	0.000123143635	0.984641268995	N\A	0.070569731743	0.009114288373	0.033859145084	0.005775865280	39	1	
4250000	574.228231	1	-1.297544399781	1.296069196894	-0.037011289820	-0.097313515189	0.019441907646	0.000081567380	0.985345459572	N\A	0.069646153781	0.008466342694	0.034035995546	0.005513790644	27	0	
4300000	556.597816	1	-1.127985361234	1.174267521932	-0.027166527589	-0.028722868296	0.014059717250	0.000080732776	0.985051718441	N\A	0.069516690096	0.008565406529	0.034827757866	0.005720440630	32	0	
4350000	571.352319	1	-1.066641260721	1.128777221803	-0.020293988836	-0.004707494900	0.005734973737	0.000074775684	0.985880824811	N\A	0.084479409289	0.011677626298	0.038304273004	0.007110639138	36	0	
4400000	566.265765	1	-0.963250259372	1.044429274750	-0.008716894440	0.027984763411	0.001077305898	0.000089796252	0.983578719497	N\A	0.071696076239	0.008824439513	0.035856453259	0.005830514151	29	1	
4450000	572.290077	1	-1.197070480239	1.251198540140	-0.034313056976	-0.099588287701	0.023813737970	0.000069619922	0.984312187858	N\A	0.066490819582	0.008232392351	0.033384321443	0.005522756149	40	0	
4500000	581.194690	1	-1.107710041223	1.155310749615	-0.017716570284	-0.059159329702	0.013309935997	0.000090138649	0.984867176743	N\A	0.067635591027	0.008622464703	0.032334393643	0.005478232005	39	2	
4550000	581.749367	1	-1.290296447793	1.298294605583	-0.043688669591	-0.081694453730	0.023662182899	0.000082155902	0.984276601410	N\A	0.069320421133	0.008575738197	0.033996265549	0.005595040438	30	2	
4600000	550.270276	1	-0.921410423308	1.028909186429	-0.013559236676	0.033903801855	0.009364177270	0.000064366338	0.979888625322	N\A	0.080437441716	0.009398144918	0.039536946850	0.006064374302	38	0	
4650000	577.820344	1	-1.206299464106	1.220659700196	-0.029709066048	-0.051195113543	0.014660200792	0.000084351712	0.985496173703	N\A	0.066688153421	0.008284210498	0.033476568246	0.005454844022	23	1	
4700000	569.406225	1	-0.938721137037	1.077984606263	-0.017192702852	-0.015283296790	0.011033117861	0.000064790241	0.986793844467	N\A	0.066239399667	0.008240610184	0.032139303229	0.005373116193	39	1	
