Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-glob-003.txt
Log File Name:                   AMY_d1_m9-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            769433658
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2800000	500.123647	1	-1.583747386498	1.210900921267	-0.062444125678	0.007047775000	0.007534941838	0.000106680881	0.958987088813	N\A	0.091068580028	0.012583883034	0.040222380606	0.006739212268	34	4	0.001193430151	Global Trend	
2850000	511.898183	1	-1.763542805216	1.425198742721	-0.098261037680	-0.071571124596	0.025759132774	0.000143854609	0.961405761987	N\A	0.077807375114	0.010057569144	0.038714710369	0.006666788674	33	7	0.002009543764	Global Trend	
2900000	517.670617	1	-1.690804714350	1.229597160954	-0.061662425411	0.005149912143	0.001079633812	0.000081215115	0.964257116623	N\A	0.084662706972	0.012190529538	0.037802708854	0.006901184320	32	5	-0.001348491671	Global Trend	
2950000	509.214281	1	-1.826559087087	1.379696831221	-0.090400266898	-0.026833951366	0.013178150900	0.000114425884	0.964761068163	N\A	0.081427858001	0.012696748420	0.036639797634	0.007692689260	35	3	-0.000324564451	Global Trend	
3000000	488.247624	1	-1.797272475024	1.336072944406	-0.086515689387	0.001924374232	0.014900215873	0.000130919788	0.963711308207	N\A	0.077749880161	0.011317457934	0.035678086750	0.006558189820	41	4	0.000922015837	Global Trend	
3050000	501.672501	1	-1.175523426984	0.900364047311	-0.026258565714	0.140293671540	-0.014110535578	0.000128095696	0.997893290065	N\A	0.021854797961	0.003529273825	0.023492020588	0.004248090441	38	4	0.089682565974	Global Trend	
3100000	496.377214	1	-1.292570854597	1.009802256712	-0.036148477378	0.024593648907	0.002887895366	0.000096263770	0.999306526901	N\A	0.026914373109	0.003876767007	0.029090752716	0.004787579543	35	3	-0.111206296512	Global Trend	
3150000	503.505104	1	-1.517387311806	1.172997701222	-0.052630838677	-0.000631703678	0.002156616565	0.000120814590	0.963582940320	N\A	0.073283936920	0.009823106933	0.036007145086	0.006099381512	35	3	0.002121648461	Global Trend	
3200000	513.064123	1	-1.334676636999	1.043582503153	-0.044545563482	0.101575946041	-0.012878471557	0.000101528259	0.965207572703	N\A	0.091349570657	0.012685371090	0.041531404046	0.007605032867	31	5	0.001466261634	Global Trend	
3250000	500.433399	1	-1.547897034916	1.182045150678	-0.059665559235	0.037391908969	-0.000601313767	0.000105695634	0.960453446708	N\A	0.092955898615	0.012943936563	0.043096847832	0.007786887541	35	2	0.001071101695	Global Trend	
3300000	502.995725	1	-1.931300889924	1.418770359994	-0.095192321443	-0.064211964759	0.024245109477	0.000093204515	0.962635559023	N\A	0.088715858740	0.011948328548	0.040308127185	0.006938615504	40	7	-0.001073178588	Global Trend	
3350000	511.690011	1	-1.752373021109	1.313383305098	-0.090793816202	0.014912829542	0.015277408362	0.000115572149	0.960255299656	N\A	0.090295074011	0.012366751474	0.040132672268	0.006646892342	38	4	-0.001096670622	Global Trend	
3400000	512.504042	1	-1.682051890396	1.339525062067	-0.092149551260	-0.016170804324	0.020214445646	0.000115023943	0.960918474520	N\A	0.093467303922	0.012981700650	0.041948237263	0.007232350738	24	4	0.001123671029	Global Trend	
3450000	508.062174	1	-1.504747491712	1.131618231209	-0.046416586793	0.019084630637	-0.000601899939	0.000099908378	0.963805648429	N\A	0.087099354837	0.012351972640	0.037281005528	0.006730576004	22	3	0.000791154927	Global Trend	
3500000	516.728532	1	-1.965528004198	1.340238526532	-0.077173841890	-0.012538561428	0.005038568515	0.000116973890	0.965018791402	N\A	0.073396800683	0.010516004832	0.033418709898	0.006121112985	35	3	-0.003546091151	Global Trend	
3550000	510.691357	1	-1.518158907761	1.135702382593	-0.063902361697	0.052964756123	0.005844734703	0.000099258504	0.962055068001	N\A	0.080495633143	0.011078173938	0.038282774487	0.006388814326	42	5	-0.002187042147	Global Trend	
3600000	519.665391	1	-1.333981347397	1.016316860837	-0.038740538834	0.074659857580	-0.007496142032	0.000095930443	0.966602492341	N\A	0.077721550058	0.009329332996	0.037220908912	0.005666464108	32	5	-0.000872233372	Global Trend	
3650000	506.113187	1	-1.660929261510	1.236178935057	-0.068086138200	-0.010041490787	0.011227193278	0.000095149049	0.967470348828	N\A	0.085254278262	0.012449932071	0.033292993513	0.006728000514	28	4	-0.001525627987	Global Trend	
3700000	514.632253	1	-1.589185410861	1.187655479221	-0.063673463899	0.029811364930	0.003476620929	0.000112930061	0.964694003530	N\A	0.077071081855	0.009272261449	0.036316849701	0.005754124733	29	6	-0.000969986743	Global Trend	
3750000	497.845281	1	-1.871305395401	1.342604582603	-0.087897787656	0.009876504422	0.010936408303	0.000119707436	0.955716168107	N\A	0.095525065043	0.013126415931	0.044022187332	0.007717347463	28	4	-0.001495979741	Global Trend	
3800000	509.389123	1	-1.376920038069	1.177546325570	-0.056983734237	0.013951358091	0.003136340542	0.000250769879	0.967025012263	N\A	0.062603016282	0.008768782456	0.029691242496	0.005512829147	35	4	0.009662003306	Global Trend	
3850000	500.095449	1	-1.577019185537	1.207492642092	-0.069635289014	-0.002362296453	0.013367086342	0.000065039378	0.960686573045	N\A	0.102110028997	0.013191370095	0.045556787519	0.007521407651	46	6	-0.000583070698	Global Trend	
3900000	519.404829	1	-1.720015565430	1.236388655857	-0.063747284440	0.019840665746	0.000508299079	0.000075306430	0.968843414864	N\A	0.082894985840	0.011868461725	0.036206431554	0.006718854595	40	7	-0.000384416976	Global Trend	
3950000	513.634653	1	-2.049884324466	1.522376240956	-0.114168107968	-0.094169599950	0.030620059679	0.000100651975	0.965612165161	N\A	0.079565220450	0.009744532087	0.040236748027	0.006339822990	40	5	-0.001375049909	Global Trend	
4000000	503.465415	1	-1.533704501069	1.123930899453	-0.047381776514	0.028035147466	-0.003945069757	0.000093304792	0.968136231152	N\A	0.085712807990	0.011872900984	0.037011869732	0.006927485262	37	3	-0.002283605937	Global Trend	
4050000	495.481041	1	-1.612089217662	1.285290483818	-0.073925733491	-0.007437578251	0.005356210591	0.000112972703	0.963136696709	N\A	0.100104366501	0.014447143650	0.042189587465	0.007653370132	34	5	-0.000810851937	Global Trend	
4100000	525.165211	1	-1.414722433821	1.073612597233	-0.058448516327	0.073018198898	0.004802773214	0.000089365889	0.964967553003	N\A	0.066504986102	0.009063538736	0.035608917729	0.005710867383	37	6	-0.004259710566	Global Trend	
4150000	516.172739	1	-1.222155593426	0.917219741269	-0.018631623055	0.074614483838	-0.009204514829	0.000126968965	0.965877225164	N\A	0.066900874572	0.010851429234	0.029801143560	0.006202605449	33	5	0.002733413653	Global Trend	
4200000	491.464532	1	-1.721432217437	1.316469233695	-0.093097974569	0.029945583354	0.016668162020	0.000100110801	0.960873007489	N\A	0.084190483154	0.012521548698	0.037326974473	0.007115139776	43	3	-0.000179807356	Global Trend	
4250000	509.791563	1	-1.811061585230	1.336360066262	-0.089104662516	0.005182388066	0.014502771557	0.000105208916	0.963503956216	N\A	0.092442677504	0.012749736939	0.040263902095	0.007116926811	30	5	-0.000422451235	Global Trend	
4300000	511.015119	1	-1.803682538707	1.400210059548	-0.090205647474	-0.073886690843	0.021883357815	0.000102567955	0.981512004651	N\A	0.089591851586	0.012933215320	0.035703267746	0.006923782846	25	6	0.000415588542	Global Trend	
4350000	510.629819	1	-1.700456717052	1.221936170970	-0.062189102396	0.040550073954	-0.002528581239	0.000124378043	0.962076025942	N\A	0.091437767465	0.012378015174	0.039300833362	0.006900216121	33	7	-0.000654033130	Global Trend	
4400000	498.898424	1	-1.682794352129	1.273951714933	-0.074849670636	-0.010963515889	0.008920257657	0.000085249954	0.964592176675	N\A	0.093571666743	0.013419864576	0.037255003218	0.007112524312	39	3	-0.000510510492	Global Trend	
4450000	520.685095	1	-1.654968347937	1.226654512855	-0.063470156979	-0.034634581022	0.011637700757	0.000115779366	0.963446439256	N\A	0.085079864007	0.012035657873	0.038186365512	0.006627823708	34	8	-0.002618722678	Global Trend	
