Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-fab-006.txt
Log File Name:                   SEP_d1_m9-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1126777032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2650000	563.339693	1	-1.992845365321	1.186701364724	-0.040814248833	-0.029016003182	0.006524418753	0.000073006298	0.978777625841	N\A	0.075991758493	0.010826547367	0.033973329021	0.006409276450	41	5	
2700000	569.271382	1	-1.910744214315	1.150840683645	-0.033803459657	-0.021244918281	-0.000147129164	0.000083946752	0.976659766940	N\A	0.072965376910	0.010409616979	0.033710322647	0.006443407202	30	3	
2750000	565.779679	1	-1.848131714921	1.130639177143	-0.041043237371	-0.026531264370	0.012767952659	0.000062540220	0.977042473408	N\A	0.080454966430	0.012022308698	0.033897853132	0.006722885358	33	2	
2800000	563.144466	1	-1.834417530367	1.101366188855	-0.035584972281	0.012774575621	0.002757305866	0.000085092819	0.975832618802	N\A	0.087157031300	0.012820368277	0.036324763627	0.007082646916	33	2	
2850000	561.219299	1	-1.780502594158	1.032214384958	-0.029062730388	0.048994047247	-0.000382327045	0.000081918354	0.977141965624	N\A	0.072108755953	0.010415654132	0.033278433001	0.006351210194	36	2	
2900000	568.109558	1	-1.718222713376	1.032643826081	-0.022645414186	0.014127696567	-0.002683504127	0.000088198325	0.974979282608	N\A	0.074326038254	0.010644590550	0.034050234273	0.006186708272	33	2	
2950000	557.737867	1	-1.943057656763	1.181655478556	-0.048164030792	-0.037418621330	0.013708999000	0.000071630414	0.972654357346	N\A	0.094034185665	0.013584777450	0.039549836624	0.007456843997	38	2	
3000000	559.134694	1	-1.871221930768	1.114824827901	-0.033859752675	-0.006416991114	0.002278840807	0.000061185667	0.975786560736	N\A	0.071479447987	0.010089036980	0.033485452589	0.006088237244	37	2	
3050000	567.043482	1	-1.701555110207	0.989856901135	-0.018236433904	0.039915565280	-0.003954558952	0.000023180177	0.978659165741	N\A	0.070139573201	0.009921859726	0.031089311846	0.005595595394	46	3	
3100000	560.854132	1	-1.489303660330	0.819119110898	0.006635378087	0.123646021234	-0.021525869643	0.000068907590	0.976102473572	N\A	0.070521568249	0.010083353064	0.032213976257	0.006017679934	35	2	
3150000	569.374004	1	-2.027566264152	1.206448732478	-0.047118191787	-0.018177579027	0.005760862649	0.000073520201	0.976010725012	N\A	0.085748466867	0.012992510192	0.035428991072	0.006957106715	29	6	
3200000	553.760099	1	-1.925665051838	1.168038461043	-0.050480029399	0.022790377426	0.004770975548	0.000067239786	0.977088659397	N\A	0.063926350613	0.009871620230	0.031327123807	0.006189175504	30	1	
3250000	561.088354	1	-1.934896397360	1.136469957838	-0.038396744198	0.018417713508	0.000427763202	0.000043873291	0.977385150278	N\A	0.077980456413	0.011130041461	0.035578642317	0.006470009786	36	3	
3300000	556.524733	1	-1.965606535693	1.217605659810	-0.052877226013	-0.055359726060	0.017344018607	0.000069096947	0.974740764539	N\A	0.072062624778	0.010084608995	0.035032564902	0.006228706431	41	3	
3350000	564.635998	1	-1.831684921083	1.090233828448	-0.031150131464	0.016319677332	0.000514140579	0.000075243571	0.974964227500	N\A	0.079807373810	0.011272902918	0.035604602794	0.006455849206	28	4	
3400000	551.479560	1	-2.075979939985	1.260433319965	-0.058319087399	-0.005221043627	0.005239729961	0.000047268715	0.973834245024	N\A	0.086598309584	0.012239424229	0.037804675664	0.006867415473	32	2	
3450000	555.745183	1	-2.040153318091	1.246164068657	-0.058394496450	-0.024006346291	0.011275066965	0.000065297494	0.973874355566	N\A	0.083993961820	0.011827884543	0.035394125881	0.006695196278	46	3	
3500000	562.205843	1	-2.004366082287	1.186912301236	-0.035423001186	-0.039020125650	-0.000019992116	0.000091455129	0.979932012694	N\A	0.072355231975	0.009133099106	0.035175683127	0.005733299371	34	3	
3550000	569.902634	1	-1.781814585620	1.067885715559	-0.030138081309	0.013533053267	0.000549364343	0.000068769425	0.977706264063	N\A	0.060525580204	0.007686199880	0.030676414357	0.005276857714	37	3	
3600000	551.746147	1	-1.680197712623	0.937823211791	-0.005259513024	0.063199304634	-0.011658338949	0.000065145406	0.976337166369	N\A	0.078698251439	0.011632419387	0.034136760679	0.006366237886	42	3	
3650000	565.611973	1	-1.791498173902	1.056655446541	-0.030789664432	0.050919375329	-0.001998435235	0.000063431539	0.981554342143	N\A	0.077278034281	0.011188745888	0.033635332979	0.006356074711	32	2	
3700000	556.341204	1	-1.990292515089	1.248201582937	-0.065497184095	-0.031452477370	0.019266557695	0.000064199751	0.982267782365	N\A	0.063114981143	0.007508724108	0.032387732990	0.004881297683	37	6	
3750000	578.351662	1	-1.972482322959	1.202330206091	-0.052348983560	-0.011286112836	0.009005410185	0.000062037477	0.977007649249	N\A	0.065922833608	0.010194152195	0.031037017751	0.006280417534	42	6	
3800000	570.243138	1	-1.919015680443	1.173217011422	-0.054991117237	-0.007368402184	0.014292217089	0.000073192017	0.975291266579	N\A	0.066749326287	0.008324574388	0.033060278157	0.005394290791	33	4	
3850000	568.516889	1	-1.926203133579	1.221345430581	-0.067698142084	-0.028346428528	0.020472847521	0.000079971442	0.971406457306	N\A	0.076004044203	0.009089262626	0.038599278709	0.006065414147	22	4	
3900000	570.457407	1	-2.095791873774	1.254432311637	-0.048048534679	-0.066515004389	0.009554194758	0.000073616990	0.977605702922	N\A	0.078296401514	0.011001647873	0.035871748373	0.006451130736	31	4	
3950000	553.383833	1	-1.643456809628	0.954387334199	-0.016712186965	0.061884339229	-0.004996522674	0.000074118999	0.974209920274	N\A	0.083046941841	0.012051122983	0.036268278438	0.006812259048	31	6	
4000000	571.750152	1	-1.778020724492	1.049148727761	-0.026544646457	0.026619268426	-0.000409170320	0.000105049721	0.976555121175	N\A	0.065115702084	0.008689300011	0.030781396505	0.005455181478	38	2	
4050000	562.373735	1	-1.853329584793	1.079741788080	-0.030287427900	0.049850759680	-0.006796668063	0.000060854302	0.980642767259	N\A	0.072461271796	0.010237607409	0.032309428641	0.005753214147	35	2	
4100000	566.979502	1	-1.667298343194	0.966395327831	-0.016974347169	0.060310916420	-0.006840070652	0.000108722694	0.973713650298	N\A	0.080945646865	0.011111888151	0.036797929278	0.006624217380	31	3	
