Species_TTOL	MES	rest_of_brain	rest_of_brain2	BOD
Aepyprymnus_rufescens	2.811106	3.0789623596587	9.48000921219507	3.392697
Antechinus_flavipes	1.729165	3.0789623596587	9.48000921219507	1.568202
Antechinus_minimus	1.763428	3.0789623596587	9.48000921219507	1.724276
Bettongia_gaimardi	2.796505	3.0789623596587	9.48000921219507	3.176091
Bettongia_penicillata	2.726972	3.0789623596587	9.48000921219507	3.079181
Burramys_parvus	1.802774	3.0789623596587	9.48000921219507	1.770852
Cercartetus_nanus	1.669317	3.0789623596587	9.48000921219507	1.278754
Dactylopsila_trivirgata	2.436163	3.0789623596587	9.48000921219507	2.643453
Dasycercus_cristicauda	2.124178	3.0789623596587	9.48000921219507	2
Dasyuroides_byrnei	2.148603	3.0789623596587	9.48000921219507	2.146128
Dasyurus_geoffroii	2.611405	3.0789623596587	9.48000921219507	2.69897
Dasyurus_hallucatus	2.367169	3.0789623596587	9.48000921219507	3.021189
Dendrolagus_lumholtzi	2.977037	3.0789623596587	9.48000921219507	3.78533
Distoechurus_pennatus	1.839478	3.0789623596587	9.48000921219507	1.633468
Dorcopsis	2.934902	3.0789623596587	9.48000921219507	3.462398
Echymipera_kalubu	2.416141	3.0789623596587	9.48000921219507	2.819544
Gymnobelideus_leadbeateri	2.144263	3.0789623596587	9.48000921219507	2.041393
Hypsiprymnodon_moschatus	2.50147	3.0789623596587	9.48000921219507	2.748188
Isoodon_macrourus	2.417804	3.0789623596587	9.48000921219507	3.033424
Isoodon_obesulus_obesulus	2.495128	3.0789623596587	9.48000921219507	3.004321
Osphranter_antilopinus	3.373464	3.0789623596587	9.48000921219507	4.537819
Macropus_giganteus	3.390759	3.0789623596587	9.48000921219507	4.563481
Notamacropus_irma	3.071145	3.0789623596587	9.48000921219507	3.819544
Notamacropus_parma	2.969882	3.0789623596587	9.48000921219507	3.536558
Notamacropus_parryi	3.196176	3.0789623596587	9.48000921219507	4.170262
Osphranter_robustus	3.260548	3.0789623596587	9.48000921219507	4.409933
Osphranter_rufus	3.387034	3.0789623596587	9.48000921219507	4.494155
Thylamys_pallidior	1.793092	3.0789623596587	9.48000921219507	1.477121
Marmosops_impavidus	2.011993	3.0789623596587	9.48000921219507	1.845098
Monodelphis_brevicaudata	1.914872	3.0789623596587	9.48000921219507	1.924279
Notoryctes_typhlops	1.662758	3.0789623596587	9.48000921219507	1.531479
Petauroides_volans	2.580925	3.0789623596587	9.48000921219507	3.09691
Petaurus_australis	2.467756	3.0789623596587	9.48000921219507	2.748188
Petaurus_breviceps	2.209515	3.0789623596587	9.48000921219507	2.113943
Petaurus_norfolcensis	2.276002	3.0789623596587	9.48000921219507	2.374748
Petrogale_inornata	2.918502	3.0789623596587	9.48000921219507	3.628389
Petrogale_lateralis	2.8238	3.0789623596587	9.48000921219507	3.556303
Petrogale_penicillata	3.071514	3.0789623596587	9.48000921219507	3.690196
Petrogale_purpureicollis	2.959852	3.0789623596587	9.48000921219507	3.740363
Petropseudes_dahli	2.574379	3.0789623596587	9.48000921219507	3.127105
Phascolarctos_cinereus	2.994361	3.0789623596587	9.48000921219507	3.968483
Planigale_ingrami	1.041393	3.0789623596587	9.48000921219507	0.826075
Planigale_maculata	1.313867	3.0789623596587	9.48000921219507	1.041393
Potorous_tridactylus_tridactylus	2.766785	3.0789623596587	9.48000921219507	3.089905
Pseudochirulus_canescens	2.158061	3.0789623596587	9.48000921219507	2.447158
Pseudochirulus_forbesi	2.376029	3.0789623596587	9.48000921219507	2.70757
Sarcophilus_harrisii	2.940516	3.0789623596587	9.48000921219507	3.732394
Sminthopsis_crassicaudata	1.526339	3.0789623596587	9.48000921219507	1.146128
Sminthopsis_leucopus	1.635484	3.0789623596587	9.48000921219507	1.361728
Phalanger_gymnotis	2.822626	3.0789623596587	9.48000921219507	3.451786
Thylacinus_cynocephalus	3.365113	3.0789623596587	9.48000921219507	4.342423
Thylogale_billardierii	3.093772	3.0789623596587	9.48000921219507	3.845098
