Species_TTOL	AMY	rest_of_brain	rest_of_brain2	BOD
Eptesicus_fuscus_bahamensis	0.966	3.0789623596587	9.48000921219507	1.134
Eumops_auripendulus	1.441	3.0789623596587	9.48000921219507	1.529
Eumops_glaucinus	1.398	3.0789623596587	9.48000921219507	1.562
Furipterus_horrens	0.667	3.0789623596587	9.48000921219507	0.535
Glischropus_tylopus	0.733	3.0789623596587	9.48000921219507	0.69
Glossophaga_longirostris	1.097	3.0789623596587	9.48000921219507	1.053
Glossophaga_soricina	1.079	3.0789623596587	9.48000921219507	0.996
Harpiocephalus_harpia	1.241	3.0789623596587	9.48000921219507	1.13
Hesperoptenus_blanfordi	0.938	3.0789623596587	9.48000921219507	0.863
Hipposideros_armiger	1.491	3.0789623596587	9.48000921219507	1.748
Hipposideros_ater	0.888	3.0789623596587	9.48000921219507	0.839
Hipposideros_caffer	1.064	3.0789623596587	9.48000921219507	1.041
Macronycteris_commersoni	1.439	3.0789623596587	9.48000921219507	1.997
Hipposideros_diadema	1.481	3.0789623596587	9.48000921219507	1.622
Hipposideros_fulvus	0.987	3.0789623596587	9.48000921219507	0.845
Hipposideros_lankadiva	1.444	3.0789623596587	9.48000921219507	1.686
Hipposideros_larvatus	1.272	3.0789623596587	9.48000921219507	1.312
Hipposideros_ridleyi	1.017	3.0789623596587	9.48000921219507	0.982
Hipposideros_speoris	1.076	3.0789623596587	9.48000921219507	1.061
Hipposideros_turpis	1.34	3.0789623596587	9.48000921219507	1.542
Ia_io	1.567	3.0789623596587	9.48000921219507	1.727
Kerivoula_papillosa	1.017	3.0789623596587	9.48000921219507	1.004
Lasiurus_borealis	0.797	3.0789623596587	9.48000921219507	0.892
Leptonycteris_curasoae	1.233	3.0789623596587	9.48000921219507	1.389
Leptonycteris_nivalis	1.258	3.0789623596587	9.48000921219507	1.358
Lonchophylla_mordax	1.114	3.0789623596587	9.48000921219507	1.029
Hsunycteris_thomasi	1.021	3.0789623596587	9.48000921219507	0.839
Lophostoma_silvicolum	1.326	3.0789623596587	9.48000921219507	1.509
Macroderma_gigas	1.702	3.0789623596587	9.48000921219507	2.078
Macrophyllum_macrophyllum	1.021	3.0789623596587	9.48000921219507	0.934
Megaderma_lyra	1.49	3.0789623596587	9.48000921219507	1.587
Megaderma_spasma	1.342	3.0789623596587	9.48000921219507	1.354
Mesophylla_macconnelli	0.951	3.0789623596587	9.48000921219507	0.875
Micronycteris_brachyotis	1.146	3.0789623596587	9.48000921219507	1.167
Micronycteris_megalotis	1.049	3.0789623596587	9.48000921219507	0.813
Micronycteris_minuta	1.021	3.0789623596587	9.48000921219507	0.839
Micronycteris_schmidtorum	1.079	3.0789623596587	9.48000921219507	0.892
Gardnerycteris_crenulatum	1.053	3.0789623596587	9.48000921219507	1.072
Miniopterus_australis	0.989	3.0789623596587	9.48000921219507	0.851
Miniopterus_inflatus	1.097	3.0789623596587	9.48000921219507	1.173
Miniopterus_magnater	1.21	3.0789623596587	9.48000921219507	1.176
Miniopterus_pusillus	1.004	3.0789623596587	9.48000921219507	0.934
Miniopterus_tristis	1.217	3.0789623596587	9.48000921219507	1.193
Molossus_molossus	1.236	3.0789623596587	9.48000921219507	1.137
Molossus_rufus	1.462	3.0789623596587	9.48000921219507	1.526
Monophyllus_plethodon	1.134	3.0789623596587	9.48000921219507	1.176
Mormoops_megalophylla	1.107	3.0789623596587	9.48000921219507	1.196
Murina_cyclotis	0.982	3.0789623596587	9.48000921219507	0.851
Murina_huttoni	1.009	3.0789623596587	9.48000921219507	0.944
Myotis_adversus	1.086	3.0789623596587	9.48000921219507	1.049
Myotis_albescens	0.778	3.0789623596587	9.48000921219507	0.602
Myotis_annectans	1.017	3.0789623596587	9.48000921219507	0.991
Myotis_bechsteinii	1.041	3.0789623596587	9.48000921219507	0.978
Myotis_bocagii	0.982	3.0789623596587	9.48000921219507	0.845
Myotis_dasycneme	1.146	3.0789623596587	9.48000921219507	1.176
Myotis_myotis	1.274	3.0789623596587	9.48000921219507	1.408
Myotis_nigricans	0.862	3.0789623596587	9.48000921219507	0.663
Myotis_siligorensis	0.684	3.0789623596587	9.48000921219507	0.539
Natalus_tumidirostris	0.945	3.0789623596587	9.48000921219507	0.839
Noctilio_albiventris	1.407	3.0789623596587	9.48000921219507	1.515
Noctilio_leporinus	1.666	3.0789623596587	9.48000921219507	1.763
Nyctalus_noctula	1.193	3.0789623596587	9.48000921219507	1.431
Nycteris_arge	1.072	3.0789623596587	9.48000921219507	1.025
Nycteris_grandis	1.354	3.0789623596587	9.48000921219507	1.474
Nycteris_hispida	1.009	3.0789623596587	9.48000921219507	0.892
Nycteris_javanica	1.137	3.0789623596587	9.48000921219507	1.265
Nycteris_macrotis	1.17	3.0789623596587	9.48000921219507	1.161
Nycteris_thebaica	1.045	3.0789623596587	9.48000921219507	0.949
Nyctophilus_geoffroyi	0.846	3.0789623596587	9.48000921219507	0.857
Otomops_martiensseni	1.459	3.0789623596587	9.48000921219507	1.618
Peropteryx_macrotis	1.021	3.0789623596587	9.48000921219507	0.748
Phylloderma_stenops	1.559	3.0789623596587	9.48000921219507	1.664
Phyllostomus_discolor	1.589	3.0789623596587	9.48000921219507	1.563
Phyllostomus_elongatus	1.517	3.0789623596587	9.48000921219507	1.652
Phyllostomus_hastatus	1.667	3.0789623596587	9.48000921219507	1.963
Pipistrellus_javanicus	0.805	3.0789623596587	9.48000921219507	0.653
Pipistrellus_tenuis	0.631	3.0789623596587	9.48000921219507	0.591
Afronycteris_nana	0.689	3.0789623596587	9.48000921219507	0.591
Hypsugo_pulveratus	0.903	3.0789623596587	9.48000921219507	0.724
Perimyotis_subflavus	0.722	3.0789623596587	9.48000921219507	0.724
Pteronotus_gymnonotus	1.143	3.0789623596587	9.48000921219507	1.134
Pteronotus_parnellii_mesoamericanus	1.386	3.0789623596587	9.48000921219507	1.305
Pteronotus_personatus	1.017	3.0789623596587	9.48000921219507	0.908
