Species_TTOL	MED	rest_of_brain
Rhinonicteris_aurantia	1.493	2.36980993185743
Rhinophylla_pumilio	1.502	2.52389337701925
Rhinopoma_hardwickii	1.554	2.41517493551946
Rhinopoma_microphyllum	1.71	2.56167523073907
Rhogeessa_parvula	1.238	2.02540404611476
Rhynchonycteris_naso	1.196	2.04732050651951
Saccopteryx_bilineata	1.435	2.33483311530367
Saccopteryx_canescens	1.238	2.08934484317686
Saccopteryx_leptura	1.324	2.18322541361085
Scotomanes_ornatus	1.74	2.55494722650546
Scotophilus_dinganii	1.765	2.6152095371468
Scotophilus_kuhlii	1.688	2.50605597481635
Sphaeronycteris_toxophyllum	1.823	2.69540272673135
Sturnira_lilium	1.707	2.7664442150746
Sturnira_ludovici	1.802	2.79971581818209
Sturnira_tildae	1.734	2.82056767486967
Tadarida_aegyptiaca	1.732	2.56759514736225
Taphozous_australis	1.818	2.68911434548403
Taphozous_hildegardeae	1.836	2.71134274302204
Taphozous_mauritianus	1.848	2.71797961523504
Taphozous_melanopogon	1.826	2.70480831622297
Tonatia_bidens	1.897	2.87212442061372
Lophostoma_schulzi	1.775	2.67681030271887
Trachops_cirrhosus	1.989	2.97719852358353
Triaenops_persicus	1.588	2.41026109600416
Tylonycteris_pachypus	1.173	1.87843900376487
Tylonycteris_robustula	1.297	2.03440793493338
Uroderma_bilobatum	1.707	2.76341624316696
Vampyressa_pusilla	1.511	2.55572901399533
Vampyrum_spectrum	2.368	3.38883839645361
Alouatta_seniculus	3.202	4.69064476860801
Aotus_trivirgatus	2.836	4.20956514451613
Ateles_geoffroyi	3.263	5.00423671459412
Avahi_laniger	2.743	3.99079117597203
Plecturocebus_moloch	2.896	4.24999973790912
Callimico_goeldii	2.663	4.02141427425862
Callithrix_jacchus	2.502	3.86010428447601
Cebuella_pygmaea	2.303	3.63358773263483
Cebus_albifrons	3.24	4.8258408678735
Cercopithecus_ascanius	3.213	4.80297404128273
Cercopithecus_mitis_mitis	3.301	4.84835244065239
Cheirogaleus_major	2.582	3.80396492768725
Cheirogaleus_medius	2.305	3.4708780230274
Daubentonia_madagascariensis	3.181	4.6294722319675
Erythrocebus_patas	3.418	5.01330305301563
Eulemur_fulvus_fulvus	2.959	4.34468914865517
Galago_senegalensis	2.405	3.65384583826705
Galagoides_demidoff	2.228	3.50526524207999
Gorilla_gorilla	3.876	5.67214160105073
Homo_sapiens	3.983	6.09769523952942
Hylobates_lar	3.352	4.98887970833346
Indri_indri	3.128	4.55944787748954
Lagothrix_lagotricha	3.324	4.980177796679
Lepilemur_mustelinus	2.652	3.85550540645094
Lophocebus_albigena	3.433	4.9893093148895
Loris_tardigradus_tardigradus	2.367	3.79701647977618
Macaca_mulatta	3.299	4.94427327976376
Microcebus_murinus	1.996	3.22499777943092
Miopithecus_talapoin	3.015	4.57720824492106
Nasalis_larvatus	3.469	4.97211427746941
Nycticebus_coucang	2.723	4.07016900764897
Otolemur_crassicaudatus	2.732	3.98509131950917
Pan_troglodytes	3.765	5.58232825551133
