Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-VR-001.txt
Log File Name:                   MES_d1_m7-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1595586061
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
7150000	560.550446	1	-0.584935945739	0.726254124018	0.186539649202	-0.023600302781	0.000089425012	0.970764969629	N\A	0.026271707773	0.023189675911	0.003071414281	44	23	
7200000	560.834985	1	-0.385772605244	0.635044371060	0.243535466177	-0.026213077386	0.000061529900	0.970788082027	N\A	0.024682166311	0.022198404483	0.002862753442	42	25	
7250000	553.509044	1	-0.537312506317	0.700528478373	0.205991062537	-0.024443082906	0.000105006435	0.967934364758	N\A	0.026772769284	0.023864008616	0.003134932656	31	26	
7300000	544.587781	1	-0.454840671431	0.660126281062	0.215313287635	-0.018704385369	0.000085642905	0.968924899805	N\A	0.024893545111	0.022637657520	0.003096298462	52	27	
7350000	545.450177	1	-0.496122489511	0.678133277620	0.220790931853	-0.024603912145	0.000086022909	0.969834966414	N\A	0.020363064552	0.020719063323	0.002900988445	36	23	
7400000	558.844275	1	-0.431976274989	0.637276958350	0.254142244440	-0.024230536595	0.000087531566	0.973262719392	N\A	0.025441001535	0.023765411727	0.002949741701	41	30	
7450000	557.400663	1	-0.531972860123	0.697668432157	0.196125471232	-0.020907447089	0.000078476325	0.974457535181	N\A	0.025251957296	0.023139579035	0.003026125658	46	14	
7500000	558.894352	1	-0.537192473966	0.691349036028	0.211651660490	-0.025931121755	0.000122768759	0.972413830310	N\A	0.025253398266	0.022564084081	0.002981252523	49	24	
7550000	556.686125	1	-0.672531999416	0.780998686331	0.141535179908	-0.021055525018	0.000076246099	0.972175879602	N\A	0.028642496597	0.025602276105	0.002883025508	52	25	
7600000	558.189982	1	-0.422086824607	0.652983635003	0.221164886899	-0.020072395048	0.000093132248	0.970537662900	N\A	0.027862767046	0.024071793367	0.003151261781	46	30	
7650000	564.558560	1	-0.602017397852	0.740939910792	0.165227804182	-0.021153257993	0.000077363127	0.976681423954	N\A	0.023658905849	0.021496079904	0.002676233010	43	29	
7700000	551.634208	1	-0.476517965599	0.669261576747	0.222544665572	-0.022766219839	0.000110464326	0.974466585250	N\A	0.022785097404	0.020912320907	0.002710380510	52	28	
7750000	558.752506	1	-0.568803870711	0.743984206469	0.143293753043	-0.018622584405	0.000116771524	0.974943889616	N\A	0.026183395243	0.022827791877	0.002871887233	53	31	
