Species_TTOL	STR	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Lophocebus_albigena	3.618	3.898	0	0	1	0	0	0	0	3.898	0	0
Loris_tardigradus_tardigradus	2.545	2.508	0	0	1	0	0	0	0	2.508	0	0
Macaca_mulatta	3.606	3.892	0	0	1	0	0	0	0	3.892	0	0
Microcebus_murinus	1.933	1.732	0	0	1	0	0	0	0	1.732	0	0
Miopithecus_talapoin	3.281	3.079	0	0	1	0	0	0	0	3.079	0	0
Nasalis_larvatus	3.572	4.146	0	0	1	0	0	0	0	4.146	0	0
Nycticebus_coucang	2.881	2.903	0	0	1	0	0	0	0	2.903	0	0
Otolemur_crassicaudatus	2.745	2.929	0	0	1	0	0	0	0	2.929	0	0
Pan_troglodytes	4.088	4.663	0	0	1	0	0	0	0	4.663	0	0
Papio_cynocephalus	3.856	4.398	0	0	1	0	0	0	0	4.398	0	0
Perodicticus_potto	2.852	3.061	0	0	1	0	0	0	0	3.061	0	0
Pithecia_monachus	3.283	3.176	0	0	1	0	0	0	0	3.176	0	0
Piliocolobus_badius	3.507	3.845	0	0	1	0	0	0	0	3.845	0	0
Propithecus_verreauxi	3.15	3.542	0	0	1	0	0	0	0	3.542	0	0
Pygathrix_nemaeus	3.501	3.875	0	0	1	0	0	0	0	3.875	0	0
Saguinus_midas	2.673	2.531	0	0	1	0	0	0	0	2.531	0	0
Saguinus_oedipus	2.656	2.58	0	0	1	0	0	0	0	2.58	0	0
Saimiri_sciureus_sciureus	3.018	2.82	0	0	1	0	0	0	0	2.82	0	0
Tarsius_tarsier	2.124	2.097	0	0	1	0	0	0	0	2.097	0	0
Varecia_variegata	3.202	3.477	0	0	1	0	0	0	0	3.477	0	0
