Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-fab-004.txt
Log File Name:                   MED_d1_m2-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3380970565
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	504.609786	1	1.080907555729	0.444618616245	-0.169174563942	-0.190531271666	0.273576636802	0.147415888640	0.110021566274	0.167150902683	0.190913566060	0.074384901980	0.068935487083	0.036546670883	0.000425581857	0.966716538766	N\A	0.065460605283	0.209177197558	0.206096032609	0.231344070886	0.218662849297	0.336314272595	0.066256182348	0.066272562776	0.069420583793	0.070879460629	0.067521138982	39	7	
2050000	509.458421	1	1.988302849424	0.364092295786	-0.151432293482	-0.211108458537	0.013395523226	0.152253056636	-0.893571069587	0.250281024872	0.265604373071	0.203693626976	0.108219159787	0.163441444893	0.000142357400	0.971693425561	N\A	0.092025730915	0.202350131664	0.200215346140	0.226691958414	0.205944084936	0.250378137081	0.092457289282	0.092661568051	0.096021728871	0.093211300396	0.093075348459	30	9	
2100000	505.973704	1	1.941021074411	0.669522093310	0.207672262380	0.202891732119	0.447254942057	0.420360716147	-0.756890005703	-0.047157727017	-0.012205876961	-0.110468734767	-0.109288321831	-0.146834660371	0.000075756242	0.966518926479	N\A	0.059254802190	0.200280936992	0.194688234892	0.201699743164	0.210419129015	0.219381482118	0.060410624287	0.060253040133	0.062153662092	0.065410700548	0.060791735546	40	7	
2150000	502.167028	1	2.123585646805	0.569798258104	-0.093904342462	-0.137058697864	-0.102607708897	0.095413231408	-1.033123897399	0.036095418155	0.061195351486	0.026778332007	-0.060719572229	-0.005401936944	0.000252092909	0.964420811663	N\A	0.076056260277	0.219281898096	0.214860105424	0.230195783191	0.231759565946	0.292394221065	0.077037084120	0.076578597432	0.080738873533	0.081214822186	0.078761301970	33	7	
2200000	506.075157	1	0.644408263069	0.585757357099	0.275859642662	0.216024253993	0.468802258079	0.416220456262	0.532980538664	0.039259498671	0.065747288036	-0.026065270279	-0.049410020118	-0.062114129212	0.000152901077	0.964695373534	N\A	0.046863124456	0.158009163513	0.153584177036	0.177945881645	0.172213987469	0.223835179346	0.048051185013	0.048133742104	0.051632303943	0.053792606710	0.049893970759	41	6	
2250000	518.988140	1	0.785708139256	0.610882439574	0.135954262734	0.026105767598	0.450199386891	0.212967621575	0.787790169531	0.004999119149	0.037879852471	-0.068596791468	-0.070807529789	-0.091025089746	0.000273826532	0.974910806749	N\A	0.066505086813	0.192866336084	0.189327697399	0.221390031691	0.212415328749	0.278244074211	0.067106737646	0.067019257536	0.072301647673	0.073091992798	0.068357263904	35	6	
2300000	504.592482	1	0.726491417166	0.832877915059	0.317829256925	0.319911438866	0.548871676690	0.353230349999	0.218633631885	-0.213509446573	-0.187373595231	-0.274887958190	-0.255492183090	-0.322772165492	0.000248950186	0.970595047394	N\A	0.048307709478	0.169080239612	0.165709279415	0.179696645011	0.188216365306	0.259119349423	0.049342266869	0.049223456849	0.052842453691	0.055056620320	0.052182916635	46	7	
2350000	497.309400	1	0.941908875453	0.728372416005	-0.044511704408	-0.078030737967	0.187095443066	-0.024690170166	0.110933615171	-0.120731540364	-0.073838553942	-0.137815186833	-0.111695752380	-0.201256300350	0.000161051222	0.966810422066	N\A	0.066563723397	0.179430920414	0.176085503818	0.196451262587	0.197027612242	0.237030940800	0.067305511615	0.067476969122	0.070389882248	0.073683156179	0.068506469604	41	4	
2400000	508.684168	1	0.925091467490	0.612714349523	-0.366859456770	-0.368020389188	0.379556199356	-0.389968182176	0.230967085582	0.008116174319	0.033482728947	-0.086111962411	-0.013269035929	-0.110164866790	0.000287248787	0.971340796348	N\A	0.051890675009	0.179514136774	0.177113345557	0.209155560601	0.205478208383	0.275697816517	0.052582254684	0.052923885508	0.057849326342	0.061958519473	0.054553655376	36	6	
2450000	507.937940	1	0.682849896302	0.559513021997	0.326193871573	0.306796817906	0.545268789988	0.394403999436	-0.247607435105	0.073491238979	0.085523332834	0.038841038859	-0.044031055706	-0.040010711869	0.000211588356	0.966717900866	N\A	0.028105582816	0.145272089722	0.138390267704	0.167407220239	0.159954747524	0.227796199966	0.030591951868	0.029587522900	0.037045778712	0.039334917228	0.033471774805	43	9	
2500000	496.101650	1	1.116735560640	0.458804430544	-0.171756239538	-0.219481916504	-0.058808687658	0.111005566210	-0.007639226298	0.172314762433	0.178059982501	0.122832831776	0.104199832309	0.048672487913	0.000055118408	0.969410137006	N\A	0.092992783347	0.270845747894	0.267606696684	0.275366640121	0.283269171163	0.282904796263	0.093715188213	0.093429301007	0.095504586854	0.097338561100	0.094218895886	39	7	
2550000	521.768058	1	0.959917257930	0.532828335904	-0.054149344049	-0.031608162714	0.215911793252	0.027543914489	0.056946000655	0.089393096382	0.118369306147	0.034515370533	0.028038758967	0.029950961063	0.000041684115	0.976543014892	N\A	0.038440112059	0.130778877423	0.126443302474	0.171024047278	0.147016391709	0.165016903248	0.039158062905	0.039633772360	0.046853244229	0.047511852528	0.041473600427	46	7	
2600000	517.855700	1	1.073057805505	0.655171672624	-0.176214944563	-0.208657725400	0.065816099927	-0.228762113187	0.071914394715	-0.034725988638	-0.012278923098	-0.122559207137	-0.067389920710	-0.116509341782	0.000220169623	0.967454386652	N\A	0.088035722120	0.264410344516	0.260815316669	0.272847686412	0.264922771888	0.362929232185	0.088717253417	0.088557429570	0.090729525907	0.090998339986	0.089931341678	35	7	
2650000	508.629747	1	0.666578068889	0.666344045246	0.227117453688	0.150592188660	0.507112676439	0.251831608478	0.515235997508	-0.049737827748	-0.004199402490	-0.149732797539	-0.115608842349	-0.114451887729	0.000200329363	0.966228129160	N\A	0.072324314065	0.237196226715	0.233229513125	0.253452966139	0.236685833488	0.292357632309	0.073366131022	0.073025664909	0.076159486717	0.075008332960	0.073866206287	33	10	
2700000	505.810852	1	0.234210422873	0.761256184609	0.689970867905	0.597987910678	1.048178479972	0.691874887314	0.903725139926	-0.137610502963	-0.119468171808	-0.238172818459	-0.148880224248	-0.218900278729	0.000080185060	0.968803897053	N\A	0.050161356052	0.183170402142	0.177188202677	0.184020425427	0.186836658670	0.206807412727	0.051108679673	0.051384098242	0.053989593519	0.057980792880	0.052586664065	44	7	
