Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-bm-006.txt
Log File Name:                   PAL_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2058746380
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	210.354513	1	0.195092890614	0.663103462686	0.887121652515	0.487567505728	0.661310957839	0.952502359272	0.794685790296	-0.032297081025	0.010803642831	-0.150621416872	-0.077804419329	-0.158811544819	0.000738227667	0.801616454261	N\A	0.083186983698	0.355015317681	0.321120145139	0.336597547912	0.326225633179	0.442326479387	0.092561273578	0.089327725146	0.092860246881	0.096501024721	0.088202008781	
2100000	210.523051	1	0.417030589054	0.735096072129	0.196354787231	-0.297657457831	0.051709864357	0.177169417776	0.978124132946	-0.157483884494	-0.114236223897	-0.187541944101	-0.084170478977	-0.274194728353	0.000737504652	0.801810749862	N\A	0.083146237314	0.354841425205	0.320962855089	0.336432676770	0.326065842375	0.442109820435	0.092515935508	0.089283970923	0.092814762369	0.096453756896	0.088158805953	
2150000	212.280355	1	0.243257555457	0.757418819441	0.666960664593	0.177762557025	0.419920283013	0.855950754399	0.724625705321	-0.169816348069	-0.109742226885	-0.204276348217	-0.142660990797	-0.233728108704	0.000730008017	0.803825316723	N\A	0.082722572825	0.353033361295	0.319327416515	0.334718413052	0.324404401969	0.439857087937	0.092044528530	0.088829032142	0.092341832745	0.095962285088	0.087709600353	
2200000	208.680895	1	0.342923767072	0.744571254450	0.619941387460	-0.212382575251	0.273846238874	0.118149810950	0.977733954024	-0.120077448653	-0.105863583727	-0.186844200017	-0.161975896177	-0.244703538164	0.000745445935	0.799676692869	N\A	0.083592688643	0.356746736030	0.322686255906	0.338239142350	0.327816643536	0.444483716398	0.093012697163	0.089763378636	0.093313128566	0.096971662569	0.088632172126	
2250000	210.390790	1	0.755812688317	0.626818945509	0.364355031211	-0.471291687416	-0.413641359334	0.029994065691	0.383670938119	-0.098789122166	0.058695080333	-0.079434119183	-0.071095452894	-0.087760852445	0.000738071983	0.801658291206	N\A	0.083178211618	0.354977881261	0.321086282970	0.336562053649	0.326191232636	0.442279835992	0.092551512977	0.089318305523	0.092850454753	0.096490848674	0.088192707866	
2300000	212.303726	1	0.490615716306	0.755125385501	0.043798458320	-0.394170094639	0.328292895662	0.509444712391	0.548906339724	-0.142158912883	-0.129701652619	-0.218145097732	-0.166557323231	-0.250422709370	0.000729908829	0.803851971485	N\A	0.082716952769	0.353009376702	0.319305721857	0.334695672751	0.324382362387	0.439827204661	0.092038275154	0.088822997222	0.092335559170	0.095955765544	0.087703641486	
2350000	210.142442	1	0.703764968830	0.529578654814	-0.030783475829	-0.672547081011	-0.204990055347	-0.379909705633	0.642496520905	0.103492238644	0.115625731950	-0.024021480461	0.162616669115	0.010974166335	0.000739138441	0.801371702521	N\A	0.083238283021	0.355234246708	0.321318171865	0.336805119164	0.326426808331	0.442599251014	0.092618353790	0.089382811310	0.092917511462	0.096560534479	0.088256400744	
2400000	212.854611	1	0.801577459227	0.529278125565	0.302950878436	-0.210871289374	0.261390618469	0.360413543884	-0.070873364516	0.106848790464	0.123577835242	-0.009659951132	0.105752193940	-0.008963594911	0.000727574803	0.804479192991	N\A	0.082584595095	0.352444516676	0.318794791977	0.334160116987	0.323863309235	0.439123425038	0.091891002175	0.088680869097	0.092187810498	0.095802224081	0.087563304473	
2450000	206.473910	1	0.943398262809	0.659092696080	0.461132541817	0.067961481365	0.416771400566	0.485258119941	-0.634493143661	-0.009224758680	0.018402182800	-0.200824828587	-0.042959077408	-0.117286478480	0.000755072610	0.797089721440	N\A	0.084130714408	0.359042857121	0.324763154286	0.340416143427	0.329926562515	0.447344537067	0.093611352719	0.090341120676	0.093913717782	0.097595799126	0.089202633406	
2500000	209.648523	1	0.999272104656	0.680140778722	-0.629528049655	-0.914980517254	-0.098404728843	-0.018440459834	-0.222665734414	-0.018879865335	-0.011622785671	-0.131062168984	-0.112950203351	-0.128979386088	0.000741264020	0.800800496690	N\A	0.083357883449	0.355744662908	0.321779855956	0.337289055582	0.326895832736	0.443235197098	0.092751431917	0.089511240467	0.093051019432	0.096699276905	0.088383211425	
