Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-fab-001.txt
Log File Name:                   CEREB_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            555591975
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	381.461759	1	0.589535019964	0.784590047691	0.475243498120	0.207933452722	0.806381591629	0.434200297940	0.335730192711	-0.156061430714	-0.026840384902	-0.110285854621	-0.217583859957	-0.118339004183	0.000462076194	0.953244245396	N\A	0.066796496866	0.244254094306	0.231171642580	0.245784615005	0.235418714121	0.353819957648	0.068223303997	0.068204486264	0.073094268726	0.073421766547	0.072575288658	46	5	
2050000	389.385454	1	0.225550270967	0.935598058917	0.985262585929	0.761845811704	1.319525482890	0.946414425492	0.621362908417	-0.287469750931	-0.193723809975	-0.336923133409	-0.328448855722	-0.277977775056	0.000242135712	0.952243546833	N\A	0.074816904007	0.225349815470	0.211533454920	0.223697276059	0.218836337566	0.281859727383	0.075900489356	0.076318635217	0.079338631125	0.082204207337	0.079032284507	30	10	
2100000	406.654325	1	0.750841830183	1.077655949989	0.741543108515	0.774520642572	1.111358911943	0.742744504510	0.203237574935	-0.399438990576	-0.375427429119	-0.419870660168	-0.499420127164	-0.432774211426	0.000232948699	0.951373013740	N\A	0.059226399389	0.200149382600	0.190131935256	0.207219851917	0.197112628266	0.257741803240	0.061330012296	0.060996195677	0.066217726402	0.067189042928	0.062234869886	43	9	
2150000	392.373005	1	0.025864858784	0.922896805252	1.005495121201	0.897383961017	1.356118242329	0.979521791044	1.231352723564	-0.284991297323	-0.242009278526	-0.288942929227	-0.381090401608	-0.328644146882	0.000260956049	0.950566549276	N\A	0.047933965439	0.199217723670	0.187339298881	0.201639127979	0.197114129845	0.264634908743	0.049966944819	0.050320780174	0.054722774227	0.060044428296	0.052862674342	28	11	
2200000	382.001972	1	0.021222285599	0.964906990558	0.841269776096	0.815519237109	1.283264211251	0.916452663450	1.276985935662	-0.295961976261	-0.268786546498	-0.332249612377	-0.350038154877	-0.375009603150	0.000275339001	0.945879071657	N\A	0.069913530221	0.235381942432	0.219219324065	0.230230353395	0.224920922130	0.290470024339	0.071769967004	0.071450445688	0.074789755198	0.082126189612	0.073530351637	38	4	
2250000	377.589577	1	0.393667930224	0.888717566585	0.527520871778	0.555191874428	0.990603359161	0.570117509681	0.711766698251	-0.193383861018	-0.157165533341	-0.273169453320	-0.235773179285	-0.306280659109	0.000241486767	0.951022611913	N\A	0.047578077251	0.184042648950	0.173642476966	0.203976238674	0.196289039531	0.317018148700	0.049237623396	0.050258833758	0.058087109737	0.062424681627	0.055406810199	43	3	
2300000	371.684466	1	0.609726428343	0.685093249710	0.123848341177	-0.047439834788	0.526629522145	0.304323892936	0.757912727144	-0.020524767011	0.082634209827	-0.002715718819	-0.127552335856	-0.064112099191	0.000420940502	0.938030966708	N\A	0.062816043080	0.262102265704	0.237060956790	0.256018451189	0.247508617083	0.335351507371	0.065084403075	0.065057473902	0.070761017774	0.073819931784	0.067475382422	42	7	
2350000	388.079344	1	0.365597680859	0.745661754594	0.189588996375	0.099053750788	0.707856356664	0.175142973318	1.315538973437	-0.055892341550	-0.015242201499	-0.078917545221	-0.130274409640	-0.113548536431	0.000342232352	0.948798131561	N\A	0.086472987401	0.224910172882	0.220608632486	0.254558163636	0.253649399910	0.315538461598	0.087999987657	0.087529423377	0.093474050471	0.097804639023	0.089772968247	44	8	
2400000	399.459711	1	0.683851539503	0.739076964388	0.226942785881	0.127326631249	1.511791863936	0.268418024550	0.218124826173	-0.095980769499	-0.001837046390	-0.103958460451	-0.097534071866	-0.041612138560	0.000500980421	0.951599366908	N\A	0.049935949563	0.192089048391	0.179692988799	0.197709215568	0.187254445678	0.307089222137	0.052505766589	0.051969022529	0.055741275485	0.058940139703	0.056020202578	39	12	
2450000	393.652416	1	0.149510759853	0.921506451246	0.961778783472	0.804092700040	2.435473422180	0.777903413731	1.141839258312	-0.287316186463	-0.195882432603	-0.273537148619	-0.249750560374	-0.348188689924	0.000305446756	0.951658012814	N\A	0.063702941740	0.206715793883	0.186427480550	0.199903622926	0.193714041338	0.271352440165	0.065539104865	0.065567422749	0.068809599566	0.071596285876	0.068032346090	40	11	
