Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-VR-005.txt
Log File Name:                   NEO_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3070615370
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2000000	327.428147	1	0.233053932677	0.965649841296	1.378433925052	0.871179184892	1.521578710673	1.155819195201	0.750243045072	-0.283764459135	-0.214559211493	-0.200775317380	-0.416146440261	-0.315539779237	0.000702338505	0.954240981289	N\A	0.081013292195	0.553717908349	0.545971175124	0.570927698933	0.562289044941	0.634008418732	0.082694448879	0.082364098384	0.092564034845	0.082263089420	0.085093720304	45	29	
2050000	320.782956	1	0.574457395740	0.778001901136	0.737174648440	0.325588987811	1.264746047352	0.578291169299	0.719405968455	-0.099411805536	-0.040491152307	-0.065307049739	-0.183582509898	-0.137503523500	0.000832409125	0.940741129048	N\A	0.090898102736	0.295812289921	0.290952568968	0.352566713201	0.340891700205	0.465721969910	0.093838222129	0.091942254103	0.099739650830	0.103346461488	0.094287839913	48	27	
2100000	325.703537	1	0.224250676827	0.891075084649	1.105014294510	0.771882920638	1.721242999572	1.260275733593	1.080972025481	-0.114179185841	-0.114096835551	-0.230340461018	-0.295546941144	-0.252804013862	0.000497842008	0.939822852355	N\A	0.102081726229	0.362855149467	0.359484826856	0.380590245877	0.409562238274	0.406886576181	0.103974231471	0.103221958991	0.108531443299	0.113547274974	0.107021241380	46	30	
2150000	326.116684	1	-0.067939328084	1.060816609381	0.739834550212	0.568569519088	1.400064304698	0.660349117991	1.601367793272	-0.291162776649	-0.334947952086	-0.339046644130	-0.453794762334	-0.409709285983	0.000317918027	0.944786148697	N\A	0.111535468553	0.322874454306	0.310039760689	0.363640519651	0.330676891974	0.390981658072	0.112554952949	0.112737607747	0.124646802236	0.118950640619	0.114641435514	49	30	
2200000	333.917317	1	0.237397303642	1.011090028553	0.983637830482	0.680301175164	1.862684821684	0.958014896049	0.902878031121	-0.276480967857	-0.280904852100	-0.350925255850	-0.382738416623	-0.360996655980	0.000444582192	0.936917168297	N\A	0.083515749571	0.252132653531	0.245126984755	0.291902734428	0.274269477237	0.361867727915	0.085738300419	0.085059980973	0.088966944184	0.093176427259	0.088830179928	50	36	
2250000	327.494492	1	1.139544905664	0.841691260928	0.086108288721	-0.254603889735	0.721855916818	-0.095450648234	0.157979464201	-0.168972663174	-0.108883354819	-0.148257058236	-0.230575044109	-0.234219090476	0.000747550200	0.932276373779	N\A	0.083797284594	0.465708163041	0.459202303831	0.496166576961	0.480114167806	0.567106413756	0.086474195644	0.085376180210	0.094014979906	0.092884063010	0.087235180811	44	22	
2300000	311.862589	1	0.417984826608	0.924518568129	1.111769117519	0.594719770850	1.454337444321	0.772351893030	0.699009595426	-0.240386899478	-0.174382459293	-0.249123982873	-0.376262300146	-0.265678899687	0.000520488510	0.928488253369	N\A	0.112831974086	0.313260043173	0.300562013853	0.332277826622	0.322372994309	0.409958087799	0.115380995671	0.113876868680	0.120076467705	0.122630669931	0.117237699672	39	24	
2350000	330.817319	1	0.715028876238	0.796058406615	0.338928940370	-0.048079807857	0.906463395208	0.173344705360	0.753280281084	-0.092990458651	-0.038296223601	-0.095797257598	-0.250864539524	-0.152564889623	0.000494391632	0.937154595653	N\A	0.089791940837	0.288934453236	0.277670309541	0.315905946212	0.297118102493	0.388990824596	0.093323149417	0.091050288169	0.097220388717	0.095727155360	0.093836408797	44	31	
2400000	314.318078	1	0.127170551267	0.932616939421	1.195835770510	0.934622349104	1.571138430185	0.756104723314	1.264938822673	-0.198570425914	-0.231763830007	-0.237782017427	-0.282783014570	-0.311495090697	0.000539177190	0.939442619807	N\A	0.077142837809	0.265403863449	0.258099793029	0.301958215982	0.292529660773	0.391264045360	0.078676203630	0.078915110083	0.088148391866	0.092945793041	0.085359502936	45	31	
2450000	331.468584	1	0.483034154945	0.874727238244	0.474491272170	0.165317385326	1.538206250077	0.332426860313	0.972093390917	-0.105932897838	-0.158305409758	-0.264201098230	-0.242739956720	-0.255201074894	0.000294077926	0.931059011395	N\A	0.093057122871	0.267728333845	0.256163381014	0.270821151982	0.284753252144	0.323612727533	0.096407363298	0.094787989716	0.098355128455	0.100455235091	0.095706631757	54	32	
