Species_TTOL	SEP	rest_of_brain	BOD	BOD2
Parascalops_breweri	1.128	2.9176407015745	1.86328760196422	3.47184068763358
Potamogale_velox	1.693	3.58573403914356	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	0.78	2.54319142403048	1.86328760196422	3.47184068763358
Scalopus_aquaticus	1.239	3.09133564705225	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.036	2.77648055519446	1.86328760196422	3.47184068763358
Setifer_setosus	1.394	3.13780347988815	1.86328760196422	3.47184068763358
Solenodon_paradoxus	1.821	3.63091110993978	1.86328760196422	3.47184068763358
Sorex_alpinus	0.604	2.39429748323639	1.86328760196422	3.47184068763358
Sorex_araneus	0.53	2.30376222600923	1.86328760196422	3.47184068763358
Sorex_cinereus	0.42	2.19894571979351	1.86328760196422	3.47184068763358
Sorex_fumeus	0.573	2.35557876339451	1.86328760196422	3.47184068763358
Sorex_hoyi	0.228	1.95473569737117	1.86328760196422	3.47184068763358
Sorex_minutus	0.26	2.03191366086741	1.86328760196422	3.47184068763358
Suncus_etruscus	0.017	1.76381793243763	1.86328760196422	3.47184068763358
Suncus_murinus	0.777	2.54992986543294	1.86328760196422	3.47184068763358
Sylvisorex_granti	0.428	2.19026550669	1.86328760196422	3.47184068763358
Suncus_megalura	0.467	2.24721153694055	1.86328760196422	3.47184068763358
Talpa_europaea	1.178	2.9763963558453	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	1.57	3.35823796436117	1.86328760196422	3.47184068763358
Aepyprymnus_rufescens	2.074816	4.0785367274352	1.86328760196422	3.47184068763358
Antechinus_flavipes	0.949878	2.78774994860876	1.86328760196422	3.47184068763358
Antechinus_minimus	1.041393	2.86153430048589	1.86328760196422	3.47184068763358
Bettongia_gaimardi	2.088136	4.04663551459762	1.86328760196422	3.47184068763358
Bettongia_penicillata	2.038223	3.98021273823091	1.86328760196422	3.47184068763358
Burramys_parvus	1.152288	2.92464113314859	1.86328760196422	3.47184068763358
Cercartetus_nanus	0.900913	2.67775290596171	1.86328760196422	3.47184068763358
Dactylopsila_trivirgata	1.778151	3.76646475332113	1.86328760196422	3.47184068763358
Dasycercus_cristicauda	1.305351	3.16814378922862	1.86328760196422	3.47184068763358
Dasyuroides_byrnei	1.338456	3.1709361619783	1.86328760196422	3.47184068763358
Dasyurus_geoffroii	1.775246	3.70221513935253	1.86328760196422	3.47184068763358
Dasyurus_hallucatus	1.583199	3.45874340368618	1.86328760196422	3.47184068763358
Dendrolagus_lumholtzi	2.280123	4.32056441398414	1.86328760196422	3.47184068763358
Distoechurus_pennatus	1.170262	2.99668674974598	1.86328760196422	3.47184068763358
Dorcopsis	2.163161	4.18833195300086	1.86328760196422	3.47184068763358
Echymipera_kalubu	1.701568	3.52847956017657	1.86328760196422	3.47184068763358
Gymnobelideus_leadbeateri	1.488551	3.34769853893654	1.86328760196422	3.47184068763358
Hypsiprymnodon_moschatus	1.800717	3.74212014161771	1.86328760196422	3.47184068763358
Isoodon_macrourus	1.769377	3.58290385753117	1.86328760196422	3.47184068763358
Isoodon_obesulus_obesulus	1.816241	3.62554911049539	1.86328760196422	3.47184068763358
Osphranter_antilopinus	2.608205	4.71459609027679	1.86328760196422	3.47184068763358
Macropus_giganteus	2.591176	4.77506983526938	1.86328760196422	3.47184068763358
Notamacropus_irma	2.356599	4.36841530467472	1.86328760196422	3.47184068763358
Notamacropus_parma	2.13226	4.20117855029655	1.86328760196422	3.47184068763358
Notamacropus_parryi	2.504199	4.51970786965636	1.86328760196422	3.47184068763358
Osphranter_robustus	2.533899	4.66347772236744	1.86328760196422	3.47184068763358
Osphranter_rufus	2.644832	4.6959083965357	1.86328760196422	3.47184068763358
Thylamys_pallidior	0.910624	2.76345797589405	1.86328760196422	3.47184068763358
Marmosops_impavidus	1.227887	3.05568408388292	1.86328760196422	3.47184068763358
Monodelphis_brevicaudata	1.117271	2.94537022663038	1.86328760196422	3.47184068763358
Notoryctes_typhlops	1.190332	2.91376083971985	1.86328760196422	3.47184068763358
Petauroides_volans	1.633468	3.62032345471659	1.86328760196422	3.47184068763358
Petaurus_australis	1.767156	3.77024778429207	1.86328760196422	3.47184068763358
Petaurus_breviceps	1.437751	3.32467344517594	1.86328760196422	3.47184068763358
Petaurus_norfolcensis	1.561101	3.45766979672993	1.86328760196422	3.47184068763358
Petrogale_inornata	2.200577	4.23497248958282	1.86328760196422	3.47184068763358
Petrogale_lateralis	2.130012	4.16786355239828	1.86328760196422	3.47184068763358
Petrogale_penicillata	2.299071	4.31879823891567	1.86328760196422	3.47184068763358
Petrogale_purpureicollis	2.215109	4.24652097310723	1.86328760196422	3.47184068763358
Petropseudes_dahli	1.752816	3.69722055952986	1.86328760196422	3.47184068763358
Phascolarctos_cinereus	2.223496	4.22355030391757	1.86328760196422	3.47184068763358
Planigale_ingrami	0.158362	1.97840863192174	1.86328760196422	3.47184068763358
Planigale_maculata	0.535294	2.30272041723985	1.86328760196422	3.47184068763358
Potorous_tridactylus_tridactylus	2.071145	3.99808497676137	1.86328760196422	3.47184068763358
Pseudochirulus_canescens	1.469822	3.33597913853393	1.86328760196422	3.47184068763358
Pseudochirulus_forbesi	1.603144	3.47922966682932	1.86328760196422	3.47184068763358
Sarcophilus_harrisii	2.240549	4.14834965764349	1.86328760196422	3.47184068763358
Sminthopsis_crassicaudata	0.774517	2.53750425778387	1.86328760196422	3.47184068763358
Sminthopsis_leucopus	0.840106	2.66164229549523	1.86328760196422	3.47184068763358
