Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-bm-003.txt
Log File Name:                   SEP_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1081257119
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2050000	304.196341	1	0.151749364845	0.618777113914	0.335144931231	-0.070003065053	0.619821600852	0.204709993135	-0.331953582289	0.017094782039	0.017245831041	-0.069335248233	-0.064099004759	-0.076829767973	0.000427801904	0.875020093136	N\A	0.063325929813	0.270254721238	0.244452086957	0.256234229765	0.248338629814	0.336720173552	0.070462089781	0.068000557316	0.070689682628	0.073461217690	0.067143607920	
2100000	305.316092	1	0.399165451388	0.549910383232	-0.044428740354	-0.587619694776	0.020011215536	-0.107866001694	-0.360291871497	0.040750164460	0.105623477657	-0.005767859297	0.032940510842	-0.027952999925	0.000425025883	0.875831091902	N\A	0.063120133384	0.269376448204	0.243657667250	0.255401520484	0.247531579631	0.335625901277	0.070233102280	0.067779569296	0.070459955496	0.073222483631	0.066925404811	
2150000	306.246350	1	-0.208677393440	0.582949826566	0.527320658426	0.009383387788	0.441126812311	0.190379586016	0.587709488596	-0.027049426098	0.040088945026	-0.038585467412	0.025168621993	-0.053516721246	0.000422733346	0.876500843825	N\A	0.062949672067	0.268648974072	0.242999648886	0.254711786840	0.246863099435	0.334719514833	0.070043431782	0.067596524774	0.070269672361	0.073024740053	0.066744667033	
2200000	299.406585	1	-0.595606992966	0.755269216852	0.550057151863	0.325243108435	0.897659591969	0.201039822135	1.150341376952	-0.163296073641	-0.169894500087	-0.241982003497	-0.120177186267	-0.224349326182	0.000439882510	0.871490812483	N\A	0.064213828796	0.274043988808	0.247879573297	0.259826914668	0.251820609747	0.341441359653	0.071450045553	0.068953999703	0.071680829501	0.074491224524	0.068085034936	
2250000	304.792794	1	0.085130869763	0.523827756491	0.205187809177	-0.309129824494	0.009682089560	-0.059669873691	0.276117648622	0.036419976257	0.125895402286	0.017018597162	0.047872718462	0.015706097115	0.000426320963	0.875452741721	N\A	0.063216225674	0.269786539222	0.244028604730	0.255790336471	0.247908414645	0.336136848572	0.070340023151	0.067882754978	0.070567221721	0.073333955450	0.067027290138	
2300000	302.246188	1	0.376391198178	0.609000642337	-0.226762951392	-0.597953198414	-0.121630241274	-0.551779977565	-0.084973728628	0.001812035992	0.036197222306	-0.051344454119	-0.038635996895	-0.106586393934	0.000432679966	0.873594995068	N\A	0.063685947114	0.271791159401	0.245841833318	0.257690959354	0.249750471747	0.338634477667	0.070862677210	0.068387150568	0.071091563955	0.073878855605	0.067525329286	
2350000	303.482802	1	0.034973673556	0.670303082434	0.333818461684	0.220210856664	0.495069719944	0.166998664204	-0.009674401725	-0.052343619300	-0.051367605856	-0.165981039635	-0.077650287824	-0.152291659142	0.000429580319	0.874500539468	N\A	0.063457419336	0.270815876273	0.244959665580	0.256766272748	0.248854278428	0.337419336993	0.070608396777	0.068141753203	0.070836462196	0.073613752054	0.067283024443	
2400000	306.026185	1	0.024470398203	0.563915808899	0.324451494009	-0.227117970560	0.371385341916	0.095701524264	0.067217234567	0.039098914755	0.080127403203	-0.001514025872	0.024621243436	0.004773965501	0.000423274802	0.876342660466	N\A	0.062989973573	0.268820967952	0.243155221609	0.254874857883	0.247021145608	0.334933808255	0.070088274840	0.067639801278	0.070314660263	0.073071491798	0.066787398163	
2450000	305.365265	1	-0.161085859367	0.641703144158	0.414359176859	0.165669437934	0.412220171225	0.210112820206	0.436839580697	-0.061524113856	-0.068109169656	-0.097518851654	-0.059082873976	-0.110267360512	0.000424904389	0.875866585973	N\A	0.063111111195	0.269337944402	0.243622839608	0.255365014213	0.247496198265	0.335577927992	0.070223063386	0.067769881103	0.070449884177	0.073212017445	0.066915838709	
2500000	304.060263	1	-0.156169187953	0.672283740879	0.354966820172	0.066175622911	0.334482209095	0.316140612670	0.503130467133	-0.053303954114	-0.098859337784	-0.109564948762	-0.150029715705	-0.165566814413	0.000428140495	0.874921175764	N\A	0.063350985023	0.270361648824	0.244548805606	0.256335610076	0.248436886192	0.336853398516	0.070489968448	0.068027462065	0.070717651342	0.073490282975	0.067170173613	
