Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-fab-005.txt
Log File Name:                   SCH_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            68364231
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2900000	497.639510	1	-1.929372082337	1.328925252867	-0.051722195968	-0.052461995703	0.006700260601	0.000163052950	0.969327349766	N\A	0.106238964527	0.015433043556	0.044993491440	0.008338838965	40	6	
2950000	489.735801	1	-2.057128925692	1.493546663368	-0.073612088989	-0.177980718229	0.026505739861	0.000164444981	0.965738494392	N\A	0.115897270063	0.016811834360	0.048344668295	0.008650769985	30	7	
3000000	484.493066	1	-2.157190489154	1.510851523938	-0.079725463027	-0.103660123786	0.017830311900	0.000104591636	0.966173927201	N\A	0.126090289280	0.018747295440	0.049306383835	0.009304032294	34	3	
3050000	486.348499	1	-1.856750435774	1.305901922330	-0.053263983607	-0.035278941159	0.007803587949	0.000078399629	0.970282614808	N\A	0.098416958619	0.013853984491	0.042404237639	0.007244133261	35	5	
3100000	479.054188	1	-2.226860468000	1.594139739030	-0.090723832328	-0.171359375250	0.029933172897	0.000149535212	0.960758296775	N\A	0.116451354848	0.016606584283	0.048313547156	0.008639076372	32	5	
3150000	477.212434	1	-1.983046030284	1.385817239474	-0.056401181766	-0.089404785839	0.012866477999	0.000064848291	0.967932169233	N\A	0.106798785714	0.015087745120	0.045555774933	0.008010015362	36	3	
3200000	488.786374	1	-2.055061991626	1.426982043251	-0.060780993200	-0.098063186219	0.010308874466	0.000110283465	0.966665934716	N\A	0.110647706060	0.015861709088	0.046787281966	0.008240981423	45	5	
3250000	481.464621	1	-2.049798563008	1.415573455992	-0.062858789709	-0.070524597393	0.007228381917	0.000118740290	0.965573933663	N\A	0.115916602076	0.016999888649	0.047396652854	0.008450367151	34	2	
3300000	474.803303	1	-1.681747078198	1.194041691496	-0.040472205353	-0.009612444662	0.001581384835	0.000126628452	0.960364781017	N\A	0.118146153818	0.015940750796	0.051614414064	0.008222908565	36	2	
3350000	471.193332	1	-1.934940660821	1.352578898293	-0.051595278271	-0.108866021646	0.012930967002	0.000192249359	0.965294768723	N\A	0.109331187549	0.015055077260	0.047457595625	0.008199974182	30	4	
3400000	484.489721	1	-2.038995561456	1.405365589427	-0.061591008718	-0.085156887115	0.011878377614	0.000128314554	0.967100150619	N\A	0.101740116780	0.012939199606	0.046481917550	0.007219011478	38	3	
3450000	490.769259	1	-1.986359694266	1.386203708103	-0.061087320394	-0.084027645183	0.012919069462	0.000152029376	0.968179618612	N\A	0.103586376808	0.015127531280	0.044847752783	0.008042146984	39	7	
3500000	464.519371	1	-2.118813710909	1.486924626983	-0.081019205187	-0.076388611017	0.016949828541	0.000128069261	0.959183922939	N\A	0.114996586878	0.015913647647	0.050456144001	0.008482357227	34	1	
3550000	481.045655	1	-1.779165628808	1.253025050319	-0.044197328681	-0.053024200337	0.008089284551	0.000146333482	0.966713987736	N\A	0.100103417160	0.014143330883	0.045075033175	0.007942561623	35	2	
