Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-fab-005.txt
Log File Name:                   AMY_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1081939161
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
3650000	509.542630	1	-0.791727209198	0.668810338343	0.179526626269	-0.015450862578	0.000097046790	0.966676323583	N\A	0.030139685088	0.027617625558	0.003453537141	34	4	
3700000	498.132046	1	-0.815613877345	0.672153269239	0.214924715107	-0.026831163123	0.000104370426	0.958665887514	N\A	0.031367502908	0.028800597409	0.003765020525	32	4	
3750000	502.050609	1	-0.850726172911	0.665741367912	0.262253348565	-0.033690577883	0.000106985301	0.958930748527	N\A	0.029087078706	0.026964902049	0.003771477811	33	8	
3800000	501.296711	1	-0.887263707809	0.694411060813	0.228329503037	-0.032127888177	0.000102417526	0.964337197121	N\A	0.029948843233	0.024710167802	0.003414088423	33	4	
3850000	511.871474	1	-1.023380500531	0.746698641346	0.221136204921	-0.037249818742	0.000117244571	0.962391224241	N\A	0.030788732522	0.026617957678	0.003684181748	39	4	
3900000	501.798513	1	-0.867261629359	0.692000496067	0.190136445136	-0.020866194268	0.000098902355	0.958483712256	N\A	0.033576035128	0.029895106861	0.003458061019	37	5	
3950000	526.168613	1	-0.943050119325	0.703352552782	0.250208266235	-0.036177760437	0.000074471308	0.966218442417	N\A	0.026041869119	0.023961108125	0.003204254609	30	8	
4000000	500.397742	1	-0.987098211261	0.747472557541	0.171155843464	-0.024271931834	0.000082876572	0.981276514700	N\A	0.030911545655	0.025380670404	0.002889835833	53	4	
4050000	505.042655	1	-0.740475549599	0.686466990381	0.198435176570	-0.022703815579	0.000102880156	0.958336753486	N\A	0.033977597850	0.030615486553	0.003726155934	36	8	
4100000	504.700579	1	-0.959011417199	0.723677016767	0.207260179660	-0.027116100992	0.000079764718	0.965012257523	N\A	0.032212008172	0.027960940620	0.003353421036	36	6	
4150000	505.498012	1	-0.907635910733	0.700828258783	0.206873821726	-0.026309345995	0.000158077797	0.958637136341	N\A	0.032289011203	0.028119516484	0.003625701252	39	6	
4200000	502.397082	1	-0.950846121840	0.744193785454	0.152869218591	-0.020713911195	0.000041208122	0.963916989106	N\A	0.030498680011	0.025209008532	0.003658578939	46	4	
4250000	517.303446	1	-1.057012300160	0.771953824967	0.192616015415	-0.033720018430	0.000072699938	0.966465933922	N\A	0.027580328819	0.025259469132	0.003439113488	31	6	
4300000	509.866026	1	-0.991275337622	0.733150416160	0.209937656432	-0.030382523262	0.000103778706	0.969729087145	N\A	0.025428175366	0.025778685071	0.003629578946	32	5	
4350000	501.400326	1	-0.858816345105	0.670899581271	0.242765855909	-0.030641119070	0.000113600809	0.959274933608	N\A	0.025760713232	0.022736815305	0.003400575576	32	4	
4400000	508.426998	1	-0.987282537789	0.723647219295	0.244127388463	-0.038840969717	0.000087366695	0.958219981662	N\A	0.031933076853	0.028591765755	0.003637037903	45	6	
4450000	482.747367	1	-0.886972308737	0.727783497129	0.147263304264	-0.020773914275	0.000117454214	0.953332129597	N\A	0.038584718867	0.033942471961	0.003940828181	36	3	
4500000	512.201615	1	-0.890797943316	0.687273066616	0.224598295898	-0.026995167788	0.000095477650	0.961716310717	N\A	0.030774947366	0.029170090170	0.003595420367	35	7	
4550000	521.919811	1	-0.998411210400	0.759521896499	0.155871423823	-0.023545406374	0.000096846350	0.977937699093	N\A	0.017826022063	0.016308845118	0.002674230841	30	6	
4600000	505.848305	1	-1.024838046334	0.754372865770	0.176861094029	-0.025041035318	0.000100444629	0.957496044743	N\A	0.036631957777	0.031807352582	0.003573218422	36	2	
4650000	503.342141	1	-0.946251950228	0.734724173266	0.175497856573	-0.024649514722	0.000096832821	0.957690173553	N\A	0.033578688516	0.030861231715	0.003880018773	39	5	
4700000	508.576547	1	-0.892176269144	0.679445720347	0.258382833069	-0.035403453844	0.000081116345	0.971966129046	N\A	0.030303696747	0.023433715197	0.003179579125	41	5	
4750000	505.496999	1	-0.978016034158	0.734663946455	0.201037033783	-0.030418950191	0.000117924460	0.958603396447	N\A	0.029180798530	0.027546400835	0.003496755880	38	5	
4800000	487.972404	1	-1.112199128051	0.829161960905	0.116376629974	-0.025424383145	0.000195192895	0.954663966175	N\A	0.036405651930	0.032386831442	0.004073837066	32	3	
4850000	504.002641	1	-0.943920472314	0.721205773814	0.202401845309	-0.028527594496	0.000073770684	0.961158306344	N\A	0.033336154474	0.030714184469	0.003922143394	46	2	
4900000	505.016138	1	-1.038581652666	0.785929822634	0.135168726878	-0.021507887336	0.000116563120	0.963086081267	N\A	0.032053685904	0.027215356098	0.003502915080	42	7	
4950000	513.871645	1	-0.943505547490	0.694624358592	0.259748960997	-0.035773041007	0.000066799311	0.966951204608	N\A	0.029317775202	0.026641123776	0.003542198251	36	6	
5000000	506.127499	1	-0.976739961380	0.730024178045	0.191858547264	-0.026069391334	0.000112353525	0.965919114146	N\A	0.027552179505	0.028200173601	0.003506141465	41	6	
5050000	527.886970	1	-0.948795320159	0.740519172170	0.170437598086	-0.025295870989	0.000053927105	0.977698743187	N\A	0.018916768985	0.022240482054	0.003125689286	39	9	
5100000	521.221648	1	-0.958432070448	0.723408603469	0.217104904081	-0.031800619205	0.000085423397	0.965907083981	N\A	0.025936257089	0.024987466876	0.003526260514	33	9	
5150000	510.805793	1	-0.811636062124	0.656659639981	0.227182436969	-0.023061692578	0.000104678356	0.961849005407	N\A	0.033162718192	0.029725303027	0.003126724244	36	7	
5200000	517.947028	1	-1.088065033869	0.768933067146	0.167028020959	-0.024661385966	0.000105543796	0.973538645951	N\A	0.023511787576	0.024036524773	0.003260539795	31	6	
5250000	504.856917	1	-0.842249749341	0.688990295639	0.216574622560	-0.027537342616	0.000078672849	0.970499894505	N\A	0.028195824200	0.026373869057	0.003388984582	34	8	
5300000	524.187414	1	-1.037726765590	0.742454694352	0.221957538275	-0.037203526358	0.000063317154	0.970168582836	N\A	0.026081489505	0.024956554987	0.003315662140	46	9	
5350000	527.205293	1	-0.948016063109	0.740740230632	0.145454476346	-0.017085972836	0.000104881792	0.971372767611	N\A	0.023689697400	0.023609268354	0.003098117567	30	7	
5400000	527.167300	1	-0.972478997773	0.749832665203	0.159998704002	-0.024213556879	0.000072918898	0.975660219224	N\A	0.023704115493	0.018498185598	0.002820532512	43	8	
5450000	512.751055	1	-0.984693977560	0.728897128767	0.217665539332	-0.032122567247	0.000104779666	0.963387191261	N\A	0.029001561961	0.025619236784	0.003332669440	47	5	
5500000	519.088573	1	-0.852512323235	0.681342002540	0.232821379729	-0.032391366303	0.000102241107	0.960573758649	N\A	0.032090230029	0.028733404201	0.003487375252	32	6	
5550000	517.032311	1	-0.883594386268	0.707457142961	0.194994540048	-0.028493328847	0.000103410187	0.965407826477	N\A	0.026819057309	0.024815666078	0.003678642336	28	6	
5600000	503.877745	1	-0.977046000061	0.742907891398	0.163108926363	-0.019569420449	0.000090233100	0.964138651710	N\A	0.028708803474	0.025678650666	0.003492552723	33	5	
5650000	520.740828	1	-0.870759991663	0.685699686962	0.220726819749	-0.027948377748	0.000098229268	0.964868274982	N\A	0.031237531688	0.028614925021	0.003518992480	43	8	
5700000	501.588005	1	-1.041047063158	0.763561090332	0.192295807747	-0.031022542969	0.000105297354	0.955676764873	N\A	0.031175331639	0.027454540957	0.003453481779	35	3	
5750000	501.794189	1	-1.065271929820	0.793104728338	0.142589035994	-0.025276309017	0.000100367342	0.959214336881	N\A	0.030335581582	0.027684869365	0.003577352968	39	7	
5800000	494.960489	1	-0.946177016384	0.708469908906	0.194020148925	-0.024480868781	0.000117702446	0.954402876251	N\A	0.029954957826	0.028523838364	0.003805153475	36	7	
5850000	496.641169	1	-0.929596194744	0.718491788237	0.183875191843	-0.025844274213	0.000229703242	0.964414954419	N\A	0.027684142102	0.026691257786	0.003611986563	37	6	
5900000	492.674532	1	-0.770933025097	0.619054787423	0.293315641289	-0.034919727165	0.000108930972	0.963349423238	N\A	0.029659058438	0.027189977901	0.003421253390	37	4	
5950000	518.571211	1	-1.007934515699	0.751315788681	0.227341430477	-0.043219783524	0.000065944548	0.959207950888	N\A	0.028991171705	0.026445135966	0.003402454512	32	9	
6000000	505.373168	1	-0.777875440917	0.665452255614	0.277684976262	-0.039072258049	0.000085487217	0.961892138061	N\A	0.029342558720	0.026088926385	0.003536761564	37	7	
6050000	510.726764	1	-0.893863147679	0.705792054051	0.211438652774	-0.031180452909	0.000089585371	0.958576617576	N\A	0.034463009175	0.029759987603	0.003882085424	36	6	
6100000	503.305336	1	-1.099400637398	0.807571426615	0.144738304625	-0.026810437936	0.000067894222	0.958984367805	N\A	0.034506851987	0.029651504568	0.003838612537	28	4	
6150000	510.019132	1	-1.034476430649	0.772399653014	0.197978995496	-0.033389876975	0.000087733486	0.957059133114	N\A	0.034030367447	0.030637244394	0.003880057719	33	9	
6200000	501.058095	1	-1.043294714145	0.781508333467	0.160320643710	-0.027553188019	0.000124846755	0.960111103801	N\A	0.030214444612	0.027283235563	0.003471887518	31	7	
6250000	494.757507	1	-0.906637018300	0.695349113150	0.228076553453	-0.030204424474	0.000105715857	0.960336559210	N\A	0.033098157296	0.028557771655	0.003884769415	46	3	
6300000	506.671735	1	-0.940639451445	0.707372532640	0.237146298880	-0.034320868491	0.000100148033	0.961136744780	N\A	0.033096668384	0.028137151631	0.003532033632	44	5	
6350000	512.189410	1	-0.933456286443	0.702723291721	0.231263297880	-0.030292494897	0.000093914619	0.960375752630	N\A	0.032737310128	0.029167717509	0.003767988511	34	5	
6400000	502.545819	1	-1.006229910566	0.729926747235	0.225165200596	-0.031527604145	0.000088132469	0.960350505057	N\A	0.032639679332	0.029958823495	0.003918233109	35	4	
6450000	511.704388	1	-0.901540112935	0.693433376063	0.232807375379	-0.032426292641	0.000088432931	0.959659872806	N\A	0.032027730236	0.029231762821	0.003984159942	37	7	
6500000	509.597926	1	-1.035930731457	0.735844987629	0.222260688295	-0.035418542188	0.000032359687	0.959178583941	N\A	0.029921556477	0.029131700500	0.003935405580	35	6	
6550000	496.943117	1	-1.004118371031	0.782834545226	0.154594385336	-0.024091204030	0.000084695470	0.958860289582	N\A	0.033486695610	0.029643536104	0.003820673534	53	2	
6600000	506.686990	1	-0.817168826787	0.661204281711	0.232078341214	-0.028297763169	0.000086107268	0.958189825895	N\A	0.031040611655	0.028603324200	0.003582812611	44	5	
6650000	501.544043	1	-1.063003974675	0.779653282526	0.166621542105	-0.029616283892	0.000019597982	0.959436286434	N\A	0.035111378378	0.029903003135	0.003532084578	36	4	
6700000	494.167360	1	-1.180909742887	0.826228115387	0.146500092764	-0.027450759879	0.000122803130	0.960108397448	N\A	0.034064657708	0.029610432884	0.003552721963	40	6	
6750000	502.510973	1	-1.083369577544	0.796917543905	0.128649485695	-0.021199510935	0.000051180854	0.966317161174	N\A	0.029521866216	0.022831552266	0.003247111905	41	3	
6800000	502.356098	1	-1.035924005088	0.775024481208	0.146270920502	-0.022700110965	0.000095029049	0.962022131976	N\A	0.034486309592	0.030973507137	0.003659180122	34	6	
6850000	502.759198	1	-0.970713236638	0.728643361403	0.216467878024	-0.032137799913	0.000095588983	0.959942365026	N\A	0.034014428901	0.030658814943	0.004035114858	38	6	
6900000	512.085646	1	-0.844998597204	0.686673068233	0.260390456980	-0.039293352974	0.000096675115	0.959705163955	N\A	0.027868670238	0.026707534465	0.003639313357	41	10	
6950000	529.636121	1	-0.925312260097	0.689022756026	0.265562366012	-0.038943374587	0.000091792191	0.970658277957	N\A	0.022105007379	0.021595086951	0.003093151748	36	8	
7000000	508.212110	1	-0.918568216988	0.719541366854	0.192774638060	-0.027580022191	0.000096091234	0.965733337513	N\A	0.024326811832	0.021376841126	0.002926960657	38	8	
7050000	523.722084	1	-0.844882541483	0.657440998066	0.278832392684	-0.037916270675	0.000091770169	0.965984923275	N\A	0.027977108335	0.025144282801	0.003308494994	33	7	
7100000	530.749337	1	-0.957930350851	0.734496760678	0.193001625582	-0.030780231536	0.000092986283	0.972277652107	N\A	0.023197884327	0.019389911961	0.003005213726	35	7	
7150000	511.943516	1	-1.011938124716	0.748497505170	0.198727499016	-0.030663136183	0.000117488843	0.960527211152	N\A	0.029046232193	0.027268134543	0.003641795816	38	8	
7200000	510.415944	1	-1.027883456022	0.756245742036	0.190288451558	-0.028830929551	0.000104791925	0.961005192506	N\A	0.028878856178	0.027823060356	0.003819481321	36	7	
7250000	496.709604	1	-1.025522351661	0.765490255354	0.164773233723	-0.025349027564	0.000081162055	0.961947114968	N\A	0.032898890899	0.029444822514	0.003688045387	40	4	
7300000	528.818329	1	-1.069239381405	0.781128322544	0.162905689012	-0.025811681931	0.000103419764	0.969396317017	N\A	0.025827736270	0.023950176583	0.003139644938	32	6	
7350000	496.870495	1	-0.889117109344	0.671726359555	0.258423914366	-0.030447728851	0.000116634819	0.958436915959	N\A	0.034857058480	0.030913501636	0.003692472982	35	6	
7400000	485.477233	1	-0.981063050364	0.747330978752	0.187246981395	-0.030545312336	0.000071746356	0.962391051527	N\A	0.035639829068	0.030163141020	0.003902200923	49	3	
7450000	493.944890	1	-1.048616856236	0.772428089723	0.196081277599	-0.035524424527	0.000078196956	0.962778505066	N\A	0.033027487881	0.029676913188	0.003771904484	38	4	
7500000	489.684289	1	-0.854372957751	0.680879775104	0.221966212111	-0.028632275234	0.000079267519	0.957285958112	N\A	0.034644034337	0.031529922342	0.003856689224	42	4	
7550000	503.522276	1	-1.214090742633	0.880790002660	0.059128004330	-0.018137045420	0.000090698987	0.961872208989	N\A	0.032848633294	0.028449356698	0.003314568876	38	6	
7600000	513.853537	1	-1.030281670758	0.764000576098	0.176649238409	-0.026379956372	0.000080003057	0.971234266589	N\A	0.024652331213	0.023315433259	0.003108121400	47	5	
7650000	498.875589	1	-0.855703103912	0.694701440246	0.185027573488	-0.021706257570	0.000108745524	0.960629938644	N\A	0.035467456396	0.030331752189	0.003457205638	34	5	
7700000	508.168540	1	-0.954977391066	0.756369490030	0.169219894605	-0.025606973315	0.000096534283	0.960070154547	N\A	0.029850065858	0.027779795814	0.003403041982	37	6	
