Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-fab-006.txt
Log File Name:                   STR_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2731099695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2000000	348.827781	1	0.824924375253	0.713667423414	0.442629717793	-0.295176903553	0.254524459877	-0.017470044843	-0.243932535322	-0.001334670930	-0.057068286027	-0.112225951556	-0.142494520485	-0.162504938133	0.000365755642	0.925503257754	N\A	0.048541356779	0.289634818365	0.279659890071	0.307987563050	0.300522409014	0.362747405893	0.052921613411	0.051435235603	0.061352396089	0.066549142288	0.054326300087	30	12	
2050000	354.378211	1	0.543059366750	0.605390548167	0.579642856325	-0.103714462051	0.272683909829	0.413468487843	0.068824875225	0.156857350884	0.046997434588	0.093734234642	-0.133924339163	-0.013944859556	0.000129135273	0.923727831469	N\A	0.029246291979	0.172433312657	0.148090904799	0.194047801136	0.156932156931	0.246137380090	0.037565781933	0.034592802542	0.054138168302	0.044708272423	0.037237671782	33	12	
2100000	339.841249	1	0.087575835679	0.737618944731	1.086376150359	0.263131747888	0.538329136290	0.551554386006	0.767370039471	0.006751445837	-0.076230714457	-0.046274736652	-0.170500667391	-0.177710715776	0.000332885606	0.913546548858	N\A	0.055860874043	0.238368399182	0.214439909552	0.276712362448	0.219397010331	0.298944971079	0.062618529886	0.058389539951	0.071264666132	0.065034055806	0.060484359219	31	12	
2150000	346.695926	1	0.306967148841	0.734724688570	1.003680607341	0.044788575804	0.552727128102	0.450958731722	-0.977322345551	0.012029181635	-0.067705437764	-0.113357552432	-0.184553787502	-0.098352967858	0.000193146424	0.931181047225	N\A	0.072393224709	0.212505721261	0.200924012804	0.220334216365	0.212373078363	0.327271101588	0.076253944849	0.073875220493	0.079589536766	0.081513474728	0.077491904212	32	7	
2200000	364.775779	1	0.602825611564	0.621765767915	0.570380184692	-0.228555771653	0.530395582297	0.175489697107	0.243452052778	0.090366343670	0.004821673492	-0.003144115912	-0.091502260016	-0.087306797075	0.000288771726	0.917443444979	N\A	0.052028050483	0.222129053367	0.199301783890	0.217488088067	0.204252017169	0.284085799714	0.057983870377	0.054965119845	0.060751334251	0.060603212577	0.057276306733	36	18	
2250000	362.849994	1	0.240055850588	0.794383904516	1.060506685356	0.278565163413	1.016100586640	0.585996137972	0.233477738279	-0.105288552008	-0.128361656696	-0.188205018421	-0.230596576215	-0.234330602046	0.000500301113	0.925682233528	N\A	0.088476821146	0.287676245122	0.274613807903	0.302407824809	0.295513194312	0.381096841075	0.091814228433	0.089897480570	0.095648951495	0.096064159757	0.090901153138	25	15	
2300000	331.498348	1	-0.746680015163	0.891446807711	0.681661664300	0.590016475885	0.801928876724	0.917214454757	1.162176841147	-0.093232434940	-0.243564681820	-0.125727961253	-0.391304321858	-0.295910995951	0.000433249821	0.927537338221	N\A	0.076482215202	0.239060519153	0.229463122345	0.278835006089	0.238481564313	0.349148662269	0.080046572281	0.077921745553	0.086718347363	0.082462089305	0.081138356895	33	13	
2350000	344.206911	1	0.401662007762	0.688541141413	-0.291859575788	-0.344887892257	-0.044348704668	-0.054041156463	0.717494190403	0.056256111441	-0.049259801648	0.012472107151	-0.099844095122	-0.130246823226	0.000564754392	0.923551867031	N\A	0.075594145422	0.262744810320	0.251851186190	0.302398313634	0.254500426139	0.391392844550	0.079579334568	0.077297299154	0.085370820913	0.079622457504	0.081077620165	42	16	
2400000	351.217840	1	0.385969389335	0.717664342158	0.206298947486	0.074052414589	0.493033862095	0.529971747599	-0.053136750061	-0.015653087740	-0.081630507146	-0.055534272115	-0.195825892784	-0.180069438832	0.000304946245	0.923139897509	N\A	0.053465282197	0.205661137562	0.202365148052	0.230514037742	0.214389341507	0.291834117626	0.058633490824	0.055589538976	0.065360518394	0.065302555104	0.059806622262	45	14	
2450000	387.271320	1	0.487447117090	0.786400755531	0.182096511374	0.139972059927	0.326915004494	0.273687717973	-0.283562466365	-0.001188335695	-0.140695424199	-0.087342662179	-0.227579497862	-0.132086639760	0.000153486852	0.933852664412	N\A	0.053227203119	0.180722980796	0.164950157012	0.180074324461	0.174552249090	0.213495440086	0.058979324954	0.055904189642	0.061213750071	0.062981622249	0.056397585565	42	15	
