Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m8-glob-005.txt
Log File Name:                   AMY_d1_m8-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3476985047
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m8-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
5150000	511.818675	1	-2.327235662412	1.246116881110	-0.066340754783	0.031539207459	0.000114801934	0.957376611502	N\A	0.050863888162	0.006510562907	0.022605135522	30	6	0.001663053151	Global Trend	
5200000	512.369081	1	-2.085227114060	1.213291610396	-0.061073099355	0.016474528863	0.000180188226	0.964142783887	N\A	0.045148787185	0.005591907082	0.018613571592	43	5	0.004560324485	Global Trend	
5250000	516.761625	1	-1.801591161225	1.244326540067	-0.056541262568	-0.008411076417	0.000117843901	0.965685087341	N\A	0.042341593435	0.004987155798	0.018987681183	44	4	-0.002844468444	Global Trend	
5300000	501.929123	1	-1.530629586285	1.124526981000	-0.051439546562	0.042954309637	0.000111894976	0.954351824344	N\A	0.055884627029	0.006544987825	0.023016039928	28	4	-0.000056295523	Global Trend	
5350000	510.076811	1	-1.472101008070	1.136595963136	-0.050200421882	0.025732092261	0.000113689164	0.962783205288	N\A	0.045947800356	0.006143784665	0.020746274988	37	3	0.002071964097	Global Trend	
5400000	505.478127	1	-1.417313145249	1.124705754146	-0.056999519272	0.069128342362	0.000115117777	0.962104712995	N\A	0.053819223181	0.006505496540	0.022596035147	34	8	-0.001626469799	Global Trend	
5450000	507.170963	1	-1.675113062401	1.156221395577	-0.053663459315	0.042324642337	0.000105130570	0.963798505854	N\A	0.044606035367	0.006309136333	0.022502278685	30	6	-0.003511095913	Global Trend	
5500000	499.271976	1	-1.484947114493	1.101845029845	-0.048566146745	0.035250539913	0.000112122361	0.961504720263	N\A	0.042075849164	0.005161919969	0.017315151868	28	3	-0.002966591265	Global Trend	
5550000	501.653623	1	-1.608136962703	1.169544547053	-0.056850013190	0.047128580623	0.000100579255	0.969209528152	N\A	0.044935959145	0.005250890726	0.016737380993	40	4	-0.001050636581	Global Trend	
5600000	501.416023	1	-1.538780191773	1.203931422537	-0.054418903207	0.018687665770	0.000146780204	0.963651411061	N\A	0.043255916448	0.005524489155	0.021101725804	41	2	0.005183737544	Global Trend	
5650000	509.537793	1	-1.686578309817	1.184822201139	-0.056072267663	0.035660746554	0.000209690324	0.966451558657	N\A	0.045187554825	0.006202108788	0.018222325106	42	4	-0.002791691897	Global Trend	
5700000	503.022133	1	-1.623892681252	1.204459738767	-0.054277077255	0.003529618282	0.000111750789	0.970982986209	N\A	0.042770707244	0.005557995709	0.019002220825	31	2	0.001180882917	Global Trend	
5750000	503.298806	1	-1.460110685607	1.091490900061	-0.046551039660	0.042538477281	0.000116095722	0.963065059361	N\A	0.048398322320	0.006102136829	0.021250829785	29	5	-0.000871352765	Global Trend	
5800000	505.731954	1	-1.893544422303	1.318033259820	-0.078364796684	0.037593877583	0.000108197277	0.965184222701	N\A	0.044740509955	0.005998533355	0.019978206095	40	3	-0.000684988799	Global Trend	
5850000	497.513582	1	-1.525567400372	1.118459477793	-0.053125072928	0.053415041277	0.000109768886	0.964694546282	N\A	0.046920008829	0.005736360279	0.022153194067	29	7	-0.002574025745	Global Trend	
5900000	508.537360	1	-1.534341845939	1.202032736360	-0.056435655029	0.018917168510	0.000117474430	0.961582323070	N\A	0.042050209242	0.005997789164	0.019211970944	28	5	0.003581390754	Global Trend	
5950000	493.517073	1	-1.410252014175	1.085280424348	-0.049432530514	0.056282623248	0.000101879860	0.961124910898	N\A	0.048681052165	0.006204359777	0.021411716535	36	2	0.001000193713	Global Trend	
6000000	508.940090	1	-1.296418239045	1.083010826141	-0.053680294394	0.076593576368	0.000206613965	0.966184631786	N\A	0.037367827650	0.004644322098	0.018447472714	40	4	0.008136428956	Global Trend	
6050000	501.189117	1	-1.370256200965	1.051794127444	-0.042125594254	0.046650466951	0.000122462726	0.958136603676	N\A	0.050126112335	0.006266483786	0.021863262168	34	4	-0.000217291055	Global Trend	
6100000	492.161283	1	-1.432194436451	1.074462641997	-0.048454049963	0.050372086525	0.000101439846	0.961158626001	N\A	0.040272676223	0.005166050478	0.021157064172	37	7	-0.003555946927	Global Trend	
6150000	502.108698	1	-1.379492938607	1.082116100896	-0.032978059617	-0.002182691271	0.000114106373	0.958221293051	N\A	0.050287136966	0.006489842623	0.022533189336	38	5	0.000594097369	Global Trend	
6200000	508.872452	1	-1.495438670229	1.094690999615	-0.047422819852	0.051695838631	0.000101375527	0.962365675512	N\A	0.047522921722	0.006428614013	0.021489200960	36	5	-0.000362668020	Global Trend	
6250000	503.507010	1	-1.646512751495	1.184449916873	-0.063805328811	0.064298592518	0.000264523996	0.961343491012	N\A	0.046952670656	0.006273360335	0.021836602819	39	5	-0.003184886991	Global Trend	
6300000	496.888439	1	-1.394504430299	1.052267420964	-0.043148976844	0.053540214936	0.000114868416	0.960620570015	N\A	0.050913541902	0.006518381639	0.023045143824	38	4	-0.000787563131	Global Trend	
6350000	501.949516	1	-1.399370241886	1.111557199224	-0.058632799976	0.078403958204	0.000116990192	0.963732178176	N\A	0.044889475590	0.005702103309	0.020431185913	40	3	0.002406222893	Global Trend	
6400000	513.075458	1	-1.562253321943	1.138538915939	-0.059208068231	0.071492392031	0.000121022578	0.963647429512	N\A	0.049613293147	0.006146902811	0.021337994890	38	5	-0.002138816491	Global Trend	
