Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-VR-004.txt
Log File Name:                   MES_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            844309174
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
2600000	435.785445	1	0.676970132071	0.490850078399	0.303725401088	0.102253496527	0.573778370401	-0.021401823308	0.317660624848	0.093112941446	0.155384815085	-0.026081449405	0.072737042472	0.038207629996	0.000215292646	0.940372425864	N\A	0.029851051936	0.167086778990	0.157143517092	0.181416290682	0.192346923001	0.237816526823	0.036053053126	0.032594608339	0.038355969035	0.045171800564	0.034629557921	44	25	
2650000	438.011716	1	0.604896907370	0.503604228008	0.232980000777	0.177832056845	0.245184466055	-0.029304968664	0.570942674707	0.083559347862	0.094069024013	-0.041670865418	0.030293844463	0.002409115271	0.000273894263	0.936491201118	N\A	0.062239322319	0.200603524480	0.190608630464	0.302894051840	0.211975504317	0.278076786461	0.064958693008	0.063508457055	0.066009384240	0.070166068826	0.065479317134	54	23	
2700000	444.474999	1	0.571580739519	0.559573554100	0.036745218349	0.111555359441	0.507071178157	-0.146174816379	0.633342376160	0.053923619162	0.049332716829	-0.078921193754	0.055286528279	-0.049561324600	0.000214039733	0.936673932334	N\A	0.032134639659	0.166741145232	0.154667885798	0.175612953336	0.172251924179	0.236159631889	0.037447626647	0.034830895471	0.039660139741	0.044191579030	0.038281185592	43	25	
2750000	449.422794	1	0.614709829286	0.567741840778	-0.000645750722	0.056484693296	0.655819244298	-0.107581819415	0.412939504897	0.059933705895	0.090003389995	-0.140080394997	0.020069348616	-0.012010157301	0.000249391595	0.947169389968	N\A	0.048350517275	0.179160814817	0.170704961084	0.198159384137	0.183707472481	0.260210952299	0.051237999667	0.049747079079	0.053502051412	0.055150238133	0.053140532306	50	25	
2800000	419.508180	1	0.820262148904	0.469692818595	0.068160844458	0.149313307577	0.256559812082	-0.454816043088	0.265087730533	0.154462077191	0.148072293731	0.060370246321	0.209717628438	-0.024793695511	0.000334062443	0.940611959584	N\A	0.056204776079	0.206623117367	0.198882302454	0.230380954248	0.234005058659	0.304064711643	0.059894658662	0.057251482263	0.062946879188	0.069525114753	0.061818453601	40	19	
2850000	441.331260	1	1.055801295436	0.541820983542	-0.094422604650	-0.108853407948	0.274324556141	-0.036682397203	-0.354427521513	0.063437202072	0.101806383941	-0.034629098489	-0.013697132965	-0.036311617483	0.000323208270	0.948714918323	N\A	0.057355544902	0.200040388639	0.193568334123	0.226212947188	0.218729427038	0.294833509572	0.059437215144	0.058373510172	0.064039549393	0.066718916024	0.061232430893	50	24	
2900000	427.941677	1	0.771364481416	0.632387901226	0.119342510352	0.145238068021	0.577211297439	-0.157255896614	0.113896913389	-0.009989774527	-0.011480604867	-0.137268529738	-0.048948111965	-0.160598592447	0.000335280878	0.941655112309	N\A	0.060382613498	0.197038870035	0.189779595237	0.218272604336	0.220365188945	0.292882271836	0.062321841750	0.061640593224	0.066411866969	0.072256693944	0.065373245747	45	21	
2950000	444.112379	1	0.600996678519	0.625816005741	0.154309171248	0.184906145745	0.728345444633	0.122057324485	0.414575301420	0.025546543520	0.003211767737	-0.179801462358	-0.117559714517	-0.131491807868	0.000257586099	0.950160273136	N\A	0.049564371253	0.202914997726	0.197630737412	0.272633465199	0.217915178148	0.265309332402	0.052802363563	0.050602323317	0.054730808181	0.058271077388	0.055021858049	51	23	
3000000	434.151620	1	0.707139136103	0.612534935693	0.273292519794	0.314512735089	0.621346309122	0.112134784979	0.110083049834	0.016451627358	0.005708402916	-0.140694609420	-0.046073147878	-0.118789023287	0.000261092841	0.948074679999	N\A	0.050981281028	0.185303645508	0.177449918557	0.192730406156	0.204167580723	0.268001875087	0.052950463127	0.052454879274	0.054745736872	0.064838477452	0.056007497376	38	28	
3050000	431.379819	1	0.458771872142	0.600454071469	0.331443161981	0.275787312254	0.704178141075	0.018398298443	0.584547649605	0.032206488604	0.018304281068	-0.146416119541	0.005772184614	-0.053291531218	0.000271814224	0.955827123431	N\A	0.061665654722	0.224633687566	0.214230038724	0.223298205374	0.220479830199	0.276486067782	0.064286043442	0.062522199381	0.063142529552	0.068393722400	0.064656223824	36	19	
