Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m9-glob-004.txt
Log File Name:                   MED_d1_m9-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4275248147
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m9-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
2500000	634.361946	1	-0.660976084128	0.902435497585	-0.046104122874	0.214119084505	-0.000678245418	0.000042948518	0.982809711549	N\A	0.060185388892	0.007541334479	0.029416085495	0.004923523152	40	8	-0.000292988221	Global Trend	
2550000	626.538927	1	-0.531864238954	0.899076604204	-0.045626664292	0.160751573138	0.008572765356	0.000088666249	0.981551701724	N\A	0.051725889245	0.006882010879	0.027731529774	0.005038947906	40	4	0.006194217528	Global Trend	
2600000	626.379109	1	-0.491286261366	0.842508139306	-0.039795676445	0.192689706578	0.005120619881	0.000059415328	0.999745552354	N\A	0.019679320915	0.002541467026	0.021221089148	0.003609091743	47	3	0.164965850750	Global Trend	
2650000	613.398233	1	-0.543667960947	0.843988949732	-0.038698387551	0.207383525025	-0.000340448305	0.000051202389	0.984943761089	N\A	0.030064452440	0.003868795058	0.022566051648	0.003973711796	34	6	-0.008366083198	Global Trend	
2700000	646.116149	1	-0.448878858727	0.813848719910	-0.039452209652	0.225576309651	-0.000074671498	0.000065682436	0.999965923393	N\A	0.016878685572	0.001984140398	0.018341526400	0.002695242957	37	7	-0.586873073163	Global Trend	
2750000	635.952463	1	-0.519075986046	0.866514807573	-0.039190259683	0.176251688734	0.002132771930	0.000054765180	0.982282633541	N\A	0.065798523845	0.009036410289	0.030020237162	0.005440258675	25	9	-0.000443700603	Global Trend	
2800000	640.890884	1	-0.497502841181	0.844367427381	-0.034915361885	0.190282447166	0.000269674979	0.000060788034	0.999965335695	N\A	0.019365862814	0.002455127408	0.020961321169	0.003399715471	47	7	-0.451076221423	Global Trend	
2850000	626.853378	1	-0.495723959932	0.875357849056	-0.044646263811	0.154197389998	0.013173112185	0.000059804168	0.997863064609	N\A	0.020175289343	0.002375204424	0.021106354316	0.003398055009	43	5	-0.073889898570	Global Trend	
2900000	638.862112	1	-0.494794385738	0.867938483248	-0.042108340678	0.163682407615	0.010263178338	0.000080676233	0.999986610719	N\A	0.019456853818	0.002370339869	0.021047866907	0.003475751807	38	6	-1.116585678473	Global Trend	
2950000	645.611722	1	-0.553946392897	0.897345759931	-0.042543217962	0.164958061610	0.006546726115	0.000063816735	0.984736795942	N\A	0.032611104167	0.003949663595	0.023706494857	0.003654790517	44	6	0.011386307415	Global Trend	
3000000	620.830246	1	-0.495900145066	0.829934766340	-0.038620973711	0.205898594314	0.002514029308	0.000090379319	0.999361397420	N\A	0.020621904914	0.002702338199	0.022243607909	0.003671466092	27	6	0.242150059036	Global Trend	
3050000	632.618879	1	-0.488087830719	0.860298851326	-0.035489731626	0.197120392993	-0.002833957672	0.000099696287	0.998879550215	N\A	0.023625014588	0.003186594630	0.016718655123	0.002977746501	35	5	0.025851367946	Global Trend	
3100000	613.803391	1	-0.592360570543	0.853974824867	-0.034642924834	0.183603038849	0.000331431444	0.000055813510	0.999027743743	N\A	0.020236500168	0.002271840369	0.021381143713	0.002754610319	36	2	-0.066233978751	Global Trend	
3150000	619.362977	1	-0.534715665805	0.861738205995	-0.043399819117	0.171126650483	0.009427805689	0.000053275189	0.999665340113	N\A	0.020303951333	0.002640566687	0.021876545106	0.003726722013	30	3	0.149040268783	Global Trend	
3200000	617.094945	1	-0.482074935355	0.829770580866	-0.044194695931	0.207531513749	0.007136204921	0.000044372836	0.999971257144	N\A	0.021210292293	0.002768435920	0.023047324226	0.003573191321	46	6	-0.335349677589	Global Trend	
3250000	602.163202	1	-0.524621694005	0.830575218704	-0.042346670639	0.209564661336	0.003301291815	0.000074569020	0.999931663874	N\A	0.020211328479	0.002555049061	0.021812953954	0.003446134562	33	2	-0.338209813943	Global Trend	
3300000	609.622324	1	-0.486664950789	0.877740666469	-0.034957124988	0.140384724489	0.005173950602	0.000074459536	0.996055343532	N\A	0.021430514224	0.002654679914	0.022417549433	0.003328060186	41	4	-0.042491547448	Global Trend	
3350000	600.997844	1	-0.549930728645	0.859959122920	-0.041636149997	0.163506518698	0.009972276551	0.000055560401	0.993080978339	N\A	0.022799356678	0.002828155187	0.022907333842	0.003662447784	40	3	0.025532752588	Global Trend	
3400000	613.995959	1	-0.553136960536	0.859909974785	-0.040569853711	0.179141638671	0.001874079579	0.000051016686	0.999989626855	N\A	0.020093959080	0.002547774470	0.021765724324	0.003701768386	45	3	-0.577443252078	Global Trend	
3450000	623.706087	1	-0.428751434093	0.780443803717	-0.027759325535	0.197631048041	-0.000199618826	0.000021026030	0.980439043743	N\A	0.049882729186	0.006578615141	0.027328755056	0.004464612674	43	2	0.001235831393	Global Trend	
3500000	624.037111	1	-0.549577462452	0.870420169462	-0.042596005385	0.171040049494	0.007926206547	0.000046058027	0.993910097186	N\A	0.020768269811	0.002446568350	0.020079256018	0.003214766044	40	5	-0.015368132334	Global Trend	
3550000	629.654015	1	-0.538330753255	0.854928268186	-0.038822375204	0.185120787337	0.002432087973	0.000036346344	0.996650142600	N\A	0.017650207961	0.002126543808	0.017847749357	0.002073221444	46	3	-0.012522557357	Global Trend	
3600000	620.040397	1	-0.424793714180	0.768686140321	-0.027720189123	0.223460903679	-0.002838627381	0.000078426247	0.986254082267	N\A	0.054156210233	0.006733516033	0.024880010279	0.003376422881	39	3	0.002087183601	Global Trend	
