Species_TTOL	SEP	rest_of_brain
Myotis_nigricans	0.31	2.11100026230064
Myotis_siligorensis	0.15	1.98557890358024
Natalus_tumidirostris	0.49	2.36796538095518
Noctilio_albiventris	0.72	2.74963685311494
Noctilio_leporinus	1.03	3.04342425236468
Nyctalus_noctula	0.66	2.52928534798622
Nycteris_arge	0.55	2.51972165509131
Nycteris_grandis	0.8	2.82882341601125
Nycteris_hispida	0.47	2.43216548536531
Nycteris_javanica	0.55	2.65047090615567
Nycteris_macrotis	0.54	2.56570573628551
Nycteris_thebaica	0.46	2.4880134922472
Nyctophilus_geoffroyi	0.33	2.1954325071819
Otomops_martiensseni	0.85	2.85387267955123
Peropteryx_macrotis	0.3	2.18774408447669
Phylloderma_stenops	1.2	3.10305487853701
Phyllostomus_discolor	1.12	3.01289560068157
Phyllostomus_elongatus	0.94	2.91962973558399
Phyllostomus_hastatus	1.17	3.15775224544109
Pipistrellus_javanicus	0.21	2.04743835568333
Pipistrellus_tenuis	0.12	1.94445839594312
Afronycteris_nana	0.16	1.97624949883145
Hypsugo_pulveratus	0.32	2.12583275320563
Perimyotis_subflavus	0.36	2.0689992385851
Pteronotus_gymnonotus	0.54	2.50919392843789
Pteronotus_parnellii_mesoamericanus	0.77	2.71076396835588
Pteronotus_personatus	0.42	2.33437416842607
Rhinolophus_cornutus	0.37	2.26307067478927
Rhinolophus_eloquens	0.71	2.58228368121921
Rhinolophus_hipposideros	0.31	2.14741999328989
Rhinolophus_landeri	0.56	2.41927248180996
Rhinolophus_lepidus	0.36	2.24246038366786
Rhinolophus_luctus	0.76	2.76563752486781
Rhinolophus_macrotis	0.43	2.29216841823355
Rhinolophus_malayanus	0.44	2.28065583157794
Rhinolophus_megaphyllus	0.49	2.39284327871508
Rhinolophus_pearsonii	0.58	2.49680535567541
Rhinolophus_pusillus	0.27	2.19036275728536
Rhinolophus_trifoliatus	0.52	2.51948592306197
Rhinolophus_yunnanensis	0.68	2.61598611233896
Rhinonicteris_aurantia	0.5	2.36980993185743
Rhinophylla_pumilio	0.65	2.52389337701925
Rhinopoma_hardwickii	0.59	2.41517493551946
Rhinopoma_microphyllum	0.7	2.56167523073907
Rhogeessa_parvula	0.21	2.02540404611476
Rhynchonycteris_naso	0.15	2.04732050651951
Saccopteryx_bilineata	0.43	2.33483311530367
Saccopteryx_canescens	0.21	2.08934484317686
Saccopteryx_leptura	0.23	2.18322541361085
Scotomanes_ornatus	0.78	2.55494722650546
Scotophilus_dinganii	0.65	2.6152095371468
Scotophilus_kuhlii	0.61	2.50605597481635
Sphaeronycteris_toxophyllum	0.82	2.69540272673135
Sturnira_lilium	0.95	2.7664442150746
Sturnira_ludovici	0.94	2.79971581818209
Sturnira_tildae	0.95	2.82056767486967
Tadarida_aegyptiaca	0.75	2.56759514736225
Taphozous_australis	0.83	2.68911434548403
Taphozous_hildegardeae	0.8	2.71134274302204
Taphozous_mauritianus	0.8	2.71797961523504
Taphozous_melanopogon	0.75	2.70480831622297
Tonatia_bidens	0.91	2.87212442061372
Lophostoma_schulzi	0.56	2.67681030271887
Trachops_cirrhosus	0.94	2.97719852358353
Triaenops_persicus	0.42	2.41026109600416
Tylonycteris_pachypus	0.06	1.87843900376487
Tylonycteris_robustula	0.16	2.03440793493338
Uroderma_bilobatum	0.93	2.76341624316696
Vampyressa_pusilla	0.72	2.55572901399533
Vampyrum_spectrum	1.3	3.38883839645361
Alouatta_seniculus	2.301	4.69064476860801
Aotus_trivirgatus	1.923	4.20956514451613
Ateles_geoffroyi	2.511	5.00423671459412
Avahi_laniger	1.843	3.99079117597203
Plecturocebus_moloch	1.937	4.24999973790912
Callimico_goeldii	1.803	4.02141427425862
Callithrix_jacchus	1.697	3.86010428447601
Cebuella_pygmaea	1.465	3.63358773263483
Cebus_albifrons	2.241	4.8258408678735
Cercopithecus_ascanius	2.4	4.80297404128273
Cercopithecus_mitis_mitis	2.391	4.84835244065239
Cheirogaleus_major	1.77	3.80396492768725
Cheirogaleus_medius	1.512	3.4708780230274
Daubentonia_madagascariensis	2.405	4.6294722319675
Erythrocebus_patas	2.519	5.01330305301563
Eulemur_fulvus_fulvus	2.076	4.34468914865517
Galago_senegalensis	1.553	3.65384583826705
Galagoides_demidoff	1.41	3.50526524207999
Gorilla_gorilla	3.069	5.67214160105073
Homo_sapiens	3.417	6.09769523952942
Hylobates_lar	2.48	4.98887970833346
Indri_indri	2.312	4.55944787748954
Lagothrix_lagotricha	2.425	4.980177796679
Lepilemur_mustelinus	1.754	3.85550540645094
Lophocebus_albigena	2.468	4.9893093148895
Loris_tardigradus_tardigradus	1.614	3.79701647977618
Macaca_mulatta	2.433	4.94427327976376
