Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-glob-002.txt
Log File Name:                   DIE_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3413952238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	442.334929	1	0.571827441090	0.692844282465	0.803642871621	0.114679137290	0.727169182946	0.294433617046	0.253931138202	-0.043421049727	-0.006228045676	-0.063962281099	-0.119039883012	-0.174927085864	0.000090871401	0.955016911858	N\A	0.048931950644	0.136020198416	0.126127424107	0.141426380009	0.140065877178	0.165892583003	0.051552927266	0.050566049029	0.054803752646	0.058315372680	0.053051535354	40	8	-0.000143043723	Global Trend	
2050000	443.385022	1	0.781310660311	0.680755542620	0.531075908366	-0.195746887934	0.626709921118	0.008225316434	-0.002602271787	0.013645354760	-0.003258153768	-0.135311280969	-0.146697344290	-0.071244917008	0.000130418925	0.951548488524	N\A	0.052761769677	0.105736177986	0.094853089705	0.121160507027	0.103847066224	0.154468235103	0.056359593228	0.054418572720	0.058400125300	0.056257006687	0.059761560967	32	9	-0.000688848827	Global Trend	
2100000	415.601586	1	0.564589636979	0.637486343358	1.182395058188	0.473759199224	1.138698082476	0.827543817500	0.231461452837	0.018108919597	0.040992917562	-0.007423842233	-0.111866328565	-0.079817016128	0.000359426645	0.942561859631	N\A	0.058704092006	0.202492796014	0.192475987135	0.234471951274	0.221645321897	0.302368400786	0.061076037959	0.060487250427	0.067123686655	0.067768209387	0.062889912803	36	6	0.000144837001	Global Trend	
2150000	437.093605	1	1.534379902163	0.725921682162	0.536800686191	0.292722885856	0.075421144714	0.576851209726	-0.577019419388	-0.054492261579	-0.060711766138	-0.148222440792	-0.217726350626	-0.149196686670	0.000406644751	0.999933102469	N\A	0.051042534450	0.091342851732	0.079255423109	0.144029140488	0.098456945609	0.178156576617	0.053791682484	0.052321659531	0.059460109598	0.057373934168	0.055033542693	44	7	1.089967920657	Global Trend	
2200000	423.681686	1	0.552787400999	0.622381737974	0.122383964491	-0.203624930630	0.187890002075	0.428454669882	0.549031394191	0.090095082421	0.069052926208	-0.040573070427	-0.099071907756	-0.003803907866	0.000356445277	0.948866633377	N\A	0.056277382837	0.159010676114	0.155538514689	0.202601193416	0.160085525755	0.279583071450	0.058654095464	0.057774744318	0.063731153900	0.059213250194	0.063432854711	41	9	0.000366463777	Global Trend	
2250000	428.282262	1	0.487414961953	0.718602628617	0.254033182148	0.055570644965	0.122006150674	0.213961216882	0.541236829018	0.009316606353	-0.025961184972	-0.140593404627	-0.166274930976	-0.157759106538	0.000299293797	0.950948791265	N\A	0.052442107751	0.193241521973	0.183692842102	0.210146836652	0.198417554462	0.270159044744	0.054900452911	0.053943205284	0.061362250705	0.062195456492	0.057206702119	35	5	-0.000197803167	Global Trend	
2300000	437.720886	1	1.695643008651	0.770841261452	0.414282694123	0.195132025916	0.824637847172	0.357659690999	-0.827003872478	-0.100592860494	-0.080489108046	-0.163934049234	-0.202174958055	-0.197229609809	0.000149065033	0.967478095871	N\A	0.045959331728	0.081077169549	0.072767240171	0.112694689752	0.092166201370	0.144567919841	0.048624863404	0.047820960873	0.053180188024	0.051622179036	0.049966147838	42	4	0.012289676428	Global Trend	
2350000	440.814829	1	0.763324042079	0.736427117595	0.226039712863	-0.027992464395	0.885263569680	0.200139173620	-0.311339604846	-0.050795278986	-0.071426383896	-0.185480966112	-0.186988537539	-0.214254580049	0.000380879382	0.987881911023	N\A	0.055095886471	0.099142961898	0.089949329186	0.148852938086	0.123587968784	0.212235414921	0.057902882132	0.056415839136	0.062525138227	0.063555634456	0.058306280814	36	6	-0.071438198148	Global Trend	
2400000	454.384401	1	1.836370755789	0.653099229340	0.177325726463	-0.005531689656	0.643206082525	0.419024797152	-0.733179157913	0.025485181916	0.043563495951	-0.056362985800	-0.077540388819	-0.081005727392	0.000562377381	0.990967219561	N\A	0.060287617799	0.099097281924	0.092260736563	0.134367540718	0.116352966792	0.235971631006	0.062113536028	0.061169560816	0.064319946138	0.064393490600	0.064463473588	32	11	0.105142823966	Global Trend	
2450000	436.950934	1	0.622099250872	0.687630011956	0.155113352101	-0.120464059671	0.498758604954	0.100273574945	0.015079447995	-0.002619600496	-0.000634808011	-0.095117947099	-0.182088420837	-0.084963944075	0.000337302635	0.976128990266	N\A	0.043071263598	0.095583505991	0.084235803252	0.145202638666	0.120663393731	0.202707097017	0.045873364609	0.044730657944	0.054708710289	0.053227964380	0.046196302701	38	6	0.035106905010	Global Trend	
