Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m6-glob-002.txt
Log File Name:                   NEO_d1_m6-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4245843219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m6-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
4800000	651.587283	1	-1.005579551480	1.168561686762	-0.054100217661	0.000061895592	0.991637906895	N\A	0.018940100489	0.012904585326	39	2	0.003346419874	Global Trend	
4850000	660.761421	1	-0.884361154412	1.143403900910	-0.037923560460	0.000052580492	0.992851422695	N\A	0.013908743423	0.009353592808	38	3	0.004930657333	Global Trend	
4900000	645.659311	1	-0.916125717212	1.167975599395	-0.040623414394	0.000155745090	0.990460344165	N\A	0.018423096544	0.012750747948	37	2	0.011729387614	Global Trend	
4950000	659.614899	1	-0.895885579387	1.168318753750	-0.049473206926	0.000124322114	0.991335393838	N\A	0.018856667417	0.012750936881	36	1	0.011899174568	Global Trend	
5000000	655.020346	1	-0.813586505114	1.130471257762	-0.026252389609	0.000136987245	0.992406071139	N\A	0.014786678850	0.010287961926	41	4	0.014006413611	Global Trend	
5050000	644.491173	1	-1.044077969313	1.197445831569	-0.061817451363	0.000025161309	0.990903322020	N\A	0.017865480784	0.012230644846	51	1	0.002724819977	Global Trend	
5100000	643.940798	1	-1.006845079350	1.183607824426	-0.057350673904	0.000023311176	0.991428726831	N\A	0.017797429109	0.011879489332	31	1	0.002094479270	Global Trend	
5150000	664.511574	1	-0.929643995355	1.159499872311	-0.052743863514	0.000021668902	0.993027760951	N\A	0.016728359123	0.011106042387	42	2	0.002191032393	Global Trend	
5200000	662.033920	1	-1.001530846138	1.164023400728	-0.046505627370	0.000026357809	0.992546490107	N\A	0.017165528925	0.011384375319	46	3	0.001471241437	Global Trend	
5250000	652.401653	1	-0.971511009223	1.134962679038	-0.035229457601	0.000059775165	0.993483837213	N\A	0.014848561138	0.009489869800	46	1	0.002962257926	Global Trend	
5300000	643.344529	1	-0.943559685732	1.129510713716	-0.029135210974	0.000236607267	0.992165381684	N\A	0.015366070904	0.010898153968	48	1	0.006779325488	Global Trend	
5350000	651.439799	1	-0.904115441602	1.143601639824	-0.044213928319	0.000107049931	0.992793620588	N\A	0.015572082888	0.010123398333	38	1	0.005989229387	Global Trend	
5400000	635.128326	1	-1.036341906434	1.175658004370	-0.060420971220	0.000059856993	0.991487859173	N\A	0.017828963267	0.012258817292	35	1	0.002909850704	Global Trend	
5450000	661.164051	1	-0.895024399374	1.146377866087	-0.035993926443	0.000024965971	0.992280951521	N\A	0.015565671557	0.010888420253	36	3	0.004050111896	Global Trend	
5500000	636.340925	1	-0.918407126245	1.128975054101	-0.028905804044	0.000022455279	0.992291117088	N\A	0.016399914723	0.011096068606	49	1	0.001203167291	Global Trend	
5550000	631.014007	1	-1.086505782931	1.183491255997	-0.051035394444	0.000029395627	0.991311167191	N\A	0.017258403614	0.011809484381	46	1	0.001476644767	Global Trend	
5600000	658.656952	1	-0.872911635119	1.106693173912	-0.007867096099	0.000073899074	0.991423394251	N\A	0.017843364985	0.012283070789	35	3	0.005112295970	Global Trend	
5650000	659.199630	1	-1.002012328272	1.147071028137	-0.040784155219	0.000030984489	0.992392290135	N\A	0.015316516418	0.009835080788	40	3	0.002098982493	Global Trend	
5700000	642.035231	1	-1.032649898299	1.153655452248	-0.050006905762	0.000114100402	0.991693514468	N\A	0.016923671846	0.011948856593	51	1	0.002930238436	Global Trend	
5750000	645.156918	1	-0.904188108445	1.090719408942	-0.006839753215	0.000075748138	0.991301724268	N\A	0.017614131542	0.012272484762	38	1	0.002910472823	Global Trend	
5800000	637.315314	1	-1.171767727823	1.171095142350	-0.062919422002	0.000105651789	0.990949748345	N\A	0.018884011776	0.012725157571	31	2	-0.003473661612	Global Trend	
