Species_TTOL	SEP	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Miniopterus_magnater	0.57	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	0.42	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	0.57	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	0.61	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	0.79	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	0.77	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	0.68	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	0.52	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	0.55	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	0.54	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	0.22	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	0.51	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	0.67	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	0.4	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	0.67	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	0.83	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	0.31	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	0.15	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	0.49	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	0.72	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.03	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	0.66	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	0.55	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	0.8	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	0.47	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	0.55	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	0.54	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	0.46	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	0.33	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	0.85	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	0.3	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.2	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.12	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	0.94	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	1.17	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	0.21	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	0.12	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	0.16	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	0.32	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	0.36	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	0.54	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	0.77	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	0.42	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	0.37	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	0.71	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	0.31	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	0.56	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	0.36	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	0.76	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	0.43	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	0.44	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	0.49	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	0.58	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	0.27	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	0.52	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	0.68	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	0.5	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	0.65	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	0.59	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	0.7	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	0.21	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	0.15	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	0.43	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	0.21	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	0.23	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	0.78	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	0.65	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	0.61	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	0.82	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	0.95	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	0.94	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	0.95	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	0.75	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	0.83	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	0.8	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	0.8	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	0.75	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	0.91	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	0.56	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	0.94	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	0.42	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.06	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	0.16	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	0.93	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	0.72	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	1.3	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	2.301	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	1.923	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	2.511	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	1.843	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	1.937	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	1.803	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	1.697	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	1.465	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	2.241	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	2.4	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	2.391	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	1.77	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	1.512	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	2.405	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	2.519	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.076	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	1.553	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	1.41	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	3.069	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	3.417	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	2.48	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	2.312	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	2.425	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	1.754	2.961	0	0	1	0	0	0	0	2.961	0	0
