Species_TTOL	CEREB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Dasyuroides_byrnei	2.3638	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.907519	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.610021	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	3.530584	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	2.128399	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	3.354108	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.807603	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	2.569023	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.870872	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.78326	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.846894	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	3.876737	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	3.87944	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	3.469969	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	3.284882	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	3.64953	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	3.782616	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	3.925931	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.893762	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	2.177536	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	2.022016	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.992995	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	2.848497	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.955976	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	2.467904	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.649821	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	3.428135	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	3.359835	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	3.504335	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	3.460447	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.885248	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	3.444981	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	1.068186	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.404834	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	3.123656	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	2.548389	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	2.647383	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.328991	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.638489	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.758912	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	3.25358	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.972157	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	3.578181	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	3.364739	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	3.207365	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.830313	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	3.764624	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.763	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	2.068	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.863	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	2.09	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	2.258	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	2.201	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.553	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.785	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.574	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.666	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	2.237	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	2.316	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.504	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.696	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.899	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.954	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	2.014	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	2.179	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	2.126	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	2.034	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	2.193	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	2.325	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	2.049	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	2.21	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	2.132	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	2.005	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.926	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.995	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.789	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.852	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	3.003	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.945	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.86	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.834	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.762	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.864	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	3.009	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.46	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.278	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.949	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	2.061	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.827	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.87	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	2.04	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.928	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.912	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	2.058	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	2.24	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	2.346	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	1.535	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	1.364	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	2.247	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	2.048	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.964	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	1.698	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	1.542	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	2.187	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.989	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	2.122	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	1.894	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	1.691	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	1.59	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	1.117	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	2.221	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	2.121	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	1.502	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	1.494	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	1.558	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	1.588	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	2.135	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	2.173	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	1.449	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	1.255	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.966	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.912	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.837	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	1.398	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	2.153	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	1.613	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	1.808	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	2.109	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	2.093	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	1.62	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	2.105	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	1.843	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	1.673	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	1.705	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	2.041	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	2.163	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	1.819	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	1.612	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	2.077	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	2.019	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.899	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	1.79	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	2.101	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	2.479	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	1.741	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	2.211	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	2.071	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.798	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.883	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.694	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.739	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.76	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	1.73	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	1.599	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	1.9	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	1.865	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	1.673	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	1.856	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	1.769	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.972	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.949	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	2.024	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.601	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.611	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	1.643	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	1.386	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	1.56	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	1.628	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	1.528	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	1.697	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.94	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	1.377	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	1.243	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	1.602	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	1.986	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	2.288	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	1.906	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	1.792	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	2.143	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	1.742	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	1.955	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	1.851	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	1.763	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	1.465	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	2.304	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	1.483	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	2.31	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	2.231	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	2.233	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	2.449	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	1.29	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	1.193	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	1.267	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	1.348	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	1.328	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	1.848	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	2.053	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	1.656	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	1.607	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	1.906	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	1.483	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	1.751	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	1.505	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	2.151	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	1.627	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	1.604	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	1.719	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	1.806	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	1.476	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	1.845	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	1.905	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	1.701	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.716	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	1.629	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	1.781	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	1.255	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	1.354	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	1.577	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	1.33	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	1.438	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	1.74	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.911	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	1.765	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.918	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.983	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	2.035	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	2.015	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1.847	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	2.017	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	2.06	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	2.057	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	2.052	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	2.126	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	1.925	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	2.258	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	1.82	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	1.068	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	1.314	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	2.013	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.823	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	2.726	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	3.756	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	3.273	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	4.095	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	3.173	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	3.21	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	3.093	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	2.879	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	2.67	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	3.896	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	3.766	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	3.83	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.976	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.64	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	3.81	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	3.941	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	3.522	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	2.827	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	2.616	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	4.84	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	5.138	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	4.082	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	3.741	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	4.052	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	3.066	2.961	0	0	1	0	0	0	0	2.961	0	0
