Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-glob-005.txt
Log File Name:                   AMY_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            183112916
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2250000	389.278728	1	0.452999299263	0.649963021568	0.116298923646	0.088078997082	0.317482023825	0.093675853627	0.251558377439	-0.058763442977	-0.003198805591	-0.103193551512	-0.074881907299	-0.192556616906	0.000202637396	0.919557080204	N\A	0.063803492365	0.112379681500	0.093137483851	0.126059265846	0.107878740529	0.166328262561	0.068443545841	0.066187606284	0.067857042206	0.067412149876	0.065637401525	33	10	0.004173232913	Global Trend	
2300000	391.989699	1	0.508720493224	0.625249556474	-0.003464379273	-0.011155913272	0.344518818110	0.175341829054	0.180601838535	0.002199453529	0.014986584402	-0.094860602222	-0.102154219202	-0.140717278153	0.000155700726	0.995006388464	N\A	0.062062282502	0.105632864937	0.084215685296	0.114007097137	0.110998533138	0.147868484189	0.069005257204	0.063957123138	0.065858871618	0.068870932271	0.063799065068	43	12	-0.054213841166	Global Trend	
2350000	389.177037	1	0.061093204079	0.577228046471	0.127657013802	-0.040687831961	0.014108385002	-0.163011857132	0.624330531185	-0.048440350764	0.059581412533	-0.045624542457	-0.017651258644	-0.083373519944	0.000402239808	0.988379462627	N\A	0.057159257089	0.104707327522	0.091800090981	0.140150840039	0.109518294147	0.219428182833	0.060573554169	0.059050069521	0.063089367192	0.063294208541	0.060852705100	40	8	-0.081503898472	Global Trend	
2400000	399.844296	1	0.176415809084	0.543864922039	0.102192521818	-0.089611296392	-0.116729766083	-0.122283075697	0.637659218183	0.017623029441	0.088543653293	0.032618321757	-0.027517499656	-0.042226019075	0.000373364115	0.936030651692	N\A	0.070494829082	0.111554767078	0.096455437064	0.121810267388	0.110034191855	0.208274480760	0.073870126148	0.072227538860	0.073471411502	0.074280989594	0.072769061241	31	11	-0.011495602801	Global Trend	
2450000	402.761111	1	0.639845417072	0.619250893345	-0.021217247628	-0.051915457808	0.518453236644	0.068458796546	0.288357274000	-0.006382678885	0.025927458566	-0.151775095950	-0.142990864793	-0.161651192582	0.000294539046	0.989211265628	N\A	0.048962571361	0.106708158601	0.087135447039	0.123923451223	0.104527963161	0.189780656577	0.054700374449	0.051398448341	0.053597624774	0.055219537246	0.052554172697	32	9	-0.096340891619	Global Trend	
2500000	386.886159	1	0.422792072874	0.606910430663	0.110147922870	0.050983758116	0.289141497347	0.167318093513	0.147812502451	-0.051925135838	0.007235332010	-0.091408926918	-0.111761275114	-0.096211861504	0.000232361116	0.972281869399	N\A	0.039988115638	0.110645514449	0.085000403831	0.132969499232	0.105405621252	0.178036633936	0.046077597228	0.041929627232	0.051820825040	0.047304208993	0.044840449063	35	10	0.028301917517	Global Trend	
2550000	378.258679	1	0.180305507627	0.596215996789	0.072376775594	-0.028139612045	0.696435563622	0.052486259657	0.650741588612	-0.055627378493	0.033126126501	-0.084282803115	-0.029225046755	-0.187047618486	0.000207126297	0.908150996954	N\A	0.041985590022	0.134086665931	0.113560286562	0.139445551436	0.125961015410	0.185382381221	0.049373529838	0.046022548506	0.049460956333	0.050249129746	0.045504299836	36	10	-0.000530148743	Global Trend	
2600000	385.577049	1	0.516777903735	0.567785812733	0.252886315736	-0.022391678804	0.293692729729	0.079590176907	-0.051150030385	-0.048903248928	0.107602847983	-0.025436727724	-0.038781177137	-0.112721436193	0.000196269911	0.997765028405	N\A	0.040554918236	0.101723279903	0.081711747419	0.118356635214	0.100710421133	0.161574022597	0.045690322412	0.043939980155	0.048757211299	0.048206704797	0.044613287138	32	10	-0.087736061365	Global Trend	
2650000	391.618568	1	0.551490770130	0.520672793796	0.002492355989	-0.168013192505	0.211541142256	-0.099397657241	0.126276671336	0.003835787149	0.128363144440	-0.016408967954	0.029118516759	-0.017840167945	0.000253036723	0.915575672157	N\A	0.062333096250	0.153737903892	0.135814448919	0.161813883607	0.145479046096	0.209137168197	0.066410684060	0.064620443337	0.068641956124	0.068187434621	0.065276387149	34	8	-0.000978761643	Global Trend	
2700000	394.341515	1	0.442363342651	0.458357514125	0.002407965423	-0.208950290094	0.307737540547	-0.143619888275	0.178226937759	0.059642668464	0.203713479348	0.013498886504	0.063506329239	0.049312768789	0.000219499565	0.968902084729	N\A	0.051508497119	0.098157565003	0.082717850047	0.123479788733	0.105264030436	0.171240346469	0.055428921751	0.053885291480	0.054744432298	0.057710062108	0.055086214249	34	7	0.028930951319	Global Trend	
2750000	387.275004	1	0.505001728475	0.472304495390	-0.001090324667	-0.015082440822	0.278263205340	0.119715315355	-0.293533505103	0.083903104334	0.192411335726	0.061825918441	0.066420195688	0.007563802591	0.000180817013	0.940887318845	N\A	0.048434929910	0.105053655929	0.084071766680	0.145356897792	0.101295619441	0.160127265824	0.053941501430	0.050942866101	0.051950533715	0.053616129255	0.052185564533	33	9	0.009851295743	Global Trend	
2800000	400.843976	1	0.634198655468	0.603778812165	0.078026499710	0.026950133561	0.606291766812	0.047204800085	-0.016871175531	-0.023158797061	-0.001588492210	-0.158804869107	-0.049289320180	-0.127664443884	0.000299691208	0.990074251766	N\A	0.060444514687	0.108252639865	0.091742299040	0.133478125350	0.107000487134	0.189330578853	0.064683770160	0.062485787324	0.064945663386	0.064630864994	0.062534873214	43	9	-0.057468617029	Global Trend	
