Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m3-glob-002.txt
Log File Name:                   MES_d1_m3-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2101486756
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m3-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
6950000	469.681339	1	0.653881286776	0.757642315782	-0.044799396679	0.000215537523	0.952064331284	N\A	0.018387000674	0.004441341935	38	12	0.001636303048	Global Trend	
7000000	461.021561	1	0.687217086941	0.743181005531	-0.037647281256	0.000113164777	0.942468058025	N\A	0.018501815104	0.004231216950	30	9	0.000071055339	Global Trend	
7050000	457.471014	1	0.784883127921	0.750833275213	-0.044274968971	0.000192222414	0.944339005680	N\A	0.019092737225	0.004455423451	42	7	-0.001560286032	Global Trend	
7100000	452.188475	1	0.773712626219	0.726449802338	-0.035566961089	0.000184594380	0.948762530864	N\A	0.017237482929	0.003981750224	40	8	-0.001360289798	Global Trend	
7150000	461.816470	1	0.765544261704	0.726716284278	-0.034982714180	0.000191571035	0.950766308641	N\A	0.016583214835	0.003625981335	30	6	-0.001412832191	Global Trend	
7200000	463.529735	1	0.776900999915	0.730457860667	-0.037808020390	0.000234491693	0.948077514565	N\A	0.018832625907	0.004427826202	26	7	-0.001797572553	Global Trend	
7250000	472.685888	1	0.773098464436	0.730459607248	-0.037238461188	0.000220198159	0.951418386504	N\A	0.018100399019	0.004325509745	37	7	-0.000339433844	Global Trend	
7300000	448.150261	1	0.594677378438	0.771927779181	-0.047701556241	0.000242632001	0.945962257944	N\A	0.018475248420	0.004364438388	38	5	0.001423916120	Global Trend	
7350000	455.924219	1	0.691940412093	0.704438423185	-0.031002735896	0.000272711111	0.953483027010	N\A	0.018382080098	0.004622739134	30	13	0.000964537198	Global Trend	
7400000	457.820036	1	0.728863961046	0.718250916092	-0.040647984734	0.000138448217	0.946339011933	N\A	0.018208183658	0.004156105405	49	7	-0.000877978384	Global Trend	
7450000	473.194701	1	0.726285334498	0.712985793333	-0.032152629657	0.000084028924	0.959049472564	N\A	0.017460978117	0.004184836339	47	5	-0.000239461235	Global Trend	
7500000	453.175989	1	0.540956174611	0.762188335178	-0.043008335596	0.000227962408	0.942075513251	N\A	0.018999283443	0.004354451654	35	5	0.002427966812	Global Trend	
7550000	472.386847	1	0.619145017622	0.705513527920	-0.033141331513	0.000245755269	0.947777905960	N\A	0.018241130621	0.004237442539	42	13	0.002642794046	Global Trend	
7600000	464.938387	1	0.759221990794	0.696312689013	-0.031929057070	0.000202712983	0.946973699368	N\A	0.018944596005	0.004598582592	39	8	-0.000278209782	Global Trend	
7650000	476.442940	1	0.736956140430	0.716081918763	-0.034808751599	0.000085002678	0.955552097484	N\A	0.017426826045	0.003866179156	38	11	-0.000261350963	Global Trend	
7700000	467.551412	1	0.712510173478	0.761196940438	-0.040389595902	0.000245715448	0.952251936584	N\A	0.017717377176	0.004379990901	24	8	-0.000998056035	Global Trend	
7750000	460.606507	1	0.741441350796	0.740335100083	-0.039785599793	0.000329208385	0.953228540325	N\A	0.017367361810	0.004285974398	28	9	-0.000337014534	Global Trend	
7800000	463.438745	1	0.665562002181	0.736488333681	-0.036660980457	0.000253190186	0.958599044823	N\A	0.016960695599	0.004215795569	39	7	0.000595667423	Global Trend	
7850000	465.361549	1	0.584204980213	0.740147631732	-0.039959906450	0.000349083879	0.954335478033	N\A	0.017148296925	0.004322310943	35	5	0.000917945654	Global Trend	
