Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m8-fab-006.txt
Log File Name:                   MES_d1_m8-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            710784935
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m8-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2900000	582.599393	1	-0.979287295946	1.021115846383	-0.036755841500	0.050558455337	0.000048821407	0.978958529619	N\A	0.035252367092	0.003894197859	0.015289849370	44	4	
2950000	571.166789	1	-1.000693132693	1.027855035376	-0.037744180961	0.044708856981	0.000102138054	0.975709485311	N\A	0.037595631392	0.004140917057	0.016595725724	37	2	
3000000	581.569157	1	-0.911007951210	0.978850131222	-0.034733123504	0.062575378529	0.000063302770	0.977956782530	N\A	0.036210106994	0.004239671655	0.015989463400	41	5	
3050000	577.658349	1	-0.920404196132	0.994311915514	-0.040771585984	0.081903294337	0.000040022455	0.979358656003	N\A	0.033268084654	0.004160117489	0.017413119956	49	4	
3100000	584.456858	1	-1.033561506990	1.070852471800	-0.042159441547	0.027611376504	0.000114201952	0.982888234330	N\A	0.029161483701	0.003766009764	0.013536840369	37	3	
3150000	576.615226	1	-1.015753601750	1.040542279508	-0.040618031763	0.053963051436	0.000041269320	0.977882880977	N\A	0.034336464884	0.003561769233	0.014838616768	41	2	
3200000	584.246770	1	-1.059207653620	1.087342000932	-0.046693932303	0.037942669546	0.000075688350	0.975589118279	N\A	0.036842590541	0.004178873512	0.016566232192	30	4	
3250000	568.845429	1	-1.002236548680	1.042586589074	-0.042678939087	0.064652293944	0.000084663170	0.974291598374	N\A	0.036774594021	0.004761433795	0.017857956512	33	1	
3300000	577.584589	1	-1.071993517800	1.084633090484	-0.045122248534	0.044649553850	0.000077269627	0.978397235599	N\A	0.034666892104	0.004066450942	0.016301557558	44	2	
3350000	582.826630	1	-0.967977128347	1.023323226350	-0.042285235169	0.079653540877	0.000114808231	0.978321389004	N\A	0.032707155623	0.004197723048	0.015462257055	43	1	
3400000	587.506016	1	-0.985569644856	1.012118740137	-0.033132959198	0.043851178517	0.000130755590	0.980650748041	N\A	0.029058133749	0.004061733587	0.013954701771	39	4	
3450000	576.721287	1	-0.955038979264	1.029595674247	-0.037811664720	0.036703563381	0.000057886887	0.980752789354	N\A	0.029908883683	0.003600342799	0.014208827215	29	3	
3500000	571.576889	1	-0.956472344920	1.019539578235	-0.047535269457	0.098414728898	0.000122410618	0.974006961576	N\A	0.041595177971	0.004812689099	0.018536479901	40	2	
3550000	587.255805	1	-1.113436821416	1.096445526853	-0.044778175306	0.026797705641	0.000102060935	0.982018360999	N\A	0.031731461440	0.003673467372	0.014299793629	32	4	
3600000	575.657769	1	-0.914045766063	1.005493498172	-0.035348072047	0.048728621065	0.000092934646	0.978144619286	N\A	0.028964806210	0.003216066495	0.012642382033	41	2	
3650000	580.994840	1	-0.921187534821	0.996047600314	-0.036729110018	0.060629567009	0.000071449035	0.975875235305	N\A	0.037881237603	0.004116218247	0.017461804024	38	3	
3700000	585.673845	1	-1.035679982406	1.045965721775	-0.039304624102	0.045266348758	0.000103809720	0.980020286018	N\A	0.034358344359	0.003889025938	0.015145973534	37	4	
3750000	581.608320	1	-0.935649003112	1.039927831570	-0.036556430172	0.045438183628	0.000112477072	0.975636346425	N\A	0.040818553711	0.004905718092	0.017963008861	38	7	
3800000	574.106804	1	-0.941416034382	1.000541484041	-0.034141118423	0.055517641884	0.000105642113	0.978819961734	N\A	0.029896299151	0.004238096676	0.014740942926	32	1	
3850000	587.631150	1	-1.116510066955	1.098967804304	-0.039358710734	0.002447573479	0.000053347094	0.978812972176	N\A	0.032644386692	0.003739425812	0.014417791724	36	5	
3900000	586.543491	1	-1.059955980981	1.058397861581	-0.041665667364	0.045515404902	0.000057166651	0.977314360106	N\A	0.034995111033	0.003907536259	0.015048043194	42	4	
3950000	581.149076	1	-0.954015496765	0.991640624842	-0.037720339339	0.077552508725	0.000161959547	0.978794626137	N\A	0.029664883930	0.003998843437	0.015273157099	32	4	
4000000	578.549895	1	-0.940956460254	1.018788879631	-0.043852324651	0.080271309727	0.000051982482	0.978322847107	N\A	0.031532751228	0.003664881215	0.015114011913	44	2	
4050000	571.662134	1	-0.972121531722	1.050748347193	-0.039706056186	0.033751394493	0.000070482097	0.984503045558	N\A	0.033841656693	0.003927894241	0.014774623674	36	4	
4100000	586.625701	1	-1.108215360554	1.076605499554	-0.040702300131	0.030740795943	0.000093487929	0.978155341997	N\A	0.035053892234	0.004385007385	0.016984966145	43	5	
4150000	574.643041	1	-1.121001884178	1.054404214327	-0.037074637814	0.036728425060	0.000142106795	0.979558460250	N\A	0.033592137476	0.003744352240	0.014735858425	50	3	
4200000	579.559445	1	-0.757032421035	0.947033629147	-0.029060993282	0.061952140088	0.000057018312	0.977410830613	N\A	0.035223884850	0.003943776277	0.015711139509	45	5	
4250000	586.427387	1	-1.023291121944	1.061200397690	-0.041518851158	0.040551533604	0.000069337791	0.979169493116	N\A	0.033402405403	0.003854548505	0.016017812072	56	3	
4300000	599.339243	1	-1.074149263773	1.076697189869	-0.036842130248	0.009436127388	0.000073248963	0.982829234200	N\A	0.027863748165	0.003499123003	0.014400988389	35	6	
4350000	588.533595	1	-0.902660458367	0.974722800088	-0.035271396264	0.070894897233	0.000062441389	0.977635463023	N\A	0.034876983582	0.004007982682	0.015774147325	39	6	
4400000	576.923858	1	-0.888270805384	0.991649797605	-0.036675865834	0.062445784350	0.000067138838	0.977844981596	N\A	0.031286167543	0.003968298644	0.014693114908	33	3	
4450000	585.516567	1	-1.020936827536	1.042053463201	-0.036359548878	0.023733002475	0.000090486575	0.980867304694	N\A	0.033440955430	0.004199734512	0.017342034042	46	3	
4500000	584.580943	1	-1.135531136529	1.102124825262	-0.043750448170	0.028348524368	0.000089071133	0.977844788370	N\A	0.037739298655	0.004407288640	0.016993198598	36	3	
4550000	590.513115	1	-1.023991648967	1.032979121991	-0.037173195730	0.047323766518	0.000072628475	0.979326031288	N\A	0.037264416690	0.004318886702	0.017097076103	42	3	
4600000	579.743199	1	-0.973106764610	1.020506710117	-0.042659637424	0.067427711537	0.000092506925	0.976086233289	N\A	0.038880181674	0.005208448008	0.019253137521	38	4	
4650000	603.238732	1	-0.904915797620	0.962740344332	-0.029688227489	0.061536406048	0.000070580776	0.982203353168	N\A	0.028951286954	0.003783283758	0.014403567593	40	5	
4700000	571.990447	1	-0.962586388917	1.028680919124	-0.032470758947	0.022525558461	0.000125124537	0.984042477753	N\A	0.025915968612	0.004234494419	0.014074298713	31	2	
4750000	581.150715	1	-0.988793857926	1.016466626145	-0.039807111795	0.066221355267	0.000062004081	0.977508604384	N\A	0.034432787371	0.003863462383	0.015176713678	34	4	
4800000	586.713674	1	-1.165550543411	1.111125577598	-0.045614701442	0.032392229820	0.000127308879	0.974545401175	N\A	0.036572048804	0.004079859374	0.016199085634	26	3	
4850000	588.942785	1	-0.943020317644	0.993208972112	-0.040039949609	0.082304980785	0.000097766494	0.977676442661	N\A	0.033022270645	0.004399381194	0.015631438863	32	4	
4900000	591.680339	1	-0.872547180357	0.961702673269	-0.035443105013	0.075989674296	0.000071586253	0.976213679581	N\A	0.034172793955	0.004073967533	0.016227050894	37	4	
4950000	587.383435	1	-1.095660033797	1.089700715049	-0.048482216405	0.060603438005	0.000061682852	0.978662177953	N\A	0.035383846986	0.003921294661	0.015785049387	34	4	
5000000	597.755702	1	-1.110138977227	1.087487415069	-0.039858110947	0.017949859706	0.000064723810	0.980062453592	N\A	0.033003819706	0.003902079562	0.014732067261	28	6	
5050000	597.083388	1	-1.013947989592	1.036290151436	-0.038835217313	0.043943230152	0.000048031720	0.982357543544	N\A	0.027115050769	0.003366782970	0.013335063725	36	3	
5100000	591.677298	1	-1.085553870649	1.081185321603	-0.049623377014	0.070806320626	0.000051110364	0.980443242336	N\A	0.032175763034	0.004113414483	0.015001313281	39	3	
5150000	575.642310	1	-1.213593042721	1.156402383357	-0.048486535827	0.006997788583	0.000025256904	0.978198211316	N\A	0.032613340264	0.003991579494	0.015783441981	45	4	
5200000	597.573720	1	-0.787314496917	1.019914131407	-0.037369774449	0.055790453268	0.000059295210	0.981151217563	N\A	0.030327117678	0.004297388291	0.014755297348	40	8	
5250000	596.168965	1	-1.071408533472	1.007250654977	-0.035244730404	0.054305131380	0.000095074730	0.978475665202	N\A	0.037109709259	0.004438304503	0.016758872997	36	4	
5300000	576.553134	1	-1.051847188764	1.073013531792	-0.040354298586	0.017292682969	0.000056492927	0.980211080672	N\A	0.028612619070	0.003426250606	0.013367038784	44	5	
5350000	577.744223	1	-0.929947411093	1.015969862986	-0.039406268485	0.054586341658	0.000078686887	0.976817092165	N\A	0.032557727859	0.004024055913	0.015269273983	31	0	
5400000	596.793116	1	-1.064574262938	1.059646264225	-0.043258318946	0.054020079054	0.000057249975	0.979533869180	N\A	0.030363944927	0.003631557311	0.014680005193	33	7	
5450000	589.254550	1	-0.956715533724	1.009308887291	-0.038838928185	0.065636980671	0.000061394273	0.980733189355	N\A	0.031185282363	0.003673261746	0.014067939366	37	4	
