Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-bm-006.txt
Log File Name:                   STR_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1997096084
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
2400000	261.429794	1	0.497299936504	0.604053603423	0.184053877526	-0.128859642905	0.524170772886	0.360891956373	0.060950778394	0.087412669535	0.084964904784	-0.009028658983	-0.057563937589	-0.008523634325	0.000548563457	0.869104380161	N\A	0.071708998168	0.306030963419	0.276812583841	0.290154443322	0.281213626122	0.381295093173	0.079789840938	0.077002451514	0.080047562460	0.083185992535	0.076032059403	
2450000	259.410578	1	0.604711271380	0.709651945782	0.055356532848	-0.171730670649	0.556835799570	0.130449930401	-0.242934122095	-0.060432516212	-0.082263107755	-0.058418648562	-0.100698956595	-0.123263453119	0.000555041336	0.867558659258	N\A	0.072131154338	0.307832590312	0.278442199975	0.291862603968	0.282869151517	0.383539805559	0.080259569627	0.077455770635	0.080518808375	0.083675714620	0.076479665754	
2500000	261.504944	1	0.203465636967	0.796752000802	0.470570143242	0.202184706662	0.936982178855	0.628500197649	0.237108141882	-0.122570822808	-0.125295308980	-0.165876210059	-0.183853588632	-0.215490441235	0.000548323831	0.869161558594	N\A	0.071693334328	0.305964115185	0.276752117958	0.290091063094	0.281152198893	0.381211804530	0.079772411950	0.076985631393	0.080030077176	0.083167821705	0.076015451250	
2550000	257.885398	1	0.091976466744	0.743912199922	0.403069685029	0.075079583401	1.169025546022	0.355146001461	0.637156193986	-0.076480290024	-0.073826264784	-0.171396189606	-0.067360563106	-0.181435359997	0.000559984954	0.866379036350	N\A	0.072451669583	0.309200446393	0.279679459668	0.293159497312	0.284126082398	0.385244067133	0.080616203537	0.077799945847	0.080876594214	0.084047528192	0.076819503637	
2600000	255.914499	1	0.907580022560	0.559269252579	-0.255389644852	-0.370766237138	0.260729058874	-0.150993744603	-0.482357408558	0.170025135485	0.157157343456	0.075124781763	0.068960171910	-0.025512355463	0.000566438568	0.864839105587	N\A	0.072867962576	0.310977051129	0.281286442642	0.294843933921	0.285758614788	0.387457603506	0.081079408331	0.078246968980	0.081341295161	0.084530448700	0.077260893343	
2650000	253.518756	1	0.089418667790	0.688485517849	0.722298841901	0.355045446545	0.765088220413	1.049503280780	0.440512570737	-0.083347197110	-0.020784437341	-0.061178385402	-0.103731006791	-0.091952064943	0.000574383543	0.862943313096	N\A	0.073377213056	0.313150368549	0.283252262060	0.296904502235	0.287755688762	0.390165418620	0.081646045933	0.078793811585	0.081909763005	0.085121204500	0.077800844586	
2700000	259.405989	1	0.171431646474	0.673306089273	0.672695216108	0.204717323593	0.817118775188	0.333488382057	0.538373304034	-0.021464314141	0.020200564260	-0.035554900382	0.007377497430	-0.121020148579	0.000555056145	0.867555125512	N\A	0.072132116619	0.307836697017	0.278445914590	0.291866497621	0.282872925191	0.383544922251	0.080260640346	0.077456803950	0.080519882552	0.083676830913	0.076480686047	
2750000	259.543754	1	-0.066903907467	0.789566599862	0.618493332295	0.356792557876	1.098726187928	0.708647630431	0.793024502018	-0.137377786315	-0.121848993873	-0.160928539383	-0.147329407113	-0.235995942259	0.000554611745	0.867661166282	N\A	0.072103234879	0.307713439031	0.278334424690	0.291749634112	0.282759662714	0.383391350649	0.080228503941	0.077425790202	0.080487642346	0.083643326663	0.076450063138	
2800000	259.520912	1	0.150064098308	0.697079576867	0.406100898781	0.224298132434	0.561307456450	0.269599115696	0.712353656954	-0.082815893752	-0.046077053965	-0.042276056610	-0.075851998871	-0.134411064583	0.000554685403	0.867643590323	N\A	0.072108022746	0.307733872108	0.278352906915	0.291769007146	0.282778438787	0.383416808963	0.080233831350	0.077430931503	0.080492986963	0.083648880826	0.076455139647	
2850000	261.682211	1	0.301047513956	0.754055305571	0.225981783788	-0.004208136537	0.618667841509	0.118502931239	0.400094543358	-0.047840449742	-0.087279113133	-0.131486738875	-0.105990267306	-0.182811141059	0.000547759008	0.869296333842	N\A	0.071656399554	0.305806489438	0.276609541567	0.289941614781	0.281007355679	0.381015412886	0.079731315019	0.076945970148	0.079988847502	0.083124975536	0.075976289820	
