Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m2-glob-002.txt
Log File Name:                   MED_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            181240998
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2600000	515.378151	1	0.783193906669	0.681051464646	0.079633880339	0.098377229244	0.137000562810	0.081544869369	0.396471618363	-0.075789375175	-0.052327683489	-0.108417784884	-0.094573365773	-0.143869969713	0.000185350061	0.985349103130	N\A	0.038857477902	0.070536923530	0.063933683891	0.097375035216	0.096791571587	0.151494794596	0.039961935012	0.040091333027	0.042214154213	0.048587068096	0.041983856021	47	5	0.018733921595	Global Trend	
2650000	512.531020	1	0.840917162745	0.548637691701	-0.026155778246	-0.043802876531	0.136170907543	0.083745953524	0.130711989181	0.062749200263	0.085666817936	0.001740802374	0.015079412832	0.003387894849	0.000246429227	0.999375292719	N\A	0.049695318150	0.082107365026	0.074881257764	0.117546011819	0.102463604401	0.172615575142	0.051048028687	0.050814190375	0.054237135645	0.056038039599	0.051934884593	33	6	0.372154657740	Global Trend	
2700000	507.666978	1	0.999803163583	0.531062137053	-0.047878208266	-0.077945859807	0.213159419883	0.096702758686	0.068072395711	0.089693303368	0.107266677192	0.017867803411	0.000654559611	0.009317381365	0.000342101886	0.967213122024	N\A	0.043726501734	0.079578493111	0.073680854052	0.145205453955	0.099084348961	0.207888715171	0.045255606588	0.044684217598	0.050906001891	0.050642065590	0.046445945044	36	6	0.003761434252	Global Trend	
2750000	503.699481	1	1.418579888665	0.520643417251	-0.007048618163	0.003940024502	0.231472521682	0.070021783317	-0.261569568865	0.109260876689	0.142705101307	0.041091079890	0.006758391886	-0.017916904339	0.000255653451	0.963085387632	N\A	0.047140570855	0.108038248728	0.105001249664	0.160056803783	0.154304395491	0.222617743422	0.048528691086	0.048302140668	0.052827155519	0.057283474862	0.050846071695	30	9	0.000965060997	Global Trend	
2800000	505.697149	1	1.089651692856	0.520818629235	-0.118363122885	-0.123426948296	0.056455779827	0.114137577505	0.333298710262	0.083916741658	0.117435568300	0.029238915588	-0.002801491850	-0.017109520656	0.000179739747	0.998347367038	N\A	0.038273017205	0.071437356595	0.064606576537	0.104514971541	0.094413276025	0.149102024968	0.040064802574	0.039686734773	0.043991463342	0.046190186517	0.041371518189	28	7	-0.140031278950	Global Trend	
2850000	519.706215	1	1.006388360607	0.616989955243	-0.151676908107	-0.075801070450	0.474051367110	0.102974356074	0.263266989046	-0.008677234632	0.021713055086	-0.105678092676	-0.079921880115	-0.157343037624	0.000141953909	0.968840819996	N\A	0.031860860021	0.071785147117	0.062265035964	0.090160066167	0.087249928071	0.134423919356	0.033291028794	0.033726666630	0.036520036991	0.040755416495	0.035207323088	33	9	-0.004595918705	Global Trend	
2900000	495.835426	1	1.058149337645	0.623727150415	-0.193552393173	-0.227898248518	0.189793848256	-0.117161436972	0.135290715961	-0.015194043960	0.033318903217	-0.062746974944	-0.041883950268	-0.109502075964	0.000176377851	0.964538900301	N\A	0.049324194981	0.159106224503	0.153824041024	0.171315971045	0.160059572056	0.210597704243	0.050816028970	0.050354095939	0.054560909188	0.055243802032	0.051749718748	39	4	-0.000265130013	Global Trend	
2950000	492.501930	1	0.852566710090	0.560187557034	-0.062033186256	-0.032899041358	-0.000541069046	0.084459405856	0.348258382939	0.058423590702	0.070243399521	0.022583523193	-0.000681286290	-0.046906398498	0.000234707433	0.999647447260	N\A	0.079600161563	0.096230043577	0.089989737079	0.123581024756	0.117381486158	0.176477917046	0.080532576949	0.080231341256	0.081065265852	0.083880135130	0.081214900643	33	3	-0.367847640847	Global Trend	
3000000	501.837742	1	0.926404680726	0.548603905810	-0.000995858215	-0.019374463549	0.156292065126	0.241910113656	0.304527066260	0.066864377938	0.092733974942	0.038420479638	-0.032255275045	-0.034680365281	0.000178551485	0.968466106594	N\A	0.039341164508	0.099111684300	0.094182683619	0.135868221210	0.130051643669	0.180955389610	0.040515965324	0.040622384532	0.045414533672	0.048801339186	0.042259337066	37	7	0.000607165341	Global Trend	
3050000	507.380392	1	0.854422530579	0.557308039241	-0.014028376111	-0.033648459842	0.246876996847	0.045028846334	0.080113145890	0.043660746132	0.075284883798	-0.000738111969	0.000863277960	0.001379887387	0.000176088604	0.999620365668	N\A	0.037891656300	0.070992378406	0.063810286532	0.114844892586	0.095121895109	0.146263911896	0.039595023714	0.038686089057	0.045849189200	0.047443191460	0.041959461457	36	7	-0.293873236255	Global Trend	
3100000	507.782398	1	0.968712929433	0.623064888212	0.027720509065	0.032127223079	0.479115893500	0.070779457162	-0.047185147413	0.003078933544	0.017872935552	-0.093612960759	-0.041229987019	-0.070545672460	0.000322458634	0.975555121093	N\A	0.052527995048	0.085042876241	0.081856141048	0.130768648715	0.115561137128	0.196488933591	0.053320243353	0.053418760770	0.057033650458	0.060814540621	0.054661364669	42	5	0.022637455348	Global Trend	
3150000	506.694081	1	0.943674010630	0.691844402473	-0.053109289244	-0.119637957016	0.273329181103	0.023477542679	0.740540519107	-0.084416767878	-0.056185922030	-0.144439442700	-0.112019862024	-0.160739563585	0.000203722763	0.999151505935	N\A	0.041264096747	0.078818367889	0.069827827807	0.113306276548	0.099483391942	0.160043984232	0.043272613850	0.042466761161	0.047977753953	0.049478110577	0.044422048819	33	8	0.223489465666	Global Trend	
3200000	495.065770	1	0.939335334392	0.653579335450	0.013709797510	0.018901740384	0.495401941221	0.080640871841	0.218239751726	-0.043508966314	-0.036119210902	-0.164782545730	-0.106987493014	-0.090313897087	0.000178647658	0.974382548529	N\A	0.047123064593	0.073828729746	0.067799142223	0.105787441222	0.101622666209	0.150870915596	0.048315293510	0.048232433572	0.051054699427	0.056174218252	0.050286529024	36	8	0.014295565133	Global Trend	
3250000	508.087730	1	1.114715123703	0.564085351830	0.021966841015	0.023254791522	0.298207487023	0.260464145243	-0.054020413560	0.087816563785	0.069802573290	0.000191833746	-0.004617161980	-0.034181597204	0.000311309728	0.966811321984	N\A	0.052744416792	0.170626658743	0.166858257742	0.176286549506	0.164117993881	0.238290447197	0.054258240070	0.053603729796	0.058638169457	0.060635518575	0.055350080110	32	6	-0.000798697788	Global Trend	
3300000	527.958059	1	1.305269348757	0.670359438287	-0.003488225199	0.051683800132	0.516151917756	0.365745493019	-0.035896947692	-0.047017390539	-0.038812034951	-0.151971212320	-0.149842426534	-0.174804399897	0.000150189676	0.985379587236	N\A	0.062549254995	0.077547622273	0.071863270921	0.101802889777	0.086151126585	0.145327184995	0.062834517854	0.063350175771	0.065211017657	0.065952136808	0.064408427227	32	13	-0.019769190231	Global Trend	
3350000	507.267111	1	1.086053251717	0.582669900851	0.111490619945	0.080799224001	0.141772263250	0.091779580751	-0.066260460353	0.041039063916	0.061581513408	0.004198286178	-0.009254138054	-0.040445595403	0.000248973472	0.999797771579	N\A	0.058621088230	0.077419406334	0.071811791771	0.113275012305	0.096167072652	0.146410212860	0.059509715810	0.059381157406	0.061892143887	0.063848846499	0.060844194372	41	4	-0.446846353923	Global Trend	
