Species_TTOL	SEP	rest_of_brain	rest_of_brain2	BOD	BOD2
Sminthopsis_crassicaudata	0.774517	2.53750425778387	6.43892785827126	1.146128	1.313609392384
Sminthopsis_leucopus	0.840106	2.66164229549523	7.08433970916911	1.361728	1.854303145984
Phalanger_gymnotis	2.186108	4.06032757480693	16.4862600147375	3.451786	11.914826589796
Thylacinus_cynocephalus	2.554489	4.70915133299125	22.1761062770133	4.342423	18.856637510929
Thylogale_billardierii	2.319314	4.34805949126278	18.9056213395604	3.845098	14.784778629604
Thylogale_stigmatica	2.231215	4.25065668458073	18.0680822501708	3.653213	13.345965223369
Trichosurus_vulpecula	2.114611	4.00237325530746	16.0189916748004	3.30103	10.8967990609
Vombatus_ursinus	2.571243	4.68410274637518	21.9408185385995	4.357935	18.991597464225
Wallabia_bicolor	2.491362	4.55349934894676	20.7343563208586	4.198657	17.628720603649
Balionycteris_maculata	0.926	2.68604357258994	7.21483007385172	1.158	1.340964
Casinycteris_argynnis	1.086	2.89835140151989	8.40044084669229	1.428	2.039184
Chironax_melanocephalus	0.979	2.75718362381577	7.60206153543787	1.248	1.557504
Cynopterus_brachyotis	1.164	2.966833649282	8.80210190251193	1.53	2.3409
Cynopterus_horsfieldii	1.267	3.11468350641045	9.70125334510528	1.773	3.143529
Cynopterus_sphinx	1.238	3.05354966776212	9.32416557349017	1.713	2.934369
Dobsonia_inermis	1.593	3.40766797562694	11.6122010321134	2.173	4.721929
Dobsonia_moluccensis	1.786	3.63531672034154	13.2155276571947	2.543	6.466849
Dobsonia_praedatrix	1.621	3.45265177566025	11.9208042839698	2.25	5.0625
Eidolon_helvum	1.79	3.60406636908379	12.9892943927608	2.418	5.846724
Eonycteris_spelaea	1.299	3.09326062869164	9.56826131701383	1.769	3.129361
Epomophorus_labiatus	1.33	3.17341455082117	10.0705599113635	1.806	3.261636
Epomops_franqueti	1.461	3.3178958890353	11.0084331304774	2.072	4.293184
Hypsignathus_monstrosus	1.659	3.51177917774895	12.3325929932711	2.491	6.205081
Macroglossus_minimus	0.911	2.72492739657078	7.42522931658202	1.164	1.354896
Megaerops_ecaudatus	1.061	2.87855040696948	8.28605244546414	1.38	1.9044
Megaloglossus_woermanni	1.009	2.80962194180342	7.89397545586321	1.253	1.570009
Melonycteris_melanops	1.248	3.08827988670424	9.53747265862198	1.675	2.805625
Melonycteris_woodfordi	1.155	2.98478330621441	8.90893138505621	1.549	2.399401
Epomophorus_pusillus	1.053	2.8916991691473	8.36192408484716	1.4	1.96
Myonycteris_torquata	1.243	3.04038415947288	9.24393583717363	1.561	2.436721
Notopteris_macdonaldi	1.373	3.14143861060649	9.86863654420925	1.841	3.389281
Nyctimene_albiventer	1.072	2.89166094946112	8.36170304663836	1.473	2.169729
Nyctimene_robinsoni	1.236	3.06521908417013	9.39556803396076	1.673	2.798929
Nyctimene_vizcaccia	1.146	2.97019608506253	8.82206478372075	1.549	2.399401
Paranyctimene_raptor	0.975	2.83904237199348	8.06016158997434	1.417	2.007889
Pteropus_alecto	1.956	3.82069860124938	14.597737801589	2.775	7.700625
Pteropus_conspicillatus	1.987	3.89493121910952	15.170489201594	2.875	8.265625
Pteropus_hypomelanus	1.844	3.69716131393364	13.6690017812475	2.591	6.713281
Pteropus_lylei	1.845	3.75598421253182	14.1074174047883	2.497	6.235009
Pteropus_neohibernicus	1.986	3.92848620624869	15.4330038726862	2.924	8.549776
Pteropus_poliocephalus	1.955	3.83016987335255	14.6702012587375	2.842	8.076964
Pteropus_samoensis	1.827	3.73626675041077	13.959689230225	2.491	6.205081
Pteropus_scapulatus	1.829	3.70549571470575	13.7306984917027	2.574	6.625476
Pteropus_temminckii	1.808	3.66354900940771	13.4215913443322	2.398	5.750404
Pteropus_tonganus	1.87	3.75825829746648	14.1245054304756	2.652	7.033104
Pteropus_vampyrus	2.055	3.92972371176801	15.4427284508318	3.027	9.162729
Rousettus_aegyptiacus	1.505	3.32486399626551	11.0547205936626	2.111	4.456321
Rousettus_amplexicaudatus	1.36	3.1617898919156	9.99691532061967	1.856	3.444736
Scotonycteris_zenkeri	0.965	2.8251361190744	7.98139409129878	1.328	1.763584
Sphaerias_blanfordi	1.161	2.89058047078486	8.35545545808283	1.47	2.1609
Syconycteris_australis	0.991	2.75449107699007	7.5872210932179	1.207	1.456849
Anoura_caudifer	0.76	2.5806238378183	6.65961939231605	1.025	1.050625
Anoura_geoffroyi	0.93	2.74657171798292	7.54365620202365	1.204	1.449616
Ardops_nichollsi	0.87	2.72119019257957	7.40487606419122	1.352	1.827904
Artibeus_cinereus	0.79	2.64696591916355	7.00642857721331	1.1	1.21
Artibeus_concolor	0.88	2.77277474031503	7.68827976052911	1.288	1.658944
Artibeus_jamaicensis	1.08	2.98333261088124	8.9002734671475	1.613	2.601769
Artibeus_lituratus	1.18	3.06496819373968	9.39403002863586	1.748	3.055504
Aselliscus_stoliczkanus	0.22	2.14627742243429	4.60650677405116	0.69	0.4761
Aselliscus_tricuspidatus	0.24	2.0993562087761	4.40729649132678	0.643	0.413449
Brachyphylla_cavernarum	1.24	3.05292228999784	9.32033450876568	1.648	2.715904
Cardioderma_cor	0.84	2.79992584642206	7.83958474546228	1.415	2.002225
Carollia_perspicillata	0.85	2.71324648190518	7.36170647157086	1.25	1.5625
Chalinolobus_gouldii	0.53	2.35195774032069	5.53170521225439	1.068	1.140624
Chalinolobus_morio	0.43	2.24071974568802	5.02082497871619	0.919	0.844561
Chiroderma_salvini	0.96	2.88624082329356	8.33038609004629	1.417	2.007889
Chiroderma_trinitatum	0.78	2.70539048497075	7.31913767617029	1.137	1.292769
Chiroderma_villosum	0.88	2.82351695180044	7.97224797710447	1.394	1.943236
Choeroniscus_minor	0.68	2.5659450134905	6.58407381225677	0.982	0.964324
Coleura_afra	0.44	2.38684133903795	5.69701157774045	1.061	1.125721
Cormura_brevirostris	0.38	2.31547900333038	5.36144301486384	0.914	0.835396
Craseonycteris_thonglongyai	0.07	1.91186407137902	3.65522422742997	0.408	0.166464
Desmodus_rotundus	1.04	2.97496949473285	8.85044349459105	1.56	2.4336
Diphylla_ecaudata	0.94	2.87975236516861	8.29297368469423	1.49	2.2201
Emballonura_monticola	0.25	2.19689550326823	4.82634985228017	0.724	0.524176
Emballonura_raffrayana	0.34	2.21750313113026	4.91732013657249	0.771	0.594441
Eptesicus_brasiliensis	0.48	2.27704088235613	5.18491517992119	0.964	0.929296
Eptesicus_fuscus_bahamensis	0.53	2.3513653086034	5.52891881450355	1.134	1.285956
Eumops_auripendulus	0.79	2.75999624802448	7.6175792891092	1.529	2.337841
Eumops_glaucinus	0.9	2.79101278730558	7.78975237890325	1.562	2.439844
Furipterus_horrens	0.12	2.07959239815975	4.32470454248383	0.535	0.286225
Glischropus_tylopus	0.1	1.97312302120491	3.89321445680878	0.69	0.4761
Glossophaga_longirostris	0.78	2.6169266719764	6.84830520650148	1.053	1.108809
Glossophaga_soricina	0.76	2.57354501835856	6.62313396151816	0.996	0.992016
Harpiocephalus_harpia	0.85	2.62086344715862	6.86892520865216	1.13	1.2769
Hesperoptenus_blanfordi	0.32	2.16984821507198	4.70824127645104	0.863	0.744769
Hipposideros_armiger	0.93	2.87560056473481	8.26907860790317	1.748	3.055504
Hipposideros_ater	0.43	2.30545128539469	5.31510562932804	0.839	0.703921
Hipposideros_caffer	0.55	2.4627759440208	6.06526535044753	1.041	1.083681
Macronycteris_commersoni	0.94	2.84697711567035	8.10527869715067	1.997	3.988009
Hipposideros_diadema	0.93	2.82568898250015	7.98451822582275	1.622	2.630884
Hipposideros_fulvus	0.44	2.34735841257385	5.51009151708124	0.845	0.714025
Hipposideros_lankadiva	0.94	2.83381440820857	8.0305041001705	1.686	2.842596
Hipposideros_larvatus	0.72	2.59070379701993	6.7117461638935	1.312	1.721344
Hipposideros_ridleyi	0.52	2.40319100137588	5.775326989094	0.982	0.964324
Hipposideros_speoris	0.53	2.42782469906196	5.89433276937531	1.061	1.125721
Hipposideros_turpis	0.84	2.74970813235674	7.5608948131488	1.542	2.377764
Ia_io	0.99	2.85693377655639	8.16207060362878	1.727	2.982529
Kerivoula_papillosa	0.45	2.47004291344843	6.10111199427681	1.004	1.008016
Lasiurus_borealis	0.32	2.20786055220101	4.87464821796536	0.892	0.795664
Leptonycteris_curasoae	0.92	2.76007259430502	7.61800072583367	1.389	1.929321
Leptonycteris_nivalis	0.95	2.74009904764629	7.50814279091213	1.358	1.844164
Lonchophylla_mordax	0.82	2.61273847911539	6.82640236025021	1.029	1.058841
