Species_TTOL	SEP	rest_of_brain	BOD
Isoodon_macrourus	1.769377	3.0789623596587	3.033424
Isoodon_obesulus_obesulus	1.816241	3.0789623596587	3.004321
Osphranter_antilopinus	2.608205	3.0789623596587	4.537819
Macropus_giganteus	2.591176	3.0789623596587	4.563481
Notamacropus_irma	2.356599	3.0789623596587	3.819544
Notamacropus_parma	2.13226	3.0789623596587	3.536558
Notamacropus_parryi	2.504199	3.0789623596587	4.170262
Osphranter_robustus	2.533899	3.0789623596587	4.409933
Osphranter_rufus	2.644832	3.0789623596587	4.494155
Thylamys_pallidior	0.910624	3.0789623596587	1.477121
Marmosops_impavidus	1.227887	3.0789623596587	1.845098
Monodelphis_brevicaudata	1.117271	3.0789623596587	1.924279
Notoryctes_typhlops	1.190332	3.0789623596587	1.531479
Petauroides_volans	1.633468	3.0789623596587	3.09691
Petaurus_australis	1.767156	3.0789623596587	2.748188
Petaurus_breviceps	1.437751	3.0789623596587	2.113943
Petaurus_norfolcensis	1.561101	3.0789623596587	2.374748
Petrogale_inornata	2.200577	3.0789623596587	3.628389
Petrogale_lateralis	2.130012	3.0789623596587	3.556303
Petrogale_penicillata	2.299071	3.0789623596587	3.690196
Petrogale_purpureicollis	2.215109	3.0789623596587	3.740363
Petropseudes_dahli	1.752816	3.0789623596587	3.127105
Phascolarctos_cinereus	2.223496	3.0789623596587	3.968483
Planigale_ingrami	0.158362	3.0789623596587	0.826075
Planigale_maculata	0.535294	3.0789623596587	1.041393
Potorous_tridactylus_tridactylus	2.071145	3.0789623596587	3.089905
Pseudochirulus_canescens	1.469822	3.0789623596587	2.447158
Pseudochirulus_forbesi	1.603144	3.0789623596587	2.70757
Sarcophilus_harrisii	2.240549	3.0789623596587	3.732394
Sminthopsis_crassicaudata	0.774517	3.0789623596587	1.146128
Sminthopsis_leucopus	0.840106	3.0789623596587	1.361728
Phalanger_gymnotis	2.186108	3.0789623596587	3.451786
Thylacinus_cynocephalus	2.554489	3.0789623596587	4.342423
Thylogale_billardierii	2.319314	3.0789623596587	3.845098
Thylogale_stigmatica	2.231215	3.0789623596587	3.653213
Trichosurus_vulpecula	2.114611	3.0789623596587	3.30103
Vombatus_ursinus	2.571243	3.0789623596587	4.357935
Wallabia_bicolor	2.491362	3.0789623596587	4.198657
Balionycteris_maculata	0.926	3.0789623596587	1.158
Casinycteris_argynnis	1.086	3.0789623596587	1.428
Chironax_melanocephalus	0.979	3.0789623596587	1.248
Cynopterus_brachyotis	1.164	3.0789623596587	1.53
Cynopterus_horsfieldii	1.267	3.0789623596587	1.773
Cynopterus_sphinx	1.238	3.0789623596587	1.713
