Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-fab-003.txt
Log File Name:                   SEP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2062888248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
2250000	426.407335	1	0.335387461914	0.466166349446	-0.215102543559	-0.496284213379	0.380553514858	-0.203225770111	-0.210608820443	0.169927888459	0.146639203843	0.056864945916	0.101534025967	0.067162964057	0.000249125065	0.936049133775	N\A	0.042338082343	0.140747705570	0.125577003633	0.148869909948	0.152374207568	0.225977797429	0.045784391658	0.044728350214	0.048225920787	0.053314529789	0.046541799462	29	11	
2300000	425.740019	1	0.280207375188	0.518195891719	-0.124228941249	-0.409422065931	-0.060656315366	-0.146188573811	0.006732263499	0.133971160316	0.085105226109	0.046167623131	0.004458788742	-0.010233722798	0.000202297350	0.937261638901	N\A	0.029880482502	0.137289072231	0.127063459042	0.155872876163	0.145577262574	0.214441953642	0.035332751381	0.034085448363	0.038534034201	0.039662400357	0.033730071258	40	10	
2350000	412.907652	1	0.299818779561	0.478046282308	-0.119164832561	-0.422797134851	-0.038953018655	-0.333348828333	0.086511612214	0.130639096412	0.128876634506	0.063280157903	0.095513614338	-0.001495725963	0.000050345684	0.936000213777	N\A	0.039140000460	0.126191496224	0.117969863440	0.161292548412	0.151646160938	0.204334559963	0.042620663813	0.041766850666	0.047262115796	0.049946161271	0.044857492971	33	5	
2400000	412.894380	1	0.233188595371	0.533662929650	-0.082844010484	-0.257232885637	0.613207242979	-0.220488012180	-0.781852875073	0.091145582627	0.062909593004	0.039658277584	-0.010340391690	-0.021974431283	0.000016620170	0.941048021652	N\A	0.027089689778	0.115470004953	0.103902969444	0.132075588990	0.126808996897	0.185714620725	0.030993812984	0.031478687530	0.035081927840	0.040174148683	0.033897149564	34	11	
2450000	411.270336	1	-0.157469406692	0.610658870191	0.104162789035	-0.225267927435	0.943766902621	0.117993084222	0.648215530224	0.047847241154	0.012976755358	-0.021489933743	-0.055761290001	-0.086020516728	0.000165591242	0.940396863508	N\A	0.054509254307	0.185352988320	0.170813181007	0.182786209307	0.192236799745	0.226850148456	0.058202176534	0.056072404166	0.059359318549	0.066228853346	0.057169369390	33	9	
2500000	410.768697	1	-0.096976852790	0.687178647751	0.164369864963	-0.166897610742	1.033330563550	0.176513107076	0.417730703660	-0.069792375686	-0.084508900101	-0.139276842955	-0.112423636811	-0.188086890830	0.000193555831	0.936104485549	N\A	0.042595463537	0.166111287005	0.154738633327	0.172639308298	0.167818796996	0.231007688150	0.046358588140	0.045239917169	0.047654071040	0.052863528610	0.047309252759	32	11	
2550000	405.832478	1	-0.171785144975	0.814667366659	0.673048543283	0.235822640541	0.942072047748	0.449481074852	0.433691839578	-0.217688053905	-0.191315566627	-0.245570667634	-0.279763748924	-0.356093399505	0.000212150868	0.932007147278	N\A	0.075017560214	0.184392303267	0.171586879529	0.188486631958	0.177002680239	0.243867341858	0.077239394520	0.076759148771	0.078546647828	0.079732947228	0.077356423502	42	10	
2600000	422.159074	1	-0.242850207064	0.656512416754	0.636405524828	0.314032396195	0.776493028396	0.499198366495	0.563169812973	-0.011758322782	-0.036153533491	-0.126599361729	-0.142163610890	-0.132006812098	0.000164593784	0.940565679169	N\A	0.039726628656	0.162854799214	0.151498937357	0.155289465859	0.154227829777	0.210485393002	0.043524697743	0.043137696803	0.043019795476	0.046056741209	0.043595846536	43	14	
2650000	410.062212	1	0.432171329869	0.509140522123	0.508947136727	0.176110603094	-0.054774726557	0.178667330852	-0.328780827753	0.126650424857	0.129190924405	0.050807791388	0.034240740507	0.007957702019	0.000195247558	0.944924311000	N\A	0.031688399298	0.156186098313	0.157154224997	0.163827658856	0.160338050477	0.222921810217	0.034722150186	0.035994651307	0.037605048219	0.040626069049	0.036154954415	42	8	
2700000	441.277582	1	0.155808293446	0.509180713513	0.663787450224	0.303403283897	0.147233570126	0.592421220563	0.224011079154	0.106724127300	0.089972462481	0.026180600214	0.033050439321	0.000373403328	0.000188874597	0.941061860443	N\A	0.041868600726	0.168288212799	0.160529322856	0.170146161891	0.164682259801	0.225985290717	0.044978721157	0.044494117680	0.046851995210	0.049316180817	0.045423045645	32	15	
