Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-glob-005.txt
Log File Name:                   HIP_d1_m2-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2822071792
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
2000000	356.489123	1	1.025802134392	0.407735226974	0.192070362510	-0.422439979276	0.009897475042	-0.106107253888	0.178898615267	0.079006192212	0.215380798955	0.143953213771	0.204531347967	0.092011618693	0.000271125507	0.980401032132	N\A	0.086845095224	0.116828198394	0.109480680306	0.148347479254	0.133440492094	0.189987432345	0.088631841876	0.088657901041	0.090168886315	0.091146460432	0.088294379150	39	8	-0.031867296533	Global Trend	
2050000	359.890521	1	0.948221437869	0.632755412802	0.479733219593	-0.256590091157	0.283952879712	0.366596424831	0.190198265054	-0.151728855920	0.020461102958	-0.105250165829	-0.142041221872	-0.109802122745	0.000818772810	0.923673307562	N\A	0.096687977166	0.134215980857	0.126460918303	0.165787659699	0.149319311049	0.315337441020	0.097762382127	0.097881138932	0.100537865251	0.100735113575	0.100908652728	38	7	0.006129205318	Global Trend	
2100000	354.588118	1	0.895953600326	0.593812460288	0.478597201773	-0.219601945473	0.147470912112	0.012517121362	0.142875505303	-0.124471283059	0.059980760784	-0.015136163654	-0.038968578223	-0.035853395459	0.000586485714	0.999731996273	N\A	0.068775366998	0.117283246772	0.105517578291	0.168023113977	0.118570964381	0.258717996360	0.071455377864	0.070594995032	0.076087332584	0.073432479155	0.074522636117	32	13	0.569943429564	Global Trend	
2150000	355.252143	1	0.912963052861	0.595840426422	0.277801373224	-0.231519840325	0.171952108938	-0.050542007286	0.336405829273	-0.006830630381	0.011381520333	-0.005572640880	0.005076589036	-0.117560456589	0.000261798967	0.985241378590	N\A	0.046435632634	0.112868603311	0.092376376145	0.136994611043	0.117576228914	0.187378364566	0.051707794857	0.049295018420	0.056160555050	0.056580629732	0.052282423136	47	13	-0.036993800020	Global Trend	
2200000	350.221747	1	0.773463452997	0.542839847992	0.191990292626	-0.414337548769	-0.066784723016	0.347407460799	0.438131394030	-0.093118563653	0.071335553399	0.073931693288	-0.077509329514	0.020384159048	0.000166874272	0.914440998234	N\A	0.065977942801	0.124274900643	0.110695210576	0.132074825257	0.137997779194	0.180914903445	0.068183486979	0.068031310112	0.069673812827	0.074512117941	0.072281484525	37	10	0.000558619746	Global Trend	
2250000	341.746020	1	1.094428675815	0.478288502465	0.631895744698	0.078384345920	0.051344538372	-0.384936646496	-0.275095690192	0.043728566085	0.109930495700	0.088155867829	0.123855939104	0.054632439197	0.000256366661	0.999186441480	N\A	0.055979433100	0.098387211061	0.095862881975	0.130743633263	0.127640000137	0.191222538217	0.058363224612	0.059919770438	0.061065451240	0.068115573312	0.060575771515	36	9	0.154694263679	Global Trend	
2300000	361.102907	1	1.063927405709	0.537964854820	0.652948351753	0.151205524348	0.112818065277	-0.135535474533	-0.411082805337	-0.004600209239	0.052059622295	0.012745784995	0.057630435878	-0.002151404297	0.000663723847	0.929494742310	N\A	0.062221832543	0.116817767532	0.102559752764	0.126137907033	0.121225526179	0.238480632499	0.064654311388	0.064725063256	0.065279987580	0.068821203194	0.066297517516	38	13	0.022124940027	Global Trend	
2350000	357.376380	1	0.636660741296	0.668191806320	0.359542160942	-0.268847624441	0.388478889841	-0.007912335587	0.632655897163	-0.160588290162	-0.023099843670	-0.136274603252	-0.088849334997	-0.160337995678	0.000322447615	0.926277942208	N\A	0.048671676210	0.105178227628	0.095457633273	0.152088106459	0.143229353077	0.215427732599	0.051885231417	0.050762760251	0.056505028961	0.062596248370	0.053444440323	38	12	0.000911207408	Global Trend	
2400000	351.033808	1	0.935458224590	0.480356190035	0.299238845758	-0.428021337776	-0.091134530326	0.019594744980	0.328189591415	0.035079365748	0.193617985736	0.103979538992	0.049014921079	-0.001596233496	0.000165162919	0.965211580621	N\A	0.038430813865	0.089271540420	0.074296268950	0.107212953554	0.113473801753	0.152909918201	0.042646802878	0.041598395874	0.044518863234	0.053545421514	0.044708788252	41	10	-0.011620865831	Global Trend	
2450000	357.477998	1	0.908101970264	0.453401419498	0.219652395324	-0.199761915233	-0.154695127113	0.032903171902	0.070225931054	0.050106613067	0.133316563115	0.182687964647	0.095834828872	0.115024538424	0.000197406073	0.969773726379	N\A	0.053066490566	0.105785477143	0.086199920041	0.123553800068	0.098207490615	0.162777975760	0.058602090652	0.055790642379	0.058861595563	0.056043211540	0.056033818901	42	14	0.018218749469	Global Trend	
2500000	388.642167	1	0.952621294562	0.477934490694	0.184225808205	-0.384264535505	0.013842808839	-0.260865843235	0.169204839289	0.006750188827	0.157165650963	0.058110161922	0.116818903682	0.034565107292	0.000165443003	0.927781520260	N\A	0.032067605894	0.121073081813	0.102584132527	0.179938951679	0.123807133685	0.178993475416	0.041748411565	0.034811789185	0.046078077025	0.043082851029	0.038278011320	44	19	0.000384845578	Global Trend	
2550000	375.169855	1	1.112838890550	0.460442340091	0.229278334289	-0.381048021208	0.135073024505	0.062039966460	0.029467960511	0.023376673742	0.166960641690	0.082511907395	0.129284539407	0.053454150617	0.000324440638	0.995985985574	N\A	0.051529950718	0.101256148508	0.098096980289	0.135595749228	0.126022751576	0.205287395384	0.052887946984	0.053957904350	0.056600453908	0.061069526867	0.056192758208	36	13	-0.101895217691	Global Trend	
2600000	371.691979	1	0.807449518999	0.598000258091	0.278813766672	-0.307751385131	0.267458832724	-0.021396674658	0.391262660265	-0.126590564751	-0.019743429724	-0.016906134708	0.007681774308	-0.088347285673	0.000336724701	0.927147519083	N\A	0.048922268276	0.097692905732	0.085814626031	0.133048483289	0.123273928680	0.192995424672	0.052103736281	0.051306823304	0.057042360964	0.060991134123	0.052763610096	33	14	-0.008057705250	Global Trend	
2650000	348.045903	1	0.586457325092	0.591072244055	0.337465705341	-0.085971629537	0.064608667244	0.109685398577	0.140713383969	-0.047430687993	0.033118635998	-0.042068111498	-0.019045447742	-0.055921504228	0.000535154348	0.976991676756	N\A	0.065866275686	0.112755812826	0.102883286030	0.157733611099	0.121890575066	0.256530465849	0.068191606144	0.067560287201	0.070702860580	0.072367862053	0.072849292552	37	9	-0.059949892888	Global Trend	
2700000	359.092372	1	0.841812711329	0.590579896404	0.256984844768	-0.291529868704	0.442447297032	-0.116819245685	0.300614304951	-0.073637309895	0.033727959618	-0.081814488481	0.027455945083	-0.076341377132	0.000271848188	0.938256263473	N\A	0.025318220812	0.105256421773	0.096846106143	0.137354803446	0.120630086889	0.259610689485	0.030172710511	0.030443849889	0.039443078939	0.041720788924	0.038623747039	34	9	0.010936125320	Global Trend	
2750000	356.512694	1	1.027458381722	0.468237668249	0.322213367593	-0.293313522514	0.277292060572	-0.038436488241	-0.129926698382	0.016621840223	0.096064948653	0.068586783279	0.103475311452	0.106690262712	0.000119865974	0.998980285236	N\A	0.052880963014	0.089492923959	0.076393962070	0.124882711723	0.098785268649	0.136885934850	0.056446466114	0.055528619447	0.061445836507	0.059003363568	0.057108960371	39	12	-0.061541337400	Global Trend	
2800000	377.572758	1	0.857469627093	0.549969355201	0.316824456272	-0.364723554735	0.308915545869	0.129568096771	0.164501931706	-0.104274964919	0.045070108360	0.007947517248	-0.000001477773	-0.019057474698	0.000149074848	0.937575480671	N\A	0.080910634678	0.105375223522	0.096134380765	0.141445943376	0.117688358525	0.164739246335	0.081549183996	0.082249381987	0.084059006316	0.086133016996	0.085025958972	40	12	0.003063036264	Global Trend	
2850000	356.691601	1	0.756807281250	0.649238944160	0.452395309458	-0.134752661145	0.349239863739	0.374777699475	-0.158000727635	-0.199024573637	-0.073280047257	-0.084438018749	-0.092488172771	-0.128473821262	0.000543619801	0.919471908710	N\A	0.065391228254	0.112223936152	0.105967172540	0.144333992041	0.126515401977	0.229799306025	0.067041018118	0.067964432306	0.070717372842	0.070935203901	0.069613452911	31	11	0.011926639974	Global Trend	
2900000	357.080804	1	0.795225893161	0.601315868633	0.124969414723	-0.535178329447	0.087367199835	0.095356736145	0.889977423437	-0.149484968349	0.034825944564	-0.039991018062	-0.016296727792	-0.092851157114	0.000518123761	0.932788187455	N\A	0.037481204148	0.104570964197	0.093601495555	0.134514589603	0.117535913289	0.205851387819	0.041430987465	0.041914984779	0.047339588889	0.049336181564	0.044697911410	33	13	0.021079018450	Global Trend	
2950000	367.907192	1	0.891469910283	0.563073764578	0.221589855028	-0.334273727891	0.134623981103	0.021864432453	0.472321813545	-0.058881305354	0.075192790744	0.003581480431	-0.049924387410	-0.052424527232	0.000638695461	0.997323166151	N\A	0.040188318579	0.101679639908	0.091124913864	0.129667956510	0.115949552578	0.212107835413	0.042100708307	0.044600552943	0.046639168080	0.049657404383	0.046232518375	40	15	-0.240251300676	Global Trend	
3000000	353.836557	1	1.163087529567	0.621578249682	0.475830420540	-0.104798892892	0.291941914949	0.355642280582	-0.436098634822	-0.124224860800	0.013613444263	0.010853226222	-0.069354167664	-0.065859961433	0.000465849928	0.922643771180	N\A	0.057962634635	0.103204305469	0.092860069691	0.128129266830	0.118222728024	0.209407748862	0.060973406956	0.060291987688	0.063794379304	0.065642937739	0.063030868993	42	12	0.010358046619	Global Trend	
3050000	347.870897	1	0.835960348791	0.533982497272	0.178743519976	-0.342096628593	-0.219206000588	0.437769505251	0.418754614314	-0.041786370378	0.064589804560	0.065978142722	-0.040187750544	0.018441361535	0.000231689993	0.927302796221	N\A	0.036458772726	0.095376034265	0.083570859558	0.120788118355	0.117316125201	0.178825287100	0.041474785595	0.039625097366	0.043167165694	0.051649893011	0.045066720866	46	12	0.004640444083	Global Trend	
3100000	385.141654	1	0.704948148066	0.633988045035	0.413998481430	-0.090577208342	0.069110730523	0.145806992082	0.237689958984	-0.131484012089	-0.025489936793	-0.059796044673	-0.084897832256	-0.111831988184	0.000142182286	0.987989176553	N\A	0.050284815768	0.094609580725	0.080662998048	0.141746595261	0.097030015623	0.146157893084	0.053452639913	0.052758006596	0.057640806021	0.056928207933	0.054180449391	41	19	0.027255938217	Global Trend	
3150000	359.011754	1	0.837685356118	0.630092316306	0.386761378944	-0.198892223453	0.176626710619	-0.094279938727	0.147617437902	-0.145545715672	-0.006978033383	-0.053556866109	-0.048505223642	-0.132999448396	0.000312941678	0.911250846294	N\A	0.077732528198	0.177674577555	0.170007795840	0.182393521448	0.176952075181	0.270554698994	0.080354862256	0.079761828167	0.080790761453	0.082517124710	0.082468659712	37	9	0.000368241328	Global Trend	
3200000	348.361209	1	0.659603934476	0.651283482615	0.525472060638	-0.027497587180	0.535643336842	0.125248313412	-0.287781696252	-0.100023708951	-0.048213738125	-0.150353858270	-0.088223408586	-0.175613574117	0.000304698502	0.953706590576	N\A	0.050921219969	0.119837700067	0.109400520304	0.152830046815	0.125050248722	0.267122984673	0.054920386218	0.053496795318	0.060573811509	0.058122015876	0.059583740925	39	9	0.020744714783	Global Trend	
